notation,hl,hu,bs,lr,chirals,invalid,valid,unique,novel
SELFIES,2,512,512,0.001,1820 ± 40,"670 ± 40*
(37%)*","1150 ± 20*
(63%)*","1150 ± 20*
(100%)*","1140 ± 20*
(99%)*"
SMILES,2,512,512,0.001,1770 ± 70,"400 ± 40*
(22%)*","1370 ± 40
(78%)*","1370 ± 40
(100%)","1320 ± 40*
(96%)"
fragSMILES,2,512,512,0.001,1770 ± 90,"330 ± 30
(19%)","1440 ± 70
(81%)","1440 ± 60
(100%)","1400 ± 60
(97%)"
t-SMILES,2,512,512,0.001,1840 ± 90,"1010 ± 50*
(55%)*","830 ± 50*
(45%)*","830 ± 50*
(100%)*","830 ± 50*
(100%)*"
notation,hl,hu,bs,lr,chirals,invalid,valid,unique,novel
SELFIES,2,512,512,0.001,1820 ± 40,"670 ± 40*
(37%)*","1150 ± 20*
(63%)*","1150 ± 20*
(100%)*","1140 ± 20*
(99%)*"
SMILES,2,512,512,0.001,1770 ± 70,"400 ± 40*
(22%)*","1370 ± 40
(78%)*","1370 ± 40
(100%)","1320 ± 40*
(96%)"
fragSMILES,2,512,512,0.001,1770 ± 90,"330 ± 30
(19%)","1440 ± 70
(81%)","1440 ± 60
(100%)","1400 ± 60
(97%)"
t-SMILES,2,512,512,0.001,1840 ± 90,"1010 ± 50*
(55%)*","830 ± 50*
(45%)*","830 ± 50*
(100%)*","830 ± 50*
(100%)*"
notation,hl,hu,bs,lr,chirals,invalid,valid,unique,novel
SELFIES,2,512,512,0.001,1820 ± 40,"670 ± 40*
(37%)*","1150 ± 20*
(63%)*","1150 ± 20*
(100%)*","1140 ± 20*
(99%)*"
SMILES,2,512,512,0.001,1770 ± 70,"400 ± 40*
(22%)*","1370 ± 40
(78%)*","1370 ± 40
(100%)","1320 ± 40*
(96%)"
fragSMILES,2,512,512,0.001,1770 ± 90,"330 ± 30
(19%)","1440 ± 70
(81%)","1440 ± 60
(100%)","1400 ± 60
(97%)"
t-SMILES,2,512,512,0.001,1840 ± 90,"1010 ± 50*
(55%)*","830 ± 50*
(45%)*","830 ± 50*
(100%)*","830 ± 50*
(100%)*"
