notation,hl,hu,bs,lr,FCD/Test,SNN/Test,Scaf/Test,IntDiv,IntDiv2,Filters,logP,SA,QED,weight
SELFIES,2,512,512,0.001,5.5 ± 0.2*,0.377 ± 0.005*,0.25 ± 0.04*,0.88 ± 0.001*,0.875 ± 0.001*,0.578 ± 0.008*,0.2 ± 0.09,0.74 ± 0.04*,0.019 ± 0.003,5 ± 3
SMILES,2,512,512,0.001,0.8 ± 0.1*,0.486 ± 0.003*,0.38 ± 0.04,0.869 ± 0.001,0.863 ± 0.001,0.849 ± 0.005,0.08 ± 0.03,0.05 ± 0.03,0.02 ± 0.01,14 ± 4
fragSMILES,2,512,512,0.001,0.69 ± 0.05,0.51 ± 0.003,0.38 ± 0.02,0.8689 ± 0.0008,0.8634 ± 0.0008,0.845 ± 0.003,0.11 ± 0.06,0.05 ± 0.03,0.01 ± 0.01,9 ± 5
t-SMILES,2,512,512,0.001,1.56 ± 0.08*,0.428 ± 0.003*,0.33 ± 0.02*,0.8752 ± 0.0009*,0.8691 ± 0.0009*,0.836 ± 0.006*,0.2 ± 0.1,0.05 ± 0.01,0.038 ± 0.005*,38 ± 3*
notation,hl,hu,bs,lr,FCD/Test,SNN/Test,Scaf/Test,IntDiv,IntDiv2,Filters,logP,SA,QED,weight
SELFIES,2,512,512,0.001,5.5 ± 0.2*,0.377 ± 0.005*,0.25 ± 0.04*,0.88 ± 0.001*,0.875 ± 0.001*,0.578 ± 0.008*,0.2 ± 0.09,0.74 ± 0.04*,0.019 ± 0.003,5 ± 3
SMILES,2,512,512,0.001,0.8 ± 0.1*,0.486 ± 0.003*,0.38 ± 0.04,0.869 ± 0.001,0.863 ± 0.001,0.849 ± 0.005,0.08 ± 0.03,0.05 ± 0.03,0.02 ± 0.01,14 ± 4
fragSMILES,2,512,512,0.001,0.69 ± 0.05,0.51 ± 0.003,0.38 ± 0.02,0.8689 ± 0.0008,0.8634 ± 0.0008,0.845 ± 0.003,0.11 ± 0.06,0.05 ± 0.03,0.01 ± 0.01,9 ± 5
t-SMILES,2,512,512,0.001,1.56 ± 0.08*,0.428 ± 0.003*,0.33 ± 0.02*,0.8752 ± 0.0009*,0.8691 ± 0.0009*,0.836 ± 0.006*,0.2 ± 0.1,0.05 ± 0.01,0.038 ± 0.005*,38 ± 3*
notation,hl,hu,bs,lr,FCD/Test,SNN/Test,Scaf/Test,IntDiv,IntDiv2,Filters,logP,SA,QED,weight
SELFIES,2,512,512,0.001,5.5 ± 0.2*,0.377 ± 0.005*,0.25 ± 0.04*,0.88 ± 0.001*,0.875 ± 0.001*,0.578 ± 0.008*,0.2 ± 0.09,0.74 ± 0.04*,0.019 ± 0.003,5 ± 3
SMILES,2,512,512,0.001,0.8 ± 0.1*,0.486 ± 0.003*,0.38 ± 0.04,0.869 ± 0.001,0.863 ± 0.001,0.849 ± 0.005,0.08 ± 0.03,0.05 ± 0.03,0.02 ± 0.01,14 ± 4
fragSMILES,2,512,512,0.001,0.69 ± 0.05,0.51 ± 0.003,0.38 ± 0.02,0.8689 ± 0.0008,0.8634 ± 0.0008,0.845 ± 0.003,0.11 ± 0.06,0.05 ± 0.03,0.01 ± 0.01,9 ± 5
t-SMILES,2,512,512,0.001,1.56 ± 0.08*,0.428 ± 0.003*,0.33 ± 0.02*,0.8752 ± 0.0009*,0.8691 ± 0.0009*,0.836 ± 0.006*,0.2 ± 0.1,0.05 ± 0.01,0.038 ± 0.005*,38 ± 3*
