notation,hl,hu,bs,lr,FCD/Test,SNN/Test,Scaf/Test,IntDiv,IntDiv2,Filters,logP,SA,QED,weight
SELFIES,2,512,256,0.001,3.4 ± 0.1*,0.375 ± 0.001*,0.25 ± 0.02*,0.8764 ± 0.0006*,0.8715 ± 0.0006*,0.68 ± 0.01*,0.12 ± 0.05,0.53 ± 0.02*,0.017 ± 0.005,5 ± 2
SMILES,2,512,256,0.001,0.99 ± 0.07*,0.428 ± 0.001*,0.3 ± 0.04*,0.872 ± 0.001*,0.867 ± 0.001*,0.841 ± 0.006,0.11 ± 0.04,0.06 ± 0.02,0.02 ± 0.02,15 ± 9
fragSMILES,2,512,256,0.001,0.72 ± 0.06,0.5 ± 0.006,0.38 ± 0.02,0.869 ± 0.002,0.863 ± 0.002,0.85 ± 0.01,0.15 ± 0.07,0.05 ± 0.02,0.015 ± 0.007,7 ± 4
t-SMILES,2,512,256,0.001,1.37 ± 0.06*,0.443 ± 0.006*,0.31 ± 0.02*,0.874 ± 0.001*,0.869 ± 0.001*,0.823 ± 0.01*,0.14 ± 0.06,0.05 ± 0.02,0.03 ± 0.01*,36 ± 4*
notation,hl,hu,bs,lr,FCD/Test,SNN/Test,Scaf/Test,IntDiv,IntDiv2,Filters,logP,SA,QED,weight
SELFIES,2,512,256,0.001,3.4 ± 0.1*,0.375 ± 0.001*,0.25 ± 0.02*,0.8764 ± 0.0006*,0.8715 ± 0.0006*,0.68 ± 0.01*,0.12 ± 0.05,0.53 ± 0.02*,0.017 ± 0.005,5 ± 2
SMILES,2,512,256,0.001,0.99 ± 0.07*,0.428 ± 0.001*,0.3 ± 0.04*,0.872 ± 0.001*,0.867 ± 0.001*,0.841 ± 0.006,0.11 ± 0.04,0.06 ± 0.02,0.02 ± 0.02,15 ± 9
fragSMILES,2,512,256,0.001,0.72 ± 0.06,0.5 ± 0.006,0.38 ± 0.02,0.869 ± 0.002,0.863 ± 0.002,0.85 ± 0.01,0.15 ± 0.07,0.05 ± 0.02,0.015 ± 0.007,7 ± 4
t-SMILES,2,512,256,0.001,1.37 ± 0.06*,0.443 ± 0.006*,0.31 ± 0.02*,0.874 ± 0.001*,0.869 ± 0.001*,0.823 ± 0.01*,0.14 ± 0.06,0.05 ± 0.02,0.03 ± 0.01*,36 ± 4*
notation,hl,hu,bs,lr,FCD/Test,SNN/Test,Scaf/Test,IntDiv,IntDiv2,Filters,logP,SA,QED,weight
SELFIES,2,512,256,0.001,3.4 ± 0.1*,0.375 ± 0.001*,0.25 ± 0.02*,0.8764 ± 0.0006*,0.8715 ± 0.0006*,0.68 ± 0.01*,0.12 ± 0.05,0.53 ± 0.02*,0.017 ± 0.005,5 ± 2
SMILES,2,512,256,0.001,0.99 ± 0.07*,0.428 ± 0.001*,0.3 ± 0.04*,0.872 ± 0.001*,0.867 ± 0.001*,0.841 ± 0.006,0.11 ± 0.04,0.06 ± 0.02,0.02 ± 0.02,15 ± 9
fragSMILES,2,512,256,0.001,0.72 ± 0.06,0.5 ± 0.006,0.38 ± 0.02,0.869 ± 0.002,0.863 ± 0.002,0.85 ± 0.01,0.15 ± 0.07,0.05 ± 0.02,0.015 ± 0.007,7 ± 4
t-SMILES,2,512,256,0.001,1.37 ± 0.06*,0.443 ± 0.006*,0.31 ± 0.02*,0.874 ± 0.001*,0.869 ± 0.001*,0.823 ± 0.01*,0.14 ± 0.06,0.05 ± 0.02,0.03 ± 0.01*,36 ± 4*
