notation,hl,hu,bs,lr,valid,unique,novel
SELFIES,2,512,512,0.001,"6000 ± 0*
(100%)*","5999 ± 2*
(100%)*","5971 ± 2*
(100%)*"
SMILES,2,512,512,0.001,"4930 ± 70*
(82%)*","4920 ± 70*
(100%)","4770 ± 60*
(97%)"
fragSMILES,2,512,512,0.001,"5280 ± 20
(88%)","5270 ± 30
(100%)","5110 ± 40
(97%)"
t-SMILES,2,512,512,0.001,"6000 ± 0*
(100%)*","5880 ± 10*
(98%)*","5860 ± 10*
(100%)*"
notation,hl,hu,bs,lr,valid,unique,novel
SELFIES,2,512,512,0.001,"6000 ± 0*
(100%)*","5999 ± 2*
(100%)*","5971 ± 2*
(100%)*"
SMILES,2,512,512,0.001,"4930 ± 70*
(82%)*","4920 ± 70*
(100%)","4770 ± 60*
(97%)"
fragSMILES,2,512,512,0.001,"5280 ± 20
(88%)","5270 ± 30
(100%)","5110 ± 40
(97%)"
t-SMILES,2,512,512,0.001,"6000 ± 0*
(100%)*","5880 ± 10*
(98%)*","5860 ± 10*
(100%)*"
notation,hl,hu,bs,lr,valid,unique,novel
SELFIES,2,512,512,0.001,"6000 ± 0*
(100%)*","5999 ± 2*
(100%)*","5971 ± 2*
(100%)*"
SMILES,2,512,512,0.001,"4930 ± 70*
(82%)*","4920 ± 70*
(100%)","4770 ± 60*
(97%)"
fragSMILES,2,512,512,0.001,"5280 ± 20
(88%)","5270 ± 30
(100%)","5110 ± 40
(97%)"
t-SMILES,2,512,512,0.001,"6000 ± 0*
(100%)*","5880 ± 10*
(98%)*","5860 ± 10*
(100%)*"
notation,hl,hu,bs,lr,valid,unique,novel
SELFIES,2,512,512,0.001,"6000 ± 0*
(100%)*","5999 ± 2*
(100%)*","5971 ± 2*
(100%)*"
SMILES,2,512,512,0.001,"4930 ± 70*
(82%)*","4920 ± 70*
(100%)","4770 ± 60*
(97%)"
fragSMILES,2,512,512,0.001,"5280 ± 20
(88%)","5270 ± 30
(100%)","5110 ± 40
(97%)"
t-SMILES,2,512,512,0.001,"6000 ± 0*
(100%)*","5880 ± 10*
(98%)*","5860 ± 10*
(100%)*"
