notation,hl,hu,bs,lr,valid,unique,novel
SELFIES,2,512,256,0.001,"6000 ± 0*
(100%)*","6000 ± 0*
(100%)*","5997 ± 1*
(100%)*"
SMILES,2,512,256,0.001,"5300 ± 40*
(88%)*","5300 ± 40*
(100%)*","5280 ± 40
(100%)*"
fragSMILES,2,512,256,0.001,"5420 ± 60
(90%)","5410 ± 60
(100%)","5300 ± 60
(98%)"
t-SMILES,2,512,256,0.001,"6000 ± 0*
(100%)*","5930 ± 10*
(99%)*","5880 ± 10*
(99%)*"
notation,hl,hu,bs,lr,valid,unique,novel
SELFIES,2,512,256,0.001,"6000 ± 0*
(100%)*","6000 ± 0*
(100%)*","5997 ± 1*
(100%)*"
SMILES,2,512,256,0.001,"5300 ± 40*
(88%)*","5300 ± 40*
(100%)*","5280 ± 40
(100%)*"
fragSMILES,2,512,256,0.001,"5420 ± 60
(90%)","5410 ± 60
(100%)","5300 ± 60
(98%)"
t-SMILES,2,512,256,0.001,"6000 ± 0*
(100%)*","5930 ± 10*
(99%)*","5880 ± 10*
(99%)*"
notation,hl,hu,bs,lr,valid,unique,novel
SELFIES,2,512,256,0.001,"6000 ± 0*
(100%)*","6000 ± 0*
(100%)*","5997 ± 1*
(100%)*"
SMILES,2,512,256,0.001,"5300 ± 40*
(88%)*","5300 ± 40*
(100%)*","5280 ± 40
(100%)*"
fragSMILES,2,512,256,0.001,"5420 ± 60
(90%)","5410 ± 60
(100%)","5300 ± 60
(98%)"
t-SMILES,2,512,256,0.001,"6000 ± 0*
(100%)*","5930 ± 10*
(99%)*","5880 ± 10*
(99%)*"
