notation,hl,hu,bs,lr,FCD/Test,SNN/Test,Scaf/Test,IntDiv,IntDiv2,Filters,logP,SA,QED,weight
SELFIES,3,256,512,0.001,1.0 ± 0.06*,0.535 ± 0.002*,0.7 ± 0.05,0.86 ± 0.001*,0.854 ± 0.001*,0.925 ± 0.009*,0.17 ± 0.07*,0.219 ± 0.009*,0.025 ± 0.004*,4.2 ± 0.9
SMILES,3,256,512,0.001,0.39 ± 0.03*,0.56 ± 0.003*,0.69 ± 0.04,0.8575 ± 0.0008,0.8514 ± 0.0008,0.989 ± 0.002*,0.12 ± 0.03*,0.07 ± 0.02,0.01 ± 0.004,6 ± 2
fragSMILES,3,256,512,0.001,0.32 ± 0.02,0.617 ± 0.005,0.74 ± 0.04,0.8564 ± 0.0009,0.8502 ± 0.001,0.991 ± 0.001,0.07 ± 0.02,0.04 ± 0.02,0.008 ± 0.004,3.8 ± 0.3
t-SMILES,3,256,512,0.001,0.67 ± 0.03*,0.539 ± 0.003*,0.64 ± 0.03*,0.8597 ± 0.001*,0.8535 ± 0.0009*,0.944 ± 0.005*,0.09 ± 0.02,0.15 ± 0.02*,0.018 ± 0.005*,6 ± 1*
notation,hl,hu,bs,lr,FCD/Test,SNN/Test,Scaf/Test,IntDiv,IntDiv2,Filters,logP,SA,QED,weight
SELFIES,3,256,512,0.001,1.0 ± 0.06*,0.535 ± 0.002*,0.7 ± 0.05,0.86 ± 0.001*,0.854 ± 0.001*,0.925 ± 0.009*,0.17 ± 0.07*,0.219 ± 0.009*,0.025 ± 0.004*,4.2 ± 0.9
SMILES,3,256,512,0.001,0.39 ± 0.03*,0.56 ± 0.003*,0.69 ± 0.04,0.8575 ± 0.0008,0.8514 ± 0.0008,0.989 ± 0.002*,0.12 ± 0.03*,0.07 ± 0.02,0.01 ± 0.004,6 ± 2
fragSMILES,3,256,512,0.001,0.32 ± 0.02,0.617 ± 0.005,0.74 ± 0.04,0.8564 ± 0.0009,0.8502 ± 0.001,0.991 ± 0.001,0.07 ± 0.02,0.04 ± 0.02,0.008 ± 0.004,3.8 ± 0.3
t-SMILES,3,256,512,0.001,0.67 ± 0.03*,0.539 ± 0.003*,0.64 ± 0.03*,0.8597 ± 0.001*,0.8535 ± 0.0009*,0.944 ± 0.005*,0.09 ± 0.02,0.15 ± 0.02*,0.018 ± 0.005*,6 ± 1*
notation,hl,hu,bs,lr,FCD/Test,SNN/Test,Scaf/Test,IntDiv,IntDiv2,Filters,logP,SA,QED,weight
SELFIES,3,256,512,0.001,1.0 ± 0.06*,0.535 ± 0.002*,0.7 ± 0.05,0.86 ± 0.001*,0.854 ± 0.001*,0.925 ± 0.009*,0.17 ± 0.07*,0.219 ± 0.009*,0.025 ± 0.004*,4.2 ± 0.9
SMILES,3,256,512,0.001,0.39 ± 0.03*,0.56 ± 0.003*,0.69 ± 0.04,0.8575 ± 0.0008,0.8514 ± 0.0008,0.989 ± 0.002*,0.12 ± 0.03*,0.07 ± 0.02,0.01 ± 0.004,6 ± 2
fragSMILES,3,256,512,0.001,0.32 ± 0.02,0.617 ± 0.005,0.74 ± 0.04,0.8564 ± 0.0009,0.8502 ± 0.001,0.991 ± 0.001,0.07 ± 0.02,0.04 ± 0.02,0.008 ± 0.004,3.8 ± 0.3
t-SMILES,3,256,512,0.001,0.67 ± 0.03*,0.539 ± 0.003*,0.64 ± 0.03*,0.8597 ± 0.001*,0.8535 ± 0.0009*,0.944 ± 0.005*,0.09 ± 0.02,0.15 ± 0.02*,0.018 ± 0.005*,6 ± 1*
