smiles,0
CN=C(c1ccccc1OCCCN1CCCC1)c1c(F)cc(N2CCNCC2)cc1NCCN(C)C,[C][N][=C][Branch2][Ring1][P][C][=C][Branch2][Ring1][O][C][=C][Branch1][#C][C][=C][Ring1][=Branch1][N][Ring1][=Branch2][C][C][N][Branch1][C][C][C][N][C][C][N][C][C][Ring1][=Branch1][F][C][=C][Branch1][N][O][C][C][C][N][C][C][C][C][Ring1][Branch1][C][=C][C][=C][Ring1][#C]
Cc1cc(C)c(Nc2nc(C(F)(F)F)ccc2[C@H]2NC[C@H](c3ncccc3C)O[C@H]2C)c(C)c1,[C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=C][C][=C][Branch2][Ring1][#Branch1][C][=Branch1][Ring2][=N][Ring1][#Branch2][N][C][=C][Branch1][C][C][C][=C][Branch1][=Branch1][C][=C][Ring1][#Branch1][C][C][C@H1][N][C][C@H1][Branch1][#Branch2][C][=N][C][=C][C][=C][Ring1][=Branch1][C][O][C@H1][Ring1][=N][C]
CC=C1C=C(Cl)C=C2C=C1C(CC(=O)NC(=O)c1cccc(Cl)c1)=C2c1ccc(OC)c(OC)c1,[C][C][=C][C][=C][C][Branch2][Ring2][N][C][Branch1][P][C][=C][C][=Branch1][#Branch2][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][O][C][=C][Ring1][#C][C][C][Branch1][P][N][C][=Branch1][C][=O][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][Cl][=O][=C][C][=Branch1][Branch1][=C][Ring2][Ring1][S][Cl]
CCNC(=O)Oc1cccc2c1CCC(C(=O)NC1CC[SH](CO)CC1)=CN2,[C][C][N][C][=Branch1][C][=O][O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][N][C][=C][Branch2][Ring1][C][C][=Branch1][C][=O][N][C][C][C][S][Branch1][Ring1][C][O][C][C][Ring1][Branch2][C][C][Ring1][P]
O=C([C@@H]1C[C@H](NC2N=C(OC(F)(F)F)C=C2c2ccc(C3CC3)cc2)CN(Cc2c(Cl)cccc2Cl)C1)N1CCC1,[C][C][=Branch2][Branch1][#Branch2][=N][C][Branch2][Ring1][Ring1][C][=Ring1][Branch1][C][=C][C][=C][Branch1][=Branch1][C][C][C][Ring1][Ring1][C][=C][Ring1][=Branch2][N][C@H1][C][C@@H1][Branch1][O][C][=Branch1][C][=O][N][C][C][C][Ring1][Ring2][C][N][Branch1][Ring2][C][Ring1][N][C][Branch1][=N][C][=C][Branch1][Branch2][C][=C][C][=C][Ring1][=Branch1][Cl][Cl][=O][C][Branch1][C][F][Branch1][C][F][F]
Cn1nccc1-c1cn(CC(=O)N2C[C@H](F)C[C@H]2C(=O)N2CCCC2)c2ccc(Cl)cc12,[C][N][N][=C][C][=C][Ring1][Branch1][C][=C][N][Branch2][Ring1][O][C][C][=Branch1][C][=O][N][C][C@H1][Branch1][C][F][C][C@H1][Ring1][=Branch1][C][=Branch1][C][=O][N][C][C][C][C][Ring1][Branch1][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][Ring2][Ring1][#Branch2]
CCOc1ccc(NC2C(=O)C(c3ccc(OC)c(OC)c3)=NN2c2ccccc2)cc1,[C][=Branch2][Branch1][C][=C][C][=C][Branch2][Ring2][#Branch1][N][C][N][Branch2][Ring1][=Branch2][N][=C][Branch1][P][C][=C][C][=Branch1][#Branch2][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][O][C][C][Ring1][#C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring2][Ring1][=N][O][C][C]
O=C(Nc1ccccc1)C(Sc1ccccc1)c1ccccn1,[O][=C][Branch1][#Branch2][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][#Branch2][S][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=N][Ring1][=Branch1]
O=C1C(c2ccc(F)cc2)CCN1C1CCN(CCCNS(=O)(=O)c2cccc3nsnc23)CC1,[O][=C][N][Branch1][P][C][C][C][=Ring1][Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][F][C][C][C][N][Branch2][Ring1][=Branch2][C][C][C][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][C][=N][S][N][=C][Ring1][Branch1][Ring1][=Branch2][C][C][Ring2][Ring1][=Branch1]
COC(=O)CCOc1cc(C2CCSC2N)cc(C2=NNC2C)c1O,[N][=C][Branch2][Ring1][S][C][=C][C][=Branch2][Ring1][C][=C][C][Branch1][#Branch2][O][C][C][C][Branch1][Ring1][O][C][=O][=C][Ring1][=N][O][C][C][C][S][C][Ring1][Branch1][N][=C][Branch1][Branch1][N][Ring2][Ring1][Branch2][C]
CCCC(=CC1(C)NCC1C)c1ccc(Oc2ncccc2-c2cccc(C)n2)cc1,[C][NH1][C][Branch2][Ring2][=C][C][=C][Branch2][Ring2][Ring1][C][=C][C][=C][Branch2][Ring1][#Branch1][O][C][=C][Branch1][#Branch1][C][=C][C][=N][Ring1][=Branch1][C][=C][C][=C][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][C][=C][Ring2][Ring1][Ring2][C][=Ring2][Ring1][=Branch2][=C][C][Branch1][C][C][=C][Ring2][Ring1][=C][C]
N#C[C@@H]1C[C@@H](F)CN1C(=O)CNC(=O)c1ccco1,[C][=Branch1][C][=O][Branch1][Branch2][C][=C][C][=C][O][Ring1][Branch1][N][C][C][=Branch1][C][=O][N][C@@H1][Branch1][=Branch2][C][C@H1][Branch1][Ring2][C][Ring1][Branch1][F][C][#N]
CCCC(=O)N1C=Nc2ccc(Cl)c(Cl)c2C1,[C][C][C][C][=Branch1][C][=O][N][Branch1][C][C][C][=N][C][=C][C][=C][Branch1][#Branch2][C][Branch1][C][Cl][=C][Ring1][#Branch2][Ring1][#Branch1][Cl]
CCCNC(=O)CN=C(ON)c1ccc(OCCN2CCOCC2)cc1,[C][C][C][N][C][=Branch1][C][=O][C][N][=C][Branch2][Ring1][=Branch1][C][=C][C][=C][Branch1][N][O][C][C][N][C][C][O][C][C][Ring1][=Branch1][C][=C][Ring1][#C][O][N][=Ring2][Ring1][Branch1]
C=C1CN(S(=O)(=O)CCC)CC1=CC(=CN1CCCCC1)OC,[C][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C][=C][Branch1][Ring1][O][C][C][=C][C][N][Branch1][Branch2][C][C][Ring1][Branch1][=C][Ring1][#Branch2][S][Branch1][Ring2][C][C][C][=Branch1][C][=O][=O]
O=C(NCC(O)C(F)(F)F)Nc1cccc(Br)c1Cl,[C][Branch1][C][O][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][N][C][Branch1][S][N][C][=C][Branch1][#Branch2][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][Br][Cl][=O]
CC(COc1ccc(-c2cscn2)cc1)NC1CCc2ccccc2O[C@@H]1[C@@H](O)CO,[C][S][C][=C][Branch2][Ring2][=N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][C][Branch1][Ring2][C][Ring1][#Branch1][N][C][C@H1][Branch1][S][O][C][=C][Branch1][#Branch1][C][=C][C][=C][Ring1][=Branch1][C][C][Ring1][O][C@@H1][Branch1][C][O][C][O][N][=Ring2][Ring1][#C]
CC(C)[C@@]1(CN(C)C[CH]CCN2CCN(C)CC2)Oc2ccccc2-c2cccc1c2,[C][=C][Branch1][#Branch1][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C@][Ring1][=Branch2][Branch2][Ring1][#Branch1][C][N][Branch1][C][C][C][C@@H1][Ring1][#Branch1][C][C][N][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C][C][Branch1][C][C][C]
COC(=O)CCCCCCC1=CCCc2cc(SCC(=O)Nc3ccc4[nH]ccc4c3)ccc21,[C][=C][Branch2][Ring1][#Branch1][S][C][C][Branch1][P][N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][NH1][C][=C][Ring1][#Branch1][=O][C][=C][C][C][=Branch1][#Branch2][=C][C][C][C][=Ring1][=Branch1][Ring2][Ring1][Branch2][C][C][C][Ring1][Branch2][C][C][C][C][Branch1][Ring1][O][C][=O]
CC(C)c1ccccc1NC(=O)NCCCCCCN1CCc2ccccc2C1,[C][Branch1][#C][N][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring1][#Branch2][C][C][C][C][C][N][C][=Branch1][C][=O][N][C][=C][Branch1][=Branch1][C][Branch1][C][C][C][C][=C][C][=C][Ring1][=Branch2]
