loss,running_loss,mode,lr
0.9488136172294617,1.7357447761187197,Train,0.001
1.0442678928375244,0.9515000241465291,Eval,
0.570813775062561,0.6958533310517836,Train,0.001
0.7320606708526611,0.6331813777101506,Eval,
0.5032141804695129,0.5213085812553094,Train,0.001
0.6707102060317993,0.572120671010874,Eval,
0.4723941385746002,0.48022928164008605,Train,0.001
0.6586021780967712,0.5504305079889205,Eval,
0.5642991065979004,0.46242472037877524,Train,0.001
0.6414543986320496,0.5356626729489721,Eval,
0.3854183256626129,0.4527833009084924,Train,0.001
0.63006991147995,0.5291035831932314,Eval,
0.48220276832580566,0.44615690855126827,Train,0.001
0.6267762780189514,0.5223687112556733,Eval,
0.42367276549339294,0.4403666925624945,Train,0.001
0.6184084415435791,0.5183014839267913,Eval,
0.5130497813224792,0.43682700485851444,Train,0.001
0.6190577745437622,0.5133435063641554,Eval,
0.40120354294776917,0.4341440728516926,Train,0.001
0.615671694278717,0.5118547109834187,Eval,
0.4409272074699402,0.43026739710803447,Train,0.001
0.6117879748344421,0.5083673543425276,Eval,
0.4865283668041229,0.4283632845518656,Train,0.001
0.6127699613571167,0.5067641185790246,Eval,
