smiles,0
CC(=O)c1cc(NC=N)c(OC2CCNCC2)cc1OCC(C)(C)O,[C][N][C][C][C][Branch2][Ring2][=Branch1][O][C][=C][Branch2][Ring1][#Branch2][C][=C][Branch1][P][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][C][Branch1][C][C][Branch1][C][C][O][C][Branch1][C][C][=O][NH1][C][=N][Ring1][P][C][C][Ring2][Ring1][=Branch2]
CN1CCC(NC(=O)NC(c2cccnc2)C2(C)C=CC3=C2C=CN=CC3)CC1,[C][=C][Branch2][Ring2][Branch2][C][=C][C][Branch2][Ring1][=C][C][Branch1][=Branch2][C][=C][C][=C][N][=C][Ring1][=Branch1][N][C][Branch1][=N][N][C][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C][=O][=C][Ring2][Ring1][Branch2][C][Branch1][C][C][=N][C][=C][Ring2][Ring1][=N]
CCC(=O)Nc1ccc(C)cc1N=C(C)C(=O)N(C)CCc1cncnc1,[N][=Branch2][Ring1][Branch2][=C][Branch2][Ring1][Ring1][C][=Branch1][C][=O][N][Branch1][C][C][C][C][C][=C][N][=C][N][=C][Ring1][=Branch1][C][C][=C][C][=Branch1][#C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][C][Ring1][=Branch1][C]
O=C(O)CC1(c2ccc(Cl)cc2)C(=O)Oc2ccc(CC3CC3=O)cc21,[C][=C][C][=C][Branch2][Ring2][Ring1][C][=C][Ring1][=Branch1][C][Branch1][N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl][Branch1][=Branch2][C][Branch1][Branch1][O][Ring2][Ring1][Ring1][=O][C][C][=Branch1][C][=O][O][C][C][C][C][Ring1][Ring1][=O]
C=CC1=C(C=Cc2ccc(S(=O)(=O)Nc3cnccc3C)cc2)NC(C)C=C1,[C][Branch2][Ring1][=N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][S][Branch1][O][N][C][=C][N][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][=O][C][=C][C][N][C][Branch1][#Branch2][C][=C][C][=Ring1][=Branch1][C][=C][Ring1][#Branch2][C]
COc1cccc(CN2C=CC=C(n3ccc([N+](=O)[O-])c3)N=C2)c1,[C][=C][C][=C][Branch1][#Branch1][C][=C][Ring1][=Branch1][O][C][C][N][C][=N][C][Branch1][=C][N][C][=C][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][=C][=Ring1][Branch2][=C][C][=C][Ring1][#C]
CCC1NCCNC12CN(c1cccc(N3CCOCC3=O)n1)c1ccccc12,[N][Branch2][Branch1][#Branch1][C][C][N][Branch2][Ring2][N][C][Branch2][Ring2][C][C][N][Branch1][O][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][=Branch2][C][=N][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][N][C][C][O][C][C][Ring1][=Branch1][=O][C][Ring2][Ring1][=C][C][C]
COC=CC1=C2C(=O)N[CH]C(=O)N(Cc3ccccc3C#N)CC(=CC=C(O)C(=CO)CC(F)F)[SH]2C=C1,[C][O][C][=C][C][=C][Branch2][Ring2][#C][C][=Branch1][C][=O][N][C@H1][C][=Branch1][C][=O][N][Branch1][N][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][#N][C][C][=C][C][=C][Branch1][C][O][C][Branch1][#Branch1][C][C][Branch1][C][F][F][=C][Ring2][Ring1][Ring2][O][S][Ring1][=N][C][=C][Ring2][Ring2][C]
O=C(O)[C@H]1CCCC[C@@H]1N1C[C@@H](O)[C@H](O)C1,[O][=C][Branch1][C][O][C@H1][C][C][C][C][C@@H1][Ring1][=Branch1][N][C][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C][Ring1][#Branch1]
C=C1N=C(N2CCOCC2)C=C1Oc1c(OC)ccc(C2=C(OC)[SH](N)(=O)c3ccc(O)cc32)c1OC,[C][=C][C][Branch2][Ring2][=N][O][C][=C][Branch1][Ring1][O][C][C][=C][C][=Branch1][=Branch1][=C][Ring1][Branch2][O][C][C][=C][Branch2][Ring1][Branch1][S][=Branch1][C][=O][Branch1][=C][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][Ring1][O][N][=O][C][=C][C][=Branch1][Branch1][=N][Ring2][Ring1][=C][N][C][C][O][C][C][Ring1][=Branch1]
NC[C@H](CN=NCN[CH]C1C[C@@H]2C[C@@H]1[C@@H]1CCN(C3CC3)[C@H]2C1)NC1CCSC1,[N][=Branch1][S][=N][C][C@H1][Branch1][=Branch2][N][C][C][S][C][C][Ring1][Branch1][C][N][=C][N][Ring1][=N][C@H1][C][C@H1][C@H1][C][C@H1][Branch1][=N][N][Branch1][Branch1][C][C][Ring1][=Branch1][C][C][C][Ring1][Ring1][C@@H1][Branch1][Ring2][C][Ring1][N][C][Ring1][=C]
CC(=O)N[C@@H]1CCCN(c2nccc(-c3ccnc(-c4nc(-c5ccccc5Cl)n(C)n4)c3)n2)C1,[N][=C][Branch2][Ring1][Ring2][N][=C][Branch1][N][C][=C][Branch1][Branch2][C][=C][C][=C][Ring1][=Branch1][Cl][N][Ring1][=N][C][C][=C][C][=Branch1][=Branch1][=C][C][=N][Ring1][=Branch1][C][=C][C][=N][C][=Branch1][Ring2][=N][Ring1][=Branch1][N][C][C][C][C@H1][Branch1][Ring2][C][Ring1][=Branch1][N][C][Branch1][C][C][=O]
CC1=CC(C)CN(C(=O)NC2=CC=c3c(cnn3Cc3ccccc3C)=CC=C2)C1,[C][Branch2][Ring2][=C][C][N][Branch1][=Branch2][C][C][Branch1][Ring2][C][=Ring1][=Branch1][C][C][=Branch1][C][=O][N][C][=C][C][=C][C][Branch1][S][C][=N][N][Ring1][Branch1][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Ring2][Ring1][Ring1][C]
N=C(N)c1cccc([C@H](NC(=O)[C@@H](OC(=O)C2CCCCC2)c2c(Cl)cccc2C=O)C(=O)O)c1,[C][C][C][C][C][Branch1][Ring2][C][Ring1][=Branch1][C][=Branch1][C][=O][O][C@@H1][Branch1][S][C][=C][Branch1][Branch1][C][Ring1][=Branch1][=O][C][=C][C][=C][Ring1][Branch2][Cl][C][=Branch1][C][=O][N][C@@H1][Branch1][S][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=N][N][C][=Branch1][C][=O][O]
Cc1ccc([C]2Cc3ccccc3NC3=Nc4nc(C)c2c(n4)NC(=O)N[C@H](C(=O)NCO)[C@@H](O)C(C)CC3)cc1,[N][Branch2][Ring1][#Branch1][C][Branch2][Ring1][C][N][C@@H1][Branch1][#Branch1][C@@H1][Branch1][C][O][C][C][C][=Branch1][C][=O][N][C][O][=O][C][=C][Branch1][=N][C][Branch1][C][C][=N][C][=Branch1][Ring2][=N][Ring1][#Branch1][N][C@@][Branch1][N][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][C][C][=C][Branch1][#Branch2][NH1][C][=Ring1][=C][C][C][Ring2][Ring1][#C][C][=C][C][=C][Ring1][#Branch2]
