smiles,0
CC(C)[C@@H]1CCN(C(=O)N(CCCCNC[C@@H](O)c2ccc(Cl)c(NS(C)(=O)=O)c2)[C@H]2CCNC2=O)C1,[C@H]1(N(CCCCNC[C@@H](O)c2ccc(c(c2)NS(C)(=O)=O)Cl)C(N2C[C@H](C(C)C)CC2)=O)CCNC1=O
O=C1CC(C(F)(F)F)(C(F)(F)F)c2ccccc2N1,c12NC(CC(C(F)(F)F)(c1cccc2)C(F)(F)F)=O
CCOC(=O)CC(CNCCc1ccc(N)cc1)c1ccccc1,c1(ccccc1)C(CC(OCC)=O)CNCCc1ccc(N)cc1
CC(=N)N1CCC(n2ncc3c4cnccc4n([C@H]4C[C@H]4NC(=O)c4ccccc4)c32)CC1,[C@H]1(C[C@@H]1n1c2c(c3c1ccnc3)cnn2C1CCN(C(C)=N)CC1)NC(=O)c1ccccc1
Cc1cnc(N)nc1Oc1ccc(F)cc1Cl,c1c(ccc(c1Cl)Oc1c(C)cnc(N)n1)F
Cc1c(-c2ccc(Cl)c(Cl)c2)c(-c2ccc(OC(F)F)cc2)nn1NC(=O)[C@@H]1CNC(=O)C1,FC(F)Oc1ccc(cc1)-c1nn(c(C)c1-c1cc(Cl)c(cc1)Cl)NC([C@H]1CC(=O)NC1)=O
O=C(O)C(=O)CCCCCC(O)c1cccc2nc(-c3cccc(S(=O)(=O)NCCO)c3)sc12,O=C(O)C(=O)CCCCCC(O)c1cccc2nc(-c3cccc(S(=O)(=O)NCCO)c3)sc12
CCc1ncnc(-c2ccc(C(=O)N3CCN(C(=O)NC)CC3C)c(Cl)c2)c1C#Cc1ccc(N)nc1,CCc1ncnc(-c2ccc(C(=O)N3CCN(C(=O)NC)CC3C)c(Cl)c2)c1C#Cc1ccc(N)nc1
COCc1cccc(S(=O)(=O)Nc2ccc(C3CCCNC3)c3ccccc23)c1,COCc1cccc(S(=O)(=O)Nc2ccc(C3CCCNC3)c3ccccc23)c1
COc1ccc(Cl)cc1-c1ncc(F)cc1CN1CC[C@@H](Nc2cc(=O)[nH]c(CCC(=O)N[C@@H](CO)c3ccccc3)n2)C1,c1cccc(c1)[C@@H](NC(=O)CCc1nc(cc(=O)[nH]1)N[C@@H]1CCN(Cc2c(-c3cc(Cl)ccc3OC)ncc(F)c2)C1)CO
