smiles,0
COc1ccc2c(c1)CC(C(=O)NO)N(c1ccc(OCCN(C)C)cc1)C2,O.N.C=O.<8>c1ccc2c(c1)CNCC2<7>.<1>(O.C.).<0>c1ccccc1<3>.O.C.C.N.(C.).C.
Cc1cccc2[nH]cc(-c3nn(Cc4ccc5ccccc5c4)c(=O)c4ccccc34)c12,c1ccc2ccccc2c1<0>.C.<2>O=c1[nH]ncc2ccccc12<4>.<6>c1ccc2[nH]ccc2c1<8>.C.
CN1CCC(CCOc2cc(C(=O)NC(S)(CC(=O)O)c3ccc(Oc4ccccc4)cc3)c3ccccc3n2)CC1,O.C=O.C.CS.(<0>c1ccccc1<3>.O.<0>c1ccccc1.).N.C=O.<7>c1ccc2ncccc2c1<5>.O.C.C.<0>C1CCNCC1<3>.C.
CC(F)CN1CC=C(c2c[nH]c3nccc(-c4ccc(Cl)cc4NC(=O)c4c(Cl)cccc4Cl)c23)CC1,Cl.<4>c1ccccc1<5>.<0>(Cl.).C=O.N.<4>c1ccccc1<0>.<3>(<8>c1cnc2[nH]ccc2c1<6>.<0>C1=CCNCC1<3>.C.C.(C.).F.).Cl.
CNc1ncnc2[nH]c(C)c(CN(C)C)c12,C.N.(C.).C.<4>c1ncc2cc[nH]c2n1<5>.<2>(N.C.).C.
COc1cccc2c1sc1c(NCc3ccccc3)ncnc12,c1ccccc1<0>.C.N.<8>c1ccc2c(c1)sc1cncnc12<5>.O.C.
O=C(Nc1ccc(S(=O)(=O)NC(C(=O)N2CCCCC2)c2ccccc2)cc1)c1ccc2cccnc2c1,c1ccccc1<0>.C.(N.O=[SH2]=O.<0>c1ccccc1<3>.N.C=O.<1>c1ccc2ncccc2c1.).C=O.<3>C1CCNCC1.
O=C(c1ccc(O)cc1)c1cc2ccccc2o1,c1ccc2occc2c1<5>.C=O.<0>c1ccccc1<3>.O.
C=C(Cn1c(=O)c2c(nc(-c3ccccc3)n2C)n(CCO)c1=O)c1ccc(Cl)cc1,c1ccccc1<0>.<7>O=c1[nH]c(=O)c2[nH]cnc2[nH]1<2>.<10>(C.C.O.)<6>(C.).C.<0>C=C<0>.<0>c1ccccc1<3>.Cl.
CN(C)c1ccc(C(=O)NC(C)(S)CN(C=O)S(=O)(=O)c2ccccc2)cc1,C=O.N.(O=[SH2]=O.<0>c1ccccc1.).C.CS.(C.).N.C=O.<3>c1ccccc1<0>.N.(C.).C.
COc1cccc2c(NC(=O)Cc3ccc(N4CCOCC4)nc3)cn(OC)c12,C1COCCN1<5>.<4>c1ccncc1<1>.C.C=O.N.<6>c1ccc2[nH]ccc2c1<4>.<2>(O.C.).O.C.
Cc1nc(-c2ccc(CN3CCN(C(=O)Nc4ccc(S(N)(=O)=O)cc4)CC3)cc2)no1,N.O=[SH2]=O.<0>c1ccccc1<3>.N.C=O.<2>C1CNCCN1<5>.C.<3>c1ccccc1<0>.<0>c1ncon1<2>.C.
Cc1cc(-c2c(C)cccc2Cl)no1,C.<0>c1ccccc1<5>.<4>(Cl.).<1>c1cnoc1<4>.C.
N#Cc1ccc(N(CCCOc2ccc3oc(C(F)(F)F)nc3c2)C2CCCCC2)nc1,F.C.(F.)(F.).<5>c1ccc2ocnc2c1<0>.O.C.C.C.N.(<0>C1CCCCC1.).<4>c1ccncc1<1>.C#N.
NC(=O)c1cc(Nc2ccc(-c3ccc(N)nc3)cc2)nn1-c1ccccn1,N.<4>c1ccncc1<1>.<3>c1ccccc1<0>.N.<1>c1cn[nH]c1<4>.<3>(<2>c1ccncc1.).C=O.N.
Cc1ccccc1N(CCOS(N)(=O)=O)C(=O)C(C)(Cc1c[nH]c2ccccc12)NC(=O)C(C)(C)N,N.O=[SH2]=O.O.C.C.N.(<0>c1ccccc1<5>.C.).C=O.C.(C.)(C.<6>c1ccc2[nH]ccc2c1.).N.C=O.C.(N.)(C.).C.
O=C(Nc1cccc(OCCCN2CCN(c3ncccn3)CC2)c1)NC1CC1,C1CC1<0>.N.C=O.N.<0>c1ccccc1<4>.O.C.C.C.<2>C1CNCCN1<5>.<3>c1cncnc1.
COc1cc(N2C[C@@H](C)N[C@@H](C)C2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1C#Cc1ccccc1)CC2,C.<0R>C1CNCCN1<2>.<4S>(C.).<0>c1ccccc1<3>.<4>(O.C.).N.<0>c1ncc2c(n1)-c1c[nH]nc1CC2<7>.<8>(C.).<0>C#C<1>.<0>c1ccccc1.
N#C[C@@H]1CCCN1C(=O)CNC1CCN(Cc2ccc(Cl)c(Cl)c2)CC1,Cl.<3>c1ccccc1<0>.<4>(Cl.).C.<3>C1CCNCC1<0>.N.C.C=O.<3>C1CCNC1<4S>.C#N.
