smiles,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
N=C(N)NCCCCCNCCC[C@@H](c1ccccc1)c1nc[nH]c(=O)c1O,<bos>,c1ccccc1,<0>,C|S,(,<3>,O=c1ccnc[nH]1,<2>,O,),C,C,C,N,C,C,C,C,C,N,<0>,C=N,<0>,N,<eos>,,,,,,,,,,,,,,,,
COC(=O)c1ccc(O)c(C=O)c1,<bos>,C,O,C=O,<0>,c1ccccc1,<3>,<4>,(,C=O,),O,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC1n2c(cc3cccnc32)C(=O)NCC1(C)C(=O)N1C2CCC1C(CNc1ncccn1)C2,<bos>,C,<4>,O=C1NCCCn2c1cc1cccnc12,<4>,<5>,(,C,),C=O,<6>,C1CC2CCC1N2,<0>,C,N,<3>,c1cncnc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,
O=C(O)c1cccc(-c2cn(-c3ccc(F)cc3)c(N3C[C@H]4C[C@]3(N3CCOCC3)CN4)n2)c1,<bos>,F,<3>,c1ccccc1,<0>,<2>,c1c[nH]cn1,<0>,<3>,(,<1>,C1NC2CNC1C2|2R5R,<2>,<5>,C1COCCN1,),<4>,c1ccccc1,<0>,C=O,O,<eos>,,,,,,,,,,,,,,,,,,,
Cc1nc(-c2ccc(C(=O)NCCNc3c4c(nc5ccccc35)CCCC4)cc2)oc1C,<bos>,C,<0>,c1cocn1,<1>,<3>,(,<0>,c1ccccc1,<3>,C=O,N,C,C,N,<7>,c1ccc2nc3c(cc2c1)CCCC3,),C,<eos>,,,,,,,,,,,,,,,,,,,,,
C[C@H]1CC[C@@H](C(=O)NCc2ccc(-c3ccc(F)c(O)c3)cc2)N(c2nc3cc(C#N)ccc3[nH]2)C1,<bos>,O,<4>,c1ccccc1,<0>,<3>,(,F,),<0>,c1ccccc1,<3>,C,N,C=O,<4S>,C1CCNCC1,<1S>,<3>,(,<5>,c1ccc2[nH]cnc2c1,<0>,C#N,),C,<eos>,,,,,,,,,,,,,,
Nc1nc(-c2cccc(C(=O)Nc3ccccc3)c2)cnc1C(=O)N1CCSC1,<bos>,c1ccccc1,<0>,N,C=O,<4>,c1ccccc1,<0>,<0>,c1cnccn1,<4>,<3>,(,C=O,<4>,C1CSCN1,),N,<eos>,,,,,,,,,,,,,,,,,,,,,,
CC(C)OC(=O)NC1C2CCCC1C(Oc1cccc3ccccc13)CC2,<bos>,C,C,(,C,),O,C=O,N,<8>,C1CC2CCCC(C1)C2,<1>,O,<2>,c1ccc2ccccc2c1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1ccc(CCS(=O)(=O)NC[C@@H]2C[C@@H]3CCCC[C@@H]3N2C(=O)c2ccc(F)c(F)c2)cc1,<bos>,C,<0>,c1ccccc1,<3>,C,C,O=[SH2]=O,N,C,<5S>,C1CCC2NCCC2C1|3S7S,<4>,C=O,<0>,c1ccccc1,<3>,<4>,(,F,),F,<eos>,,,,,,,,,,,,,,,,,,
CCNC(=O)Nc1ccc2c(c1)NC(=O)C(Cc1ccccc1)(C1CCC(C(=O)NCC3CCN(C)CC3)CC1)C(=O)N2,<bos>,C,C,N,C=O,N,<9>,O=C1CC(=O)Nc2ccccc2N1,<2>,<2>,(,C,<0>,c1ccccc1,),<3>,C1CCCCC1,<0>,C=O,N,C,<0>,C1CCNCC1,<3>,C,<eos>,,,,,,,,,,,,,,,
