smiles,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
O=S(=O)(Nc1nn(CC2CC2)c2cccc(S(=O)(=O)NC(F)(F)F)c12)c1ccc(Cl)s1,<bos>,Cl,<2>,c1ccsc1,<4>,O=[SH2]=O,N,<6>,c1ccc2[nH]ncc2c1,<8>,<4>,(,C,<0>,C1CC1,),O=[SH2]=O,N,C,(,F,),(,F,),F,<eos>,,,,,,,,,,,,,,
Cc1cc2c(O[C@H](CCN)c3ccc(N(C)S(=O)(=O)c4ccccc4)cc3)nccc2n1C,<bos>,c1ccccc1,<0>,O=[SH2]=O,N,(,C,),<3>,c1ccccc1,<0>,C|R,(,O,<7>,c1cc2[nH]ccc2cn1,<3>,<4>,(,C,),C,),C,C,N,<eos>,,,,,,,,,,,,,,
COC[C@@H](C)Nc1nc2cnc(-c3ccc(OC)nc3)cc2n(COCc2ccccn2)c1=O,<bos>,C,O,<4>,c1ccncc1,<1>,<7>,O=c1cnc2cnccc2[nH]1,<10>,<2>,(,N,C|R,(,C,),C,O,C,),C,O,C,<2>,c1ccncc1,<eos>,,,,,,,,,,,,,,,
CC(C)[C@@H](CS(=O)(=O)Cc1ccc(Cl)cc1)C(=O)N[C@@H](CC(F)(F)F)c1cn[nH]c1,<bos>,F,C,(,F,),(,F,),C,C|S,(,<0>,c1cn[nH]c1,),N,C=O,C|R,(,C,O=[SH2]=O,C,<0>,c1ccccc1,<3>,Cl,),C,(,C,),C,<eos>,,,,,,,,
Cc1ncnc(NC(C)C)c1C(=O)NC1C2CC3CC1CC(O)(C3)C2,<bos>,O,<7>,C1C2CC3CC1CC(C2)C3,<2>,N,C=O,<0>,c1cncnc1,<5>,<1>,(,C,),N,C,(,C,),C,<eos>,,,,,,,,,,,,,,,,,,,,
NC(=O)N(CC=Cc1ccccc1)OC(=O)C12CC3CC(CC(C3)C1)C2,<bos>,N,C=O,N,(,O,C=O,<7>,C1C2CC3CC1CC(C2)C3,),C,<0>,C=C,<1>,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
,<bos>,F,C,(,F,),(,F,),O,<3>,c1ccccc1,<0>,C,N,<3>,O=c1ccnc[nH]1,<2>,<5>,(,<5>,O=S1(=O)CCNCC1,),<4>,(,Cl,),N,C,(,C,),C,<eos>,,,,,,,
CC(C)c1ccc2c(=O)c(C(=O)NC(c3ccc(C(F)(F)F)cc3)N3CCN(C)CC3)cn(C)c2c1,<bos>,F,C,(,F,),(,F,),<3>,c1ccccc1,<0>,C,(,N,C=O,<2>,O=c1cc[nH]c2ccccc12,<7>,<4>,(,C,),C,(,C,),C,),<5>,C1CNCCN1,<2>,C,<eos>,,,,,,,
,<bos>,O,<5>,c1cc2c3c(c1)OC1c4[nH]c5ccccc5c4CC4C(C2)NCCC314|7R24S,<21>,<14>,(,C,),<9R>,(,O,),C,<0>,C1CC1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
Cc1ccc(-c2cnc3c(c2)N(Cc2c(Cl)cccc2Cl)CCN3)c(O)c1,<bos>,Cl,<0>,c1ccccc1,<5>,<4>,(,Cl,),C,<6>,c1cnc2c(c1)NCCN2,<0>,<3>,c1ccccc1,<0>,<4>,(,O,),C,<eos>,,,,,,,,,,,,,,,,,,,
