smiles,0
CC(=O)c1ccc(Nc2ccc(-c3cccc(C(=O)Nc4ccccc4F)c3)nc2)nc1,*C&*C(*)=O&*C1=CC=C(*)N=C1&*N*&*C1=CN=C(*)C=C1&*C1=CC=CC(*)=C1&*NC(*)=O&*C1=C(*)C=CC=C1&*F&&&
O=C(CCc1cccs1)NCCc1ccc(C(O)C(=O)N2CCCC2)cc1Cl,*NC(*)=O&*C*&*C*^*[C@H](*)*^*C1=CC=CS1&*O&&&&*[C@@H](*)*^*C*&*C1=CC=C(*)C=C1*^*C(=O)N1CCCC1^*Cl&&&&*
CNCc1ccn2c(C(N)=O)nnc2c1-c1cccc(Cc2ccc(C(F)(F)F)cc2)c1,*NC(*)=O&*C*&*C1=CC=C(*)C=C1^*C1=C(*)C2=NN=C(*)N2C=C1^*C(*)(F)F&*N*&*F&*C*^*C1=CC(*)=C(*)C=C1&&&*C1C
CCC(C)C(=O)Nc1ncnc2sc(Sc3c(Cl)cccc3Cl)c(C)c12,*C&*C*&*[C@H](*)*&*C&&*NC(*)=O^*C1=C(*)C2=C(*)N=CN=C2S1&*S*&*C1=CC=CC(*)=C1*^*C^*Cl&&&&*Cl&&
CCC(CCN)C(=O)NCCC(=O)N1CC(=O)N2[C@@H](CC[C@@H]2C(=O)c2nccs2)C1,*N&*C*&*C*&*C*&*C*&*[C@H](*)*&*C(=O)C1=NC=CS1&&*NC(*)=O^*[C@@H]1CC[C@H]2CN(C(*)=O)CC(=O)N21&*C*&*C*&
N#CC(=C1C(=O)N(C#N)c2ccc(Cc3ccccc3)cc21)S(=O)(=O)N1CCCCC1,*C#N&*C(C#N)=C1C(=O)N(*)C2=CC=C(*)C=C12&*S(=O)(=O)N1CCCCC1&&*C*^*C1=CC=CC=C1&&&
N#CNC(=NCCCCCP(=O)(O)O)Nc1ccccc1,*N=C(N*)NC#N&*C1=CC=CC=C1&&*C*^*C*&*C*&*C*&*C*&*P(=O)(O)O&&&
COc1ccc(NC(=O)C(CC(=O)O)c2ccccc2Cl)nc1-c1cc(C)ccc1Cl,*C&*O*&*C1=CC=C(*)N=C1*&*C(=O)N*&*[C@@H](*)*^*C1=CC=C(*)C=C1*^*C*&*C&*C(=O)O^*C1=CC=CC=C1*&*Cl&&*Cl&
O=C(CCN1CCN(c2ccc(OCC(F)(F)F)cc2)CC1)c1cc2ccccc2[nH]1,*C(*)=O&*C*&*C*^*C1=CC2=C(C=CC=C2)N1^*N1CCN(*)CC1&&&*C1=CC=C(*)C=C1&*O*&*C*&*C(*)(F)F&*F&&&
CC(C)(C)C#Cc1c(-c2ccco2)cc(O)nc1N,*C&*C(*)(C)C&*C#C*&*C1=C(*)N=C(O)C=C1*&*C1=CC=CO1&&*N&&
CCC(C)c1ccc(C)cc1,*C&*C1=CC=C(*)C=C1&*[C@H](*)*&*C&&*[C@H](*)*^*N*&*C1=CNC(=O)C(*)=C1^*C^*C(=O)N*&&&*[C@@H](*)*&*C*&*C
CCN1CCN(c2c(Cc3ccoc3)c3cc(C)ccc3n2C)CC1,*C&*C*&*N1CCN(*)CC1&*C1=CC=C2C(=C1)C(*)=C(*)N2*&*C&&*C*^*C1=COC=C1^*C&&&&
CON1C(C(Cc2c[nH]c3ccccc23)NC(=O)CCCCO)=NNC1Cc1ccccc1,*C&*O*&*C1=CC=C(*)C=C1&*C*&*N1C(*)=NNC1*&*C*&*C*^*C(*)*^*C*&*C*&*C*&*C1=CNC2=CC=CC=C12^*NC(*)=O^*O&&
