smiles,0
COCC(O)n1nc2c(c1C)-c1nc(Nc3cc(OC)ccc3N3CCN(C)CC3)ncc1CC2,*C&*O*&*C1=CC(*)=CC=C1*&*N1CCN(*)CC1&*C^*NC1=NC=C2CCC3=NN(*)C(*)=C3C2=N1&&*C&&*C(*)*^*O&&*C*^*O*&*C&
CN[C@@H]1NC(=O)N(CO)[C@H](C)[C@H]1Cc1ccc(Cl)c(-c2ccccn2)c1,*C&*O*&*C1=CC=C(*)C=N1&*N*&*C1=CC(*)=CC=C1*&*Cl&&*C*^*N1C(=O)N(*)[C@@H](*)[C@H](*)[C@H]1*&*C&&*C*^*C
N#Cc1cc(Cn2cncn2)cc(-c2cccc(C(F)(F)F)c2)c1,*C#N&*C1=CC(*)=CC(*)=C1&*C*&*N1C=NC=N1^*C1=CC=CC(*)=C1&&*C(*)(F)F&*F&&&
Cc1ccc(Cl)c(C(C)c2cc3n(c2)C[C@@H](CCOO)[C@@H](C)C3)c1,*C&*O*&*C1=CC(*)=C(*)C=C1&*Cl&&*O*^*[C@@H](*)*&*C&&*[C@@H]1CN2C=C(*)C=C2C[C@H]1*^*C&&*C*^*C*&*C1=CC=
O=C(Nc1cc2cc(Cl)ccc2[nH]1)C1(C(=O)N[C@@H]2CCNC2)CCCC1,*NC(*)=O&*C1(*)CCCC1&*C(=O)N*^*C1=CC2=C(C=CC(*)=C2)N1^*[C@@H]1CCNC1&*Cl&&&&&
CN1CCC(Nc2cc(C#N)n3ncc(Nc4ccc(C(F)(F)F)cc4)c3n2)C1,*C&*N1CCC(*)C1&*NC1=NC2=C(*)C=NN2C(*)=C1&*C#N&&*N*^*C1=CC=C(*)C=C1&*C(*)(F)F&*F&&&
CCCn1cc(-c2ccccc2)[nH]c1=O,*C&*C*&*C*&*C1=CN(*)C(=O)N1*&*[C@@H]1CCCC[C@@H]1*&*C1=NC(*)=CS1^*C1=CC=CC=C1^*C1=CC(*)=C(*)C=C1&&&*F
CNC1(N(C(=O)SC(=O)N2CCCC2)c2ccccc2C(F)(F)F)CCCCC1,*C&*SC(=O)N1CC[C@H](*)C1&*N*&*[C@H]1CC[C@](*)(*)CC1&*C1=CC=CC=C1*&*C(*)(F)F^*N(*)C(*)=O^*F&*C1=CC=C(
COc1ccccc1CNC(=O)Nc1c(Cl)cc(C(=O)c2cn(C)cn2)c2ccccc12,*C&*O*&*C1=C(*)C=CC=C1&*C*&*NC(=O)N*&*C1=CC(*)=C(*)C2=CC=CC=C12&*Cl&&*C(*)=O^*C1=CN(*)C=N1&*C&&&
CN1CCc2ccc(NC(=O)c3ccc(Cl)c(Cl)c3)cc2CC([N+](=O)[O-])C1,*C&*N1CCC2=C(C=C(*)C=C2)CC(*)C1&*[N+](=O)[O-]&&*NC(*)=O^*C1=CC=C(*)C=C1*&*Cl&&*Cl&&
COc1cccc(-n2nc(C3CCCCC3)c3c(N)ncnc32)c1,*C&*O*&*C1=CC(*)=CC=C1&*C1=NN(*)C2=NC=NC(*)=C12&*C1CCCCC1&&*N&&
O=C(O)c1ccccc1-c1[nH]c(-c2cc(F)cc(F)c2)nc1-c1ccc2[nH]ncc2c1,*C(=O)O&*C1=CC=CC=C1*&*C1=NC(*)=C(*)N1&*C1=CC(*)=CC(*)=C1&*F^*C1=CC=C2NN=CC2=C1&*F&&&&
Oc1cccc([C@]23CCC(O)[C@@H]4Oc5c(CC6CC6)ccc6c5[C@@]42CCN(O)[C@@H]3C6)c1,*O&*C1=CC=CC(*)=C1&*[C@@]12CCC(*)[C@@H]3OC4=C(*)C=CC5=C4[C@@]31CCN(*)[C@@H]2C5&*O&&*C*^*C1CC1^*O&&&&
CNC(=O)CCN1CCN(N2CCC(Cc3cc(Cl)ccc3C)CC2)Cc2ccccc21,*C&*C(=O)N*&*C*&*C*&*N1CCN(*)CC2=CC=CC=C21&*C1CCN(*)CC1&*C*&*C1=CC(*)=C(*)C=C1&*Cl&&*C&&
Cc1ccc2c(c1)N(C)CCc1c(C(N)=O)c3c(n1-2)CC(C)(C)CC3=O,*C&*C1=C2CCN(*)C3=CC(*)=CC=C3N2C2=C1C(=O)CC(*)(C)C2&*C&&*C(N)=O&*C&&
Cc1nc(CC(C(=O)NC#N)c2ccc(-c3ccccc3)cc2)no1,*C&*C1=NC(*)=NO1&*C1=CC=C(*)C=C1&*C1=CC=C(*)C=C1&*C*&*[C@@H](*)*&*C#N&&*NC(*)=O^*[C@H]1N[C@@H]2CC[C@
Cc1ccc(-c2ccc(Oc3cccc(Cl)c3)c(S(=O)(=O)Nc3nccs3)c2)nc1,*C&*C1=NC=C(*)C=C1&*C1=CC=C(*)C(*)=C1&*O*&*C1=CC=CC(*)=C1^*S(=O)(=O)NC1=NC=CS1^*Cl&&&&&
COc1ccc(N2CCN(CCS(=O)(=O)NC(=O)N3CCC(c4ccc(F)cc4)CC3)CC2)cc1,*C&*O*&*C1=CC=C(*)C=C1&*N1CCN(*)CC1&*C*&*C*&*C1CCN(C(=O)NS(*)(=O)=O)CC1&*C1=CC=C(*)C=C1&*F&&&
O=c1cc(Cl)oc2c(Cl)cc(OCCNCNS(=O)(=O)c3ccc(Cl)cc3)cc12,*NS(*)(=O)=O&*C1=CC=C(*)C=C1&*Cl^*C*&&*N*&*C*&*C*&*O*&*C1=CC(*)=CC2=C1OC(*)=CC2=O&*Cl&&*Cl&&
COc1ccc(C#CCN2C(=S)NC(CC(=O)O)[C@@H]2c2ccc3c(c2)OCO3)cc1,*C&*O*&*C1=CC=C(*)C=C1&*C#C*&*C*&*N1C(=S)NC(*)[C@@H]1*&*C1=CC=C2OCOC2=C1&&*C*^*C(=O)O&&&
N#CCNC(=O)C(c1ccccc1)c1ccc(-n2ccc3ccccc32)cc1,*C#N&*C*&*NC(*)=O&*C(*)*&*C1=CC=CC=C1&&*C1=CC=C(*)C=C1^*N1C=CC2=C1C=CC=C2&&&
C=CCn1c(NC(=O)c2ccc(Oc3ccccc3)cc2)nc2ccccc21,*C=C&*C*&*N1C(NC(*)=O)=NC2=C1C=CC=C2&*C1=CC=C(*)C=C1&*O*&*C1=CC=CC=C1&&&
Cn1c(CCC2(N3[C@@H]4CCC[C@H]3CC4)CCN(C(=NC#N)Nc3ccccc3)CC2)nc2ccccc21,*C&*C1=NC2=CC=CC=C2N1*&*[C@@H]1C[C@H]2CC[C@@H](C1)N2*&*C*&*C*&*C1(*)CCN(C(=NC#N)N*)CC1&*C1=CC=CC=C1&
NS(=O)(=O)c1nnc(NS(=O)(=O)c2ccc(F)c(F)c2)s1,*S(=O)(=O)NC1=NN=C(S(N)(=O)=O)S1&*C1=CC=C(*)C=C1*&*F&&*F&&
O=[N+]([O-])c1ccc(CC(O)c2cccnc2)cc1Cl,*[N+](=O)[O-]&*C1=CC=C(*)C=C1*&*C*&*C(*)*^*Cl^*O&&&&*C1=CC=CN=C1&&
NS(=O)(=O)c1ccc(NC(=O)Nc2ccc(OCc3ccccc3)cc2)cc1,*S(N)(=O)=O&*C1=CC=C(*)C=C1&*NC(=O)N*&*C1=CC=C(*)C=C1&*O*&*C*&*C1=CC=CC=C1&&&
CNC(=O)c1nn(-c2cc(Cl)ccc2Cl)c2c1C(C)Cc1cn(-c3ccccc3Cl)nc1-2,*C&*NC(=O)C1=NN(*)C2=C1C(*)CC1=CN(*)N=C12&*C&&*C1=CC=CC=C1*^*Cl^*C1=CC=C(*)C(*)=C1&&*Cl&&*Cl&&
C=CCCCC=CCC=CCC=CCC=CC(=O)OCCO,*C=C&*C*&*C*&*C*&*C=C*&*C*&*C=C*&*C*&*C=C*&*C*&*C=C*&*C(=O)O*&*C*&*C*&*O&&&
CS(=O)(=O)Nc1ccccc1Cn1c(=O)c2cnccc2n(-c2ccccc2)c1=O,*C&*S(=O)(=O)N*&*C1=CC=CC=C1*&*C*&*N1C(=O)N(*)C(=O)C2=CN=CC=C21&*C1=CC=CC=C1&&&
CC(C)(C)OC(=O)NS(=O)(=O)N1CCC(CCC(=O)NCCc2c[nH]c3ccccc23)CC1,*C&*C(*)(C)C&*OC(=O)N*&*[C@@H](*)*&*C*&*C1=CNC2=C1C=CC=C2^*C(=O)N*&&*C*&*C*&*C1CCN(S(*)(=O)=O)CC1&*C
O=S(=O)(OC1CCCC1)c1nn(C2CCNCC2)c2ccc(-c3ccc(Br)cc3)cc12,*S(=O)(=O)C1=NN(*)C2=C1C=C(*)C=C2&*C1=CC=C(*)C=C1&*Br^*O*&&*C1CCCC1^*C1CCNCC1&&&&
CCC(CC)C(NC(=O)N=C(S)N1CCOCC1)c1cccc(NC(=O)C(C)C)c1,*C&*C(*)C&*C*&*[C@H](*)*&*N=C(S)N1CCOCC1&&*C(=O)N*^*[C@H](*)*&*C(=O)N*&*C(*)C^*C1=CC=CC(*)=C1^*C&*[N
OC(Cc1ccccc1)CN1CCN(Cc2ccc3c(c2)OCO3)CC1,*O&*C(*)*&*C*&*C1=CC=CC=C1^*C*&&*N1CCN(*)CC1&*C*&*C1=CC=C2OCOC2=C1&&&
CCC(OC[C@@H]1O[C@H](N)[C@@H]2[C@@H](C(=O)O)[C@@H]21)n1cnc2cncnc21,*N&*C1=C2N=CN(*)C2=NC=N1&*[C@@H]1O[C@H](*)[C@H]2[C@@H](*)[C@H]21&*C(=O)O&&*O[C@@H](*)*^*C*&*C*^*C*^*
COc1ccc(NC(=O)c2cc(Nc3cccc(Br)c3)ccn2)cc1,*C&*O*&*C1=CC=C(*)C=C1&*C(=O)N*&*C1=CC(*)=CC=N1&*N*&*C1=CC=CC(*)=C1&*Br&&&
CC(Oc1ccc(Cl)c(Cl)c1)C(=O)N1Cc2cccnc2Nc2ccccc21,*C&*C(*)*&*O*&*C1=CC=C(*)C(*)=C1^*C(=O)N1CC2=CC=CN=C2NC2=C1C=CC=C2^*Cl&&&&*Cl&&
C=CC[C@@]12CC[C@@H](O)[C@@H]1CCC1C3C[C@@H](O)C(C)(O)[C@@]3(C)CC[C@@H]12,*C=C&*C*&*[C@@H]1CC2C3CC[C@H]4[C@@H](*)CC[C@]4(*)[C@H]3CC[C@]2(*)[C@@]1(*)*&*O&&*C&*O&*O&*C&&
CC(CS)C(=O)N(Cc1ccccc1)C(CO)CO,*C&*C(*)*&*C*&*S^*C(=O)N(*)*&&*C(*)CO&*C*^*C*^*O&*C1=CC=CC=C1&&&&&
Cc1nc2cc3ncnc(NCC(=O)N(F)C(F)(F)F)c3cc2n1C,*C&*N1C(*)=NC2=CC3=C(C=C21)C(N*)=NC=N3&*C*&*C(=O)N(*)F^*C^*C(*)(F)F&&&*F&&&
COc1cc(Nc2ccc(C(F)(F)F)cc2C#N)c(CC(F)(F)F)cn1,*C&*O*&*C1=C(*)C=C(*)N=C1&*C*&*C(*)(F)F^*N*^*F&*C1=CC(*)=C(*)C=C1&&&*C#N&&*C(*)(F)F^*F&&&
NC(=O)c1ccc(-c2ccc3nc(CCCS(N)(=O)=O)sc3c2)cc1,*S(N)(=O)=O&*C*&*C*&*NC(*)=O&*C(*)*&*S(*)(=O)=O&*C*^*C1=NC2=C(C=C(*)C=C2)S1^*C*&*C1=CC=C(*)C=C1&*C(*
CCc1cn(C(=O)Nc2ccc(C(F)(F)F)cc2Cl)c2ccccc2c1=O,*C&*C*&*N1C=C(*)C(=O)C2=CC=CC=C21&*NC(*)=O&*C1=CC(*)=C(*)C=C1&*C(*)(F)F&*F^*Cl&&&&
O=C(c1ncnc2c1cnn2-c1ccccc1)N1CCCCC1Cc1ccccc1,*C(=O)N1CCCCC1*&*C*&*C1=CC=CC=C1^*C1=NC=NC2=C1C=NN2*&&*C1=CC=CC=C1&&&
Cc1cccc(C(=O)N[C@H]2CCCN2S(=O)(=O)c2ccc(-c3cc(NC(=O)C(C)C)no3)cc2)c1,*C&*C(*)(C)C&*C1=CC(NC(*)=O)=NO1&*C1=CC=CC(*)=C1&*NC(*)=O&*[C@@H]1CCCN1S(*)(=O)=O&*C1=CC=C(*)C=C1&*C
O=C(Nc1nccs1)C(=O)c1ccn(-c2ccccn2)n1,*C(=O)C1=NN(C2=NC=CC=C2)C=C1&*C(=O)NC1=NC=CS1&&&
Cc1c(C=NN(c2cnc(Cl)c(Cl)c2)S(C)(=O)=O)cccc1C(=O)Nc1ccc(F)cc1,*C&*C1=C(*)C(*)=CC=C1&*S(=O)(=O)N(*)N=C*&*C^*NC(*)=O&*C1=CC(*)=C(*)N=C1^*C1=CC=C(*)C=C1&*Cl&*F&&*Cl&
CCN1CCCC(c2ccc(-c3cc(-c4ccc(S(=O)(=O)NC(C)=O)cc4)no3)cc2)S1(=O)=O,*C&*C*&*C*&*N1CCCC(*)S1(=O)=O&*C1=CC=C(*)C=C1&*NC(*)=O&*C1=CC(*)=NO1&*C1=CC=C(*)C=C1&*S(*)(=O)=O&*C1
CN1CCCN(c2ccc(Cl)c(CCCOc3ccc(C(=O)CC(F)(F)F)cc3)n2)C1=O,*C&*C1=C(*)C=CC(N2CCCN(*)C2=O)=N1&*Cl&&*C*^*C*&*C*&*O*&*C1=CC=C(*)C=C1&*C(*)=O&*C*&*C(*)(F)F&*F&&&
COc1ccc(C2OCc3ccc4c(c32)C(C)=CC(C)(C)N4)cc1OC,*C&*O*&*C1=CC=C(*)C(*)=C1&*O*&*C^*C1OCC2=CC=C3NC(*)(C)C=C(*)C3=C21&&*C&&*C&&
COc1cc(-n2nc(C)nc(NC3CCN(C(=O)c4nc5ccccc5[nH]4)CC3)c2=O)c(C)cc1Cl,*C&*O*&*C1=CC(*)=C(*)C=C1*&*C&&*NC1=NC(*)=NN(*)C1=O^*C^*Cl&*C1CCN(C(=O)C2=NC3=C(C=CC=C3)N2)CC1&&&&
COc1ccc(OC)c(CC2Oc3ccc(OC)cc3C(C)=C2c2ccncc2)c1,*C&*O*&*C1=CC2=C(C=C1)OC(*)C(*)=C2*&*C1=CC=NC=C1&&*C&*C*^*C1=CC(*)=CC=C1*&*O*&*C^*O*&&*C&&&
O=[N+]([O-])c1cccnc1N1CCN(C2=NC=NC3=CC=C(c4ccccc4)C3C2)C1,*[N+](=O)[O-]&*C1=CC=C2N=CN=C(N3CCN(C4=NC=CC=C4*)C3)CC21&*C1=CC=CC=C1&&&
CC(C)CC(=O)Nc1ccc2ncc(-c3ccnc(Nc4cccnc4N)n3)cc2c1,*C&*C(*)C&*C*&*NC(*)=O&*C1=CN=C2C=CC(*)=CC2=C1&*NC1=NC(*)=CC=N1&*C1=C(*)C=CC=N1&*N&&&
OC1(c2ccc(C(c3ccccc3)c3ccccc3)cc2)CC2CCC(C1)N2,*O&*C1(*)CC2CCC(C1)N2&*C1=CC=C(*)C=C1&*C(*)C1=CC=CC=C1&*C1=CC=CC=C1&&&
Cc1ccc(-c2ccc3c(c2)nc(NC(=O)c2ccc(N(ONC=O)[SH](=O)=O)cc2)n3C)cc1,*C&*ONC(*)=O&*C1=CC=C(*)C=C1&*S(=O)(=O)N(*)*&*C&&*C1=CC=C2C(=C1)N=C(NC(*)=O)N2*^*C1=CC=C(*)C=C1&*S(N
CCCCc1nc2c(Cc3ccc(-c4ccccc4-c4c[nH]nn4)cc3)cccc2n1C,*C&*C*&*C*&*C*&*C1=NC2=C(*)C=CC=C2N1*&*C&&*C*^*C1=CC=C(*)C=C1&*C1=CC=CC=C1*&*C1=CNN=N1&&&
C=C(CNCCN)COc1ncnc2c1sc1ccc(Nc3ccc(-c4ccccc4)cc3)cc12,*C(*)=C&*C*&*O*^*C*^*C1=CC=C2SC3=C(*)N=CN=C3C2=C1&*N*&*N*&*C*&*C1=CC=C(*)C=C1&*C*&*C1=CC=CC=C1&*N&&&
COc1cccc(N(CC(O)c2ccccc2)C(=O)Nc2ncc3nc(C)sc3n2)c1,*C&*O*&*C1=CC=CC(*)=C1&*C1=NC2=C(N=C(NC(=O)N(*)*)N=C2)S1&*C&&*C*^*C(*)*&*O&&*C1=CC=CC=C1&&
COC1(CN(C)C)CCN(C[C@@H]2Cc3ccccc3CN2C(=O)NC(C)=O)C[C@@H]1C,*C&*C*&*O*&*[C@H]1CN(*)CC[C@@]1(*)*&*C&&*C*^*C(=O)N1CC2=CC=CC=C2C[C@H]1*^*C*^*C(=O)N*&*N(*)*&*C&*C&&
COc1ccc2c(c1)CCN(NCCN)C2,*C&*O*&*C1=CC2=C(C=C1*)CN(*)CC2&*C*&*[C@@H](*)*^*N*^*O&*C*&&*C*^*[C@@H](*)*&*C1=CC=C(*)C=C1&*N*&*C#N
NC(CO)COC(c1ccccc1)(c1ccccc1)c1ccc2ccccc2c1,*N&*[C@H](*)*&*C*&*O^*C*&&*O*&*C(*)(*)C1=CC=CC=C1&*C1=CC=CC=C1&&*C1=CC2=CC=CC=C2C=C1&&
O=C(Nc1cncnc1)c1nc(-c2cncnc2C(=O)N2CCOCC2)cnc1NC1CC1,*NC(=O)C1=NC(*)=CN=C1N*&*C1=CN=CN=C1C(=O)N1CCOCC1&&*C1CC1&*C1=CN=CN=C1&&
CCCC(c1ccccc1)c1nc2cc(C)ccc2c(C#N)c1C,*C&*C*&*C*&*C(*)*&*C1=CC=CC=C1&&*C1=C(*)C(*)=NC2=CC(*)=CC=C12^*C#N&&*C&*C&&
Oc1ccc(C2CC(c3ccccc3)C(N3CCCC3)O2)cc1,*O&*C1=CC=C(*)C=C1&*C1CC(*)C(*)O1&*N1CCCC1&&*C1=CC=CC=C1&&
CC1=C(c2cccs2)C(=CO)OC1=O,*C&*C=C1C(*)=C(*)C(=O)O1&*O&&*C1=CC=CS1&&
COc1cc(Cl)ccc1S(=O)(=O)N1CCSc2ccc(C(=O)Nc3ccc(CC(=O)O)cc3)cc21,*C&*O*&*C1=CC=C(*)C=C1*&*Cl&&*S(=O)(=O)N1CCSC2=CC=C(*)C=C21^*C(=O)N*&*C1=CC=C(*)C=C1&*C*&*C(=O)O&&&
CC(C)c1cccc2c1[C@H]1CCN(C(F)(F)F)[C@H]1CC2,*C&*C(*)C&*N1CC[C@@H]2C3=C(C=CC=C3*)CC[C@@H]21&*C(*)(F)F&*F&&&
CC1CCN(C(=O)Nn2c(Cc3noc(-c4cc(Cl)ccc4Cl)n3)cc3cc(Cl)ccc32)CC1,*C&*N1CCC(*)CC1&*NC(*)=O&*C1=CC2=C(C=CC(*)=C2)N1*&*Cl&&*C*^*C1=NC(*)=NO1&*C1=CC=C(*)C(*)=C1&*Cl&&*Cl
Nc1ccc([C@@H]2CCCNC2)cc1F,*N&*[C@H]1CN(*)CC[C@@H]1*&*C1=CC=NC=C1*&*C1(*)CC1^*C1=C(*)C(*)=C(*)C(*)=C1^*N1CC(=O)N(*)CC1=O&*F&*C1
Cc1ccccc1-c1cc(C(F)(F)F)n(-c2ccc(S(C)(=O)=O)cn2)n1,*C&*C1=C(*)C=CC=C1&*C1=CC(*)=NN1*&*C(*)(F)F&*F^*C1=CC=C(*)C=N1&&*S(*)(=O)=O&*C&&&
O=C(NO)Nc1ncc(Cc2cc(Cl)ccc2Cl)cn1,*C(=O)NO&*C1=CN=C(N*)N=C1&*C*&*C1=CC=C(*)C(*)=C1&*Cl&&*Cl&&
CC(=O)c1[nH]c(C2=NNC(=O)C2=Cc2c(Cl)cccc2Cl)c(C)c1C,*C&*C(*)=O&*C1=C(*)NC(*)=C1*&*C&&*C&*C=C1C(=O)NN=C1*^*C1=C(*)C=CC=C1*&*Cl&&*Cl&&
CCCS(=O)(=O)N(Cc1ccc(Cl)cc1)Cc1cccc(S(=O)(=O)NC)c1,*C&*C*&*C*&*S(=O)(=O)N*&*C1=CC=CC(*)=C1&*C*&*C*&*N(*)S(*)(=O)=O&*C1=CC=C(*)C=C1&*Cl^*C*&&*C1=CC=CC=C
C,*C&*N1C2=C(CN3S(=O)(=O)NC3=O)C1*&*C(*)(F)F&*F&&&
CC1(C)CCN(C=O)c2ccccc21,*C&*C1(C)CCN(C(*)=O)C2=CC=CC=C21&*[C@H]1CC=C2C3=C(CN1)[C@H]1CC[C@@]2(*)[C@H]3CC[C@]1(*)C3C(=O)O&*O&&
Nc1ncc([PH](N)(=O)=O)cn1,*C1=CN=C(N)N=C1&*P(N)(=O)=O&&&
O=S(=O)(NC(Cc1ccccc1O)c1ccccc1)c1cccc(Cl)c1,*O&*C1=C(*)C=CC=C1&*C*&*[C@@H](*)*&*NS(*)(=O)=O&*C1=CC=CC(*)=C1^*C1=CC=CC=C1^*Cl&&&&&
C[C@@H]1C[C@H]2CN(C(=O)N3Cc4cncnc4C3)[C@@H](C(=O)N(c3ccccc3)c3ccccc3)CN2C1,*C&*[C@H]1CN2C[C@H](*)C[C@H]2CN1C(=O)N1CC2=CN=CN=C2C1&*C(=O)N(*)C1=CC=CC=C1&*C1=CC=CC=C1&&&
CCN(C(=O)c1ccc(C(C)C)cc1)c1cccc(NC2=NC3=NC=C(C4CCNCC4)C3=NC2)c1,*C&*C*&*N(*)C(*)=O&*C1=CC(*)=CC=C1&*C1=CN=C2N=C(N*)CN=C12^*C1=CC=C(*)C=C1^*C1CCNCC1&*C(*)C&&&*C&&&
N=C(N)c1nc2cc(-c3c(N4CCc5ccccc54)c(=O)[nH]c4ccc(Cl)cc34)ccc2[nH]1,*C(=N)N&*C1=CC=C2NC(*)=NC2=C1&*C1=C(*)C2=C(C=CC(*)=C2)NC1=O&*N1CCC2=CC=CC=C21&&*Cl&&
CCC1CCN(C(=O)C(CO)n2c(=O)c3[nH]c(-c4ccc(OC)cc4)nc3n(C)c2=O)CC1,*C&*C*&*C*&*N1C(=O)N(*)C(=O)C2=C1N=C(*)N2&*C1CCN(C(*)=O)CC1&*C(*)*^*C1=CC=C(*)C=C1^*O&*O*&&*C*^*C&*O
O=C1c2ccccc2C(=O)N1CCCCN1CCC(c2c[nH]c3ccccc23)CC1,*N1C(=O)C2=CC=CC=C2C1=O&*C*&*C*&*C*&*C*&*N1CCC(*)CC1&*C1=CNC2=CC=CC=C12&&&
Clc1nc2cc(N3CCC(Cc4cccc(C#CC5CCNCC5)c4)CC3)ccc2o1,*C#C*&*C1=CC=CC(*)=C1&*C*^*C1CCNCC1^*N1CCC(*)CC1&&&*C1=NC2=CC(*)=CC=C2O1&*Cl&&&
CC(NC(=O)c1ccccc1Cl)C(C)(C)C,*C&*C(*)*&*NC(*)=O&*C1=C(*)C=CC=C1^*C(*)(C)C^*Cl&*C&&&&&
Cc1cc(OC(C)CO)cc(C(=O)Oc2ccc(C(=O)O)cc2Cl)c1,*C&*O*&*C*&*[C@H](*)*&*C&&*O*^*C1=CC(*)=CC(*)=C1&*C1=C(*)C=CC(*)=C1&*C(=O)O^*C(=O)O*&*Cl^*C1=CC=C2NC
