smiles,0
CC=CC=C(C=C(N=NC=C(N)CNC1CSC(c2cccs2)=NN1)c1ccccc1)Nc1ccccc1,[C][C][=C][C][=C][Branch2][Branch1][C][C][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][N][=N][C][=C][Branch2][Ring1][Ring2][C][N][C][C][S][C][Branch1][Branch2][C][=C][C][=C][S][Ring1][Branch1][=N][N][Ring1][O][N][=Ring2][Ring1][C][C][=C][Ring2][Ring1][#Branch2][Ring2][Ring1][N][C][=C][C][=C][C][=C][Ring1][=Branch1]
N#CCCC=CCC=C1C=C(C(=O)C=CN2C=CC=CC2c2c(F)cccc2F)N1,[N][#C][C][C][C][=C][Branch2][Ring2][=C][C][C][=C][C][=C][Branch2][Ring1][=C][C][=Branch1][C][=O][C][=C][N][Branch1][=C][C][C][=C][Branch1][C][F][C][=C][C][=C][Ring1][#Branch1][F][C][=C][C][=C][Ring1][P][Ring1][=N][NH1][Ring2][Ring1][=Branch1][C][C][Ring2][Ring1][=N]
CC=CC=C(O)OCCC1=NC=NC=NC(N2C=CC=CC2N)=C1,[C][C][=C][C][=C][Branch2][Ring2][Ring2][O][C][C][C][C][=C][Branch1][#Branch2][N][C][=C][C][=C][C][Ring1][=Branch1][N][N][=C][N][=C][Ring1][O][N][=Ring1][#C][C][Branch1][Ring1][C][O][C][=C][Ring2][Ring1][O]
CCCC1CNC2=C(C(=O)OC(C)(C)C)C(=O)C2c2cccc(C(F)(F)F)c21,[C][C][C][C][C][N][C][=C][Branch1][=C][C][=Branch1][C][=O][O][C][Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=O][C][=Ring1][N][C][=C][C][=C][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=C][Ring1][#Branch2][Ring2][Ring1][=Branch2]
COc1cc(C)cc2c1-c1[nH]c(Nc3ccc(F)cn3)nc1CC2,[C][O][C][=C][C][Branch1][C][C][=C][C][=C][Ring1][#Branch1][C][NH1][C][Branch1][=N][N][C][=C][C][=C][Branch1][C][F][C][=N][Ring1][#Branch1][=N][C][=Ring1][=N][C][C][Ring1][P]
O=CC1NC2=CC(OCCCN3CCN(c4ccccc4)CC3)=CC2=CO1,[O][=C][C][O][C][=C][C][=C][Branch2][Ring1][#Branch1][O][C][C][C][N][C][C][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring1][N][C][=C][Ring2][Ring1][Branch1][N][Ring2][Ring1][=Branch2]
O=C(Nc1cc(-c2ccncc2)nn1-c1ccncc1)c1cccs1,[O][=C][Branch2][Ring1][O][N][C][=C][C][Branch1][=Branch2][C][=C][C][=N][C][=C][Ring1][=Branch1][=N][N][Ring1][O][C][=C][C][=N][C][=C][Ring1][=Branch1][C][=C][C][=C][S][Ring1][Branch1]
COC=C1C=c2c(-c3nnco3)c(CC(C)C)[nH]c2=C1C,[C][O][C][=C][C][Branch1][C][C][=C][N][C][Branch1][#Branch1][C][C][Branch1][C][C][C][=C][Branch1][Branch2][C][=N][N][=C][O][Ring1][Branch1][C][Ring1][=C][=C][Ring2][Ring1][C]
COc1ccc(CC(=O)N(C)[CH]CC2CCNC2c2ccc(F)cc2N)cc1,[C][N][Branch2][Ring1][C][C][=Branch1][C][=O][C][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][C@@H1][C][C][C][C][Branch1][P][N][C][Ring1][Branch1][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][=N][Ring1][#C]
O=C[C@@H]1CC(=O)OCCCCCCC(CCCOc2ccc(OCc3ccccc3)cc2)C(=O)N1,[O][=C][C@H1][Branch1][#Branch1][C][C][=Branch1][C][=O][O][N][C][=Branch1][C][=O][C][Branch2][Ring1][=Branch2][C][C][C][O][C][=C][C][=C][Branch1][O][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][=C][C][C][C][C][C][C][Ring2][Ring1][=N]
