smiles,0
Cc1cc2c3ccccc3n(C(=O)C=Cc3ccc(F)cc3)c2cc1N1C[C@@H](C)N[C@@H](C)C1,[C][C][=C][C][=C][Branch2][Ring1][C][C][=C][Ring1][=Branch1][N][C][C@@H1][Branch1][C][C][N][C@@H1][Branch1][C][C][C][Ring1][Branch2][N][Branch2][Ring1][Ring1][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][Ring1][#Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring2][Ring1][=C]
CN1CC(F)=CN(C(CC=NNCBr)=NCc2cccc(OC3=C(N)N=CN=CC(CC#N)C=CC=C3)c2)C1=O,[N][#C][C][C][C][=C][C][=C][C][Branch2][Ring2][P][O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][N][=C][Branch1][P][N][C][=C][Branch1][C][F][C][N][Branch1][C][C][C][Ring1][Branch2][=O][C][=C][C][=N][N][Ring1][Branch1][C][=Ring2][Ring1][Ring1][Br][=C][Ring2][Ring1][N][C][=C][Branch1][C][N][N][=C][N][=C][Ring1][#Branch1][Ring2][Ring2][Branch1]
CS(=O)(=O)NC1=CC(CCOC2=CC=CCC=CN2)=N1,[C][C][=C][C][=C][Branch2][Ring2][Ring2][O][C][C][C][C][=C][Branch1][#Branch2][N][S][Branch1][C][C][=Branch1][C][=O][=O][N][=Ring1][=Branch2][C][=C][C][Branch1][C][Cl][=C][Branch1][Ring1][O][C][C][=C][Ring1][=Branch2][N][C][=C][Ring2][Ring1][N]
CCNC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)CNC(=O)c1ccc(N2CCOCC2)cc1,[C][C][N][C][=Branch1][C][=O][C@H1][Branch1][=N][C][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][N][C][=Branch1][C][=O][C][N][C][=Branch1][C][=O][C][=C][C][=C][Branch1][=Branch2][N][C][C][O][C][C][Ring1][=Branch1][C][=C][Ring1][N]
COc1cc(C)ccc1CNC(C=NCC(C)=O)n1cc(C)cn1,[C][O][C][=C][C][Branch1][C][C][=C][C][=C][Ring1][#Branch1][C][NH1][C][Branch1][O][N][C][=C][Branch1][C][C][C][=N][Ring1][=Branch1][C][=N][C][=Ring1][O][C][Branch1][C][C][=O]
O=CC1NC2=CC(OCCCCN3CCN(c4cccs4)CC3)=CC2=CO1,[O][=C][C][O][C][=C][C][=C][Branch2][Ring1][#Branch1][O][C][C][C][C][N][C][C][N][Branch1][Branch2][C][=C][C][=C][S][Ring1][Branch1][C][C][Ring1][O][C][=C][Ring2][Ring1][Branch1][N][Ring2][Ring1][=Branch2]
C=C1C(Br)=CC(C(=O)O)=CC=NN1C=CC(=O)N1CCC(c2ccc(Cl)c(Cl)c2)C1,[O][=C][Branch2][Ring1][Branch2][N][C][C][C][Branch1][#C][C][=C][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Ring1][Branch2][C][Ring1][=N][C][=C][N][N][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][=C][Branch1][C][Br][C][Ring1][N][=C][Ring1][=N]
COC=C1C(=O)C(CC2CC2)NC2C(=O)C(C)=C(CC(C)C)N2C=C1C,[C][O][C][=C][C][Branch1][C][C][=C][N][C][Branch1][#Branch1][C][C][Branch1][C][C][C][=C][Branch1][C][C][C][=Branch1][C][=O][C][=Ring1][O][N][Ring1][#C][C][Branch1][#Branch1][C][C][C][C][Ring1][Ring1][C][Ring2][Ring1][=Branch1][=O]
CN(C(=O)COc1ccc(Cl)cc1)[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCc1ccccc1Cl,[C][N][Branch2][Ring1][C][C][=Branch1][C][=O][C][O][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C@@H1][Branch1][#C][C][C][=C][NH1][C][=C][C][=C][C][=C][Ring1][=Branch2][Ring1][=Branch1][C][=Branch1][C][=O][N][C][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl]
O=C[C@H](CC(=O)O)NC(=O)C(c1ccccc1)C1C=COc2ccc(N3CCOCC3)cc21,[O][=C][C@H1][Branch1][#Branch1][C][C][=Branch1][C][=O][O][N][C][=Branch1][C][=O][C][Branch2][Ring1][=Branch2][C][C][=C][O][C][=C][C][=C][Branch1][=Branch2][N][C][C][O][C][C][Ring1][=Branch1][C][=C][Ring1][N][Ring1][S][C][=C][C][=C][C][=C][Ring1][=Branch1]
