smiles,0
CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)c1ccccc1O)C(=O)O)C(=O)O,CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)c1ccccc1O)C(=O)O)C(=O)O
COc1ccc2c(c1)CCC(CCCN1CCC(c3c[nH]c4ccccc34)CC1)C2,COc1ccc2c(c1)CCC(CCCN1CCC(c3c[nH]c4ccccc34)CC1)C2
CCCC[C@]1(CCC)CS(=O)(=O)c2cc([N+](=O)[O-])ccc2C[C@H]1N,CCCC[C@]1(CCC)CS(=O)(=O)c2cc([N+](=O)[O-])ccc2C[C@H]1N
COc1ccc(C2CN(C)C(=O)Nc3ccc(-c4ccc(C[n+]5ccc(C(N)=O)cc5Cl)cc4)cc32)cc1,COc1ccc(C2CN(C)C(=O)Nc3ccc(-c4ccc(C[n+]5ccc(C(N)=O)cc5Cl)cc4)cc32)cc1
CCCCCCCN(CCCCCC)C(=O)Cc1c(-c2ccccc2)[nH]c2ccccc12,CCCCCCCN(CCCCCC)C(=O)Cc1c(-c2ccccc2)[nH]c2ccccc12
Nc1nc(-c2ccoc2)nc2occc12,Nc1nc(-c2ccoc2)nc2occc12
CCc1ncnc(-c2ccc(C(=O)N3CCC(C(=O)N4CCN(C)CC4)CC3)c(C)c2)c1C#Cc1ccc(N)nc1,CCc1ncnc(-c2ccc(C(=O)N3CCC(C(=O)N4CCN(C)CC4)CC3)c(C)c2)c1C#Cc1ccc(N)nc1
COc1ccc(S(=O)(=O)N2CCNCC2C(=O)NO)cc1,COc1ccc(S(=O)(=O)N2CCNCC2C(=O)NO)cc1
COc1cccc(-c2cc(C(=O)NCCCCCCCCNc3c4c(nc5ccccc35)CCCC4)ccn2)c1,COc1cccc(-c2cc(C(=O)NCCCCCCCCNc3c4c(nc5ccccc35)CCCC4)ccn2)c1
O=C1NCN(C(=O)NCCc2ccc(-c3cccc([N+](=O)[O-])c3)cc2)C1=O,O=C1NCN(C(=O)NCCc2ccc(-c3cccc([N+](=O)[O-])c3)cc2)C1=O
CN1CC[C@@]2(COc3ccc(CCC(=O)Nc4cccc(F)c4)cc3)N=C(N)S(C)(=O)=C12,CN1CC[C@@]2(COc3ccc(CCC(=O)Nc4cccc(F)c4)cc3)N=C(N)S(C)(=O)=C21
CCCN(S)CC[C@H]1CC[C@H](NC(=O)[C@@H](Cc2ccc(F)cc2)NC(=O)[C@H]2CCCN2C(=O)[C@@H](N)Cc2c[nH]c3ccccc23)C1,CCCN(CC[C@H]1CC[C@H](NC(=O)[C@@H](Cc2ccc(F)cc2)NC(=O)[C@H]2CCCN2C(=O)[C@@H](N)Cc2c[nH]c3ccccc23)C1)S
O=C(Nc1ccc2[nH]cc(C3CCN(CCCCc4ccccc4)CC3)c2c1)c1ccccc1,O=C(Nc1ccc2[nH]cc(C3CCN(CCCCc4ccccc4)CC3)c2c1)c1ccccc1
CCc1nc(-c2ccc(-c3cc(CC(=O)O)ccc3OC)cc2)c2cc(S(N)(=O)=O)ccc2n1,COc1ccc(CC(=O)O)cc1-c1ccc(-c2nc(CC)nc3ccc(S(N)(=O)=O)cc23)cc1
O=C(NCC(O)c1ccccc1)c1cn(-c2ccccc2)nc1-c1cccc(Cl)c1,O=C(NCC(O)c1ccccc1)c1cn(-c2ccccc2)nc1-c1cccc(Cl)c1
