smiles,0
C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(NCc3cccc(I)c3)ncnc21,C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(NCc3cccc(I)c3)ncnc21
CC(C)(CO)CNC(=O)c1c[nH]c(-c2cc3ccc(C(F)(F)F)cc3nc2-c2ccc(C3(N)CC3)cc2)c1,NC1(c2ccc(-c3nc4cc(C(F)(F)F)ccc4cc3-c3cc(C(=O)NCC(C)(C)CO)c[nH]3)cc2)CC1
Cc1cc(N2C(=O)[C@H]3[C@H](O)CCN3C2=O)cc2ccccc12,Cc1cc(N2C(=O)[C@H]3[C@H](O)CCN3C2=O)cc2ccccc12
NC(N)=Nc1ncc(C(F)F)s1,NC(N)=Nc1ncc(C(F)F)s1
,O=C(O)[C@@H]1CCCN(CCCOC(=O)c2ccc(-c3cc(-c4nccnc4C(F)(F)F)ccc3C3CCN(C4CC5)CC4)cc3)C21
COc1cc2ncc(C#N)c(Nc3ccc(F)cc3Cl)c2cc1N1CCN(C)CC1,COc1cc2ncc(C#N)c(Nc3ccc(F)cc3Cl)c2cc1N1CCN(C)CC1
CCCCc1ccc(-c2ccc3ccc(=O)oc3c2O)cc1,CCCCc1ccc(-c2ccc3ccc(=O)oc3c2O)cc1
NC(=O)c1ccc(NC(=O)Cc2cc3cc(C(=O)NO)ccc3[nH]2)cc1,O=C(NO)c1ccc2[nH]c(CC(=O)Nc3ccc(C(N)=O)cc3)cc2c1
CCCOC(=O)C1=C(c2ccc(F)cc2)c2ccc(O)cc2C1=O,CCCOC(=O)C1=C(c2ccc(F)cc2)c2ccc(O)cc2C1=O
CC(=O)N[C@@H](C)c1ccc(O[C@@H]2CCN(c3nccc(N4CC[C@@H](F)C4)c3F)C2)cc1,CC(=O)N[C@@H](C)c1ccc(O[C@@H]2CCN(c3nccc(N4CC[C@@H](F)C4)c3F)C2)cc1
COc1ccc(-c2cc3[nH]c(=O)n(CCCN(C)C)c3cn2)cc1,COc1ccc(-c2cc3[nH]c(=O)n(CCCN(C)C)c3cn2)cc1
CCCCCCCNCc1cccc(-c2ccc3[nH]c(=O)c(-c4ccccn4)cc3c2)c1,CCCCCCCNCc1cccc(-c2ccc3[nH]c(=O)c(-c4ccccn4)cc3c2)c1
CCCCc1nc2ccc(C(F)(F)F)cc2c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,CCCCc1nc2ccc(C(F)(F)F)cc2c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1
CN1CCC(c2ccc(Nc3ncc(C(F)(F)F)c(Cc4ccc(Cl)cc4Cl)n3)cc2)CC1,CN1CCC(c2ccc(Nc3ncc(C(F)(F)F)c(Cc4ccc(Cl)cc4Cl)n3)cc2)CC1
COCCNc1nc2ccc(NC(=O)c3ccccc3)cc2[nH]1,COCCNc1nc2ccc(NC(=O)c3ccccc3)cc2[nH]1
,Cc1nc(N)nc(-c2c(Nc3cc(C(F)(F)F)ccc3O[C@H]3CCCNC3)ncn2)n1
Cn1cnc2cc(-c3ccc(N4CCOCC4)cc3)nc(NCc3ccco3)c2c1=O,Cn1cnc2cc(-c3ccc(N4CCOCC4)cc3)nc(NCc3ccco3)c2c1=O
,CNC(=O)c1c(N)n(C2CCN(C(C)=O)CC2)n2c(=O)n(CC3CC3)ccc2c1=O
,CN1C(=O)N(Cc2ccc3cc(F)c(C(=O)N[C@@H](C)C4CCN(Cc5ccccc5)CC4)cc32)CCN1
CN1CCC(c2ccc(Nc3ncc4c(n3)-c3c(nn(C)c3-c3ccc(Cl)cc3)CC4)cc2)CC1,CN1CCC(c2ccc(Nc3ncc4c(n3)-c3c(nn(C)c3-c3ccc(Cl)cc3)CC4)cc2)CC1
Cc1nc(N2CC[C@@H](CN3CCCC3)C2)c(C)s1,Cc1nc(N2CC[C@@H](CN3CCCC3)C2)c(C)s1
,CCOC(=O)C(C)(C)N1CCN(C(=O)Nc2ccc(Oc3ccnc(-c4cc(C(=O)N[C@H](CO)c5ccccc5)c5ccccc5c4)cc3)cc2)C1
CC1=C(C=O)CC(C)(C)c2cc(C3CC3)ccc21,CC1=C(C=O)CC(C)(C)c2cc(C3CC3)ccc21
O=C1NN(c2cccc3ccccc23)CC1Oc1cccc(O)c1,O=C1NN(c2cccc3ccccc23)CC1Oc1cccc(O)c1
Cc1cc(C)nc(N2CC3CN(C(=O)c4cccc(-c5ccccc5)n4)CC3C2)n1,Cc1cc(C)nc(N2CC3CN(C(=O)c4cccc(-c5ccccc5)n4)CC3C2)n1
CN(C)C[C@@H]1CC=C[C@@H]1c1ccc(-c2ccc3cc[nH]c3c2)cc1,CN(C)C[C@@H]1CC=C[C@@H]1c1ccc(-c2ccc3cc[nH]c3c2)cc1
CN(C)CCOc1ccc(NC(=O)c2cc(-c3ccccc3)nc(N)n2)cc1,CN(C)CCOc1ccc(NC(=O)c2cc(-c3ccccc3)nc(N)n2)cc1
COCCCN(Cc1ccc2nc(C)n(-c3ccc(F)c(Cl)c3)c2c1)CC1CCCCC1,COCCCN(Cc1ccc2nc(C)n(-c3ccc(F)c(Cl)c3)c2c1)CC1CCCCC1
O=C(CCNCC(O)c1ccccc1)NO,O=C(CCNCC(O)c1ccccc1)NO
,COc1cc([C@@H]2c3[nH]c4ccc(Cl)cc4c3C3=CCSC(N)=N23)ccc1NC(=O)CC(N)=O
O=C1NC(=O)C(Cc2nc3cccc(O)c3nc2NS(=O)(=O)c2cccc(I)c2)N1,O=C1NC(=O)C(Cc2nc3cccc(O)c3nc2NS(=O)(=O)c2cccc(I)c2)N1
Cc1c(CCN(C)C)sc(=NC2CCCCCC2)n1Cc1ccccc1-c1cccnc1,Cc1c(CCN(C)C)sc(=NC2CCCCCC2)n1Cc1ccccc1-c1cccnc1
N=C(N)N1CCC[C@H](NCCN2CCC(CCN3CCN(c4ccccc4)CC3)CC2)C1=O,N=C(N)N1CCC[C@H](NCCN2CCC(CCN3CCN(c4ccccc4)CC3)CC2)C1=O
,Cn1c(-c2cc(C(=O)NCc3ccccn3)n3ccnc(Cl)c3c2nc2ccc(F)cc2c1=O)[C@H]1CC[C@H](CNS(C)(=O)=O)CC1
,CN1CCN(c2nc3ccccc3n(Cc3ccccc3)n2)CC1
Cc1cccc(NC(=O)c2nc(C)n(-c3ccc(F)cn3)c2C)n1,Cc1cccc(NC(=O)c2nc(C)n(-c3ccc(F)cn3)c2C)n1
Cc1cc(C)cc(NC(=O)c2ccc(-c3ccccc3)cc2)c1,Cc1cc(C)cc(NC(=O)c2ccc(-c3ccccc3)cc2)c1
Cc1ccccc1NC(=O)c1ccc(NCc2ccc(Oc3ccccc3)cc2)nc1,Cc1ccccc1NC(=O)c1ccc(NCc2ccc(Oc3ccccc3)cc2)nc1
N#Cc1ccc(-c2nc(-c3ccccc3)nc(N3CCOCC3)n2)cc1,N#Cc1ccc(-c2nc(-c3ccccc3)nc(N3CCOCC3)n2)cc1
