loss,running_loss,mode,lr
2.0359370708465576,2.4281826086923575,Train,0.001
1.5923391580581665,1.8797105044688818,Eval,
1.5590543746948242,1.7652170784929955,Train,0.001
1.2339719533920288,1.4410585288731554,Eval,
1.1047883033752441,1.340120420106476,Train,0.001
0.9730077385902405,1.0897252261638646,Eval,
0.8661476373672485,0.9958497053342507,Train,0.001
0.76848304271698,0.817322016324637,Eval,
0.633078396320343,0.7393440301254844,Train,0.001
0.6227587461471558,0.6242185668000632,Eval,
0.5141448974609375,0.5652663383641701,Train,0.001
0.5240113139152527,0.49817775752184534,Eval,
0.43867459893226624,0.4525209927389809,Train,0.001
0.4619133770465851,0.4166836347782387,Eval,
0.3427712321281433,0.37885472643459955,Train,0.001
0.4217415452003479,0.36375412007547775,Eval,
0.2594999372959137,0.32994907178495514,Train,0.001
0.39137715101242065,0.3280952066745398,Eval,
0.27217867970466614,0.29505649508454856,Train,0.001
0.3705805242061615,0.30047952018256463,Eval,
0.27463817596435547,0.2719769390128185,Train,0.001
0.35528624057769775,0.2828942582292378,Eval,
0.26611262559890747,0.2529577435331141,Train,0.001
0.3440153896808624,0.2687696151013643,Eval,
0.272327721118927,0.2381589955542386,Train,0.001
0.33465924859046936,0.2579792903841667,Eval,
0.24551106989383698,0.22769870015464502,Train,0.001
0.3319227695465088,0.2497700195548669,Eval,
0.22505852580070496,0.2191924747106031,Train,0.001
0.32673880457878113,0.2435760818562418,Eval,
0.276583194732666,0.21237307406486358,Train,0.001
0.3193318247795105,0.23825485484217698,Eval,
0.2088136374950409,0.20582302029180743,Train,0.001
0.3143433630466461,0.23382502238986622,Eval,
