smiles,0
O=P(O)(O)OCCCOP(=O)(O)OCCCC(CO)c1ccc(CN2CCCCC2)cc1,O.O=[PH3].(O.).O.C.C.C.O.O=[PH3].(O.).O.C.C.C.C.(C.O.).<0>c1ccccc1<3>.C.<3>C1CCNCC1.
O=c1c(CCCc2nc(-c3c[nH]c4ccccc34)c[nH]2)cncn1Cc1cccc(OC(F)(F)F)c1,F.C.(F.)(F.).O.<0>c1ccccc1<4>.C.<6>O=c1ccnc[nH]1<2>.C.C.C.<3>c1c[nH]cn1<0>.<6>c1ccc2[nH]ccc2c1.
CCc1nn(C(=O)NCCF)c(CC)c1CC,C.C.<1>c1cn[nH]c1<3>.<0>(C.C.)<4>(C.C.).C=O.N.C.C.F.
O=C(c1ccccc1-c1ccccc1)N1CC2CNC(Cc3ccccc3)C2C1,c1ccccc1<0>.<5>c1ccccc1<0>.C=O.<1>C1NCC2CNCC12<4>.C.<0>c1ccccc1.
N#Cc1ccc([SH]=C2NC(=O)C(=Cc3cc(Cl)c(O)c(Br)c3)CO2)cc1,O.<3>c1ccccc1<0>.<2>(Br.)<4>(Cl.).<0>C=C1COC(=S)NC1=O<5>.<3>c1ccccc1<0>.C#N.
CC1=CC2CC3=C(C(C1)C2)C(N)(Br)C1(Br)C=CC(Br)=CC1=N3,C.<0>C1=CC2Cc3nc4ccccc4cc3C(C1)C2<12>.<8>(Br.)<11>(Br.)<12>(Br.).N.
Cc1cc(-c2cc(NC(=O)c3nc(-c4ccccc4)oc3C(F)(F)F)ccc2C#N)c2ncccc2c1,F.C.(F.)(F.).<1>c1cocn1<0>.<3>(<0>c1ccccc1.).C=O.N.<0>c1ccccc1<4>.<3>(C#N.).<2>c1ccc2ncccc2c1<0>.C.
CCN(Cc1cccc(-c2nc(C)no2)c1)c1cccc(NC(=O)c2cccc(Cl)c2)c1,C.<0>c1ncon1<2>.<0>c1ccccc1<4>.C.N.(C.C.).<0>c1ccccc1<4>.N.C=O.<0>c1ccccc1<4>.Cl.
CCS(=O)(=O)NCCOc1cccc(C)c1NC(=O)NCCCCCC(=O)N(NC(=O)CCN1CCCCC1)c1ccccc1,C1CCNCC1<3>.C.C.C=O.N.N.(<0>c1ccccc1.).C=O.C.C.C.C.C.N.C=O.N.<5>c1ccccc1<4>.<0>(C.).O.C.C.N.O=[SH2]=O.C.C.
COc1cc2c3c(c1Cl)-c1cc4c(cc1CC3N(Cc1cnc[nH]1)CC2)OCO4,C.O.<0>c1cc2c3c(c1)-c1cc4c(cc1CC3NCC2)OCO4<5>.<14>(C.<1>c1c[nH]cn1.).Cl.
Clc1cccc(C2=C(OCCCN3CCCC3)c3cccn3-c3ccccc3S2)c1,C1CCNC1<3>.C.C.C.O.<1>C1=Cc2cccn2-c2ccccc2S1<0>.<0>c1ccccc1<4>.Cl.
NC(=O)c1ccc2[nH]cc(C=C3Oc4c(N)cc(O)cc4C3=O)c2c1,N.<4>C=C1Oc2ccccc2C1=O<0>.<6>(O.).<6>c1ccc2[nH]ccc2c1<0>.C=O.N.
CC(C)C(Cc1ccc(Cl)cc1)Nc1ncnc2oc(-c3ccc(C(F)(F)F)cc3)cc12,F.C.(F.)(F.).<3>c1ccccc1<0>.<5>c1ncc2ccoc2n1<2>.N.C.(C.(C.).C.).C.<0>c1ccccc1<3>.Cl.
N#Cc1cccc(-c2cnc(N)c(OCCCN3CCOCC3)c2)c1N,N.<0>c1ccccc1<5>.<1>(C#N.).<1>c1ccncc1<5>.<4>(N.).O.C.C.C.<5>C1COCCN1.
CCOC(=O)c1cc(N)nc(Nc2nn(C)c3cccc(C(N)=O)c23)c1,N.C=O.<8>c1ccc2[nH]ncc2c1<6>.<4>(C.).N.<2>c1ccncc1<0>.<4>(N.).C=O.O.C.C.
CCCCCC(C(=O)NO)C1CCc2cccc(CC(=O)NC(C)(S)c3ccccc3)c2NC1=O,C.CS.(<0>c1ccccc1.).N.C=O.C.<9>O=C1CCCc2ccccc2N1<2>.C.(C=O.N.O.).C.C.C.C.C.
CN(C)C(=O)[C@H]1CC[C@@H](NC(=O)Nc2cc3[nH]nc(-c4ccnc(F)c4)c3cn2)C1,C.N.(C.).C=O.<0S>C1CCCC1<3R>.N.C=O.N.<0>c1cc2[nH]ncc2cn1<5>.<0>c1ccncc1<4>.F.
O=C(NCCCCCCN1CCN(c2ccc3cc(Cl)ccc3n2)CC1)NC12CC3CC(CC(C3)C1)C2,Cl.<0>c1ccc2ncccc2c1<5>.<2>C1CNCCN1<5>.C.C.C.C.C.C.N.C=O.N.<7>C1C2CC3CC1CC(C2)C3.
N#Cc1ccc(Nc2nccc(-c3cnn4ncc(N)cc34)n2)cc1,C#N.<0>c1ccccc1<3>.N.<3>c1cncnc1<1>.<6>c1cnn2nccc2c1<0>.N.
