smiles,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
COc1ccc(-c2cccn3nc(Nc4ccc(C5CCNCC5)cc4)nc23)cc1,<bos>,C,O,<0>,c1ccccc1,<3>,<8>,c1ccn2ncnc2c1,<5>,N,<0>,c1ccccc1,<3>,<0>,C1CCNCC1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)COC(=O)N1CCC(Nc2nc3ccncc3o2)CC1,<bos>,C,C,(,C,),C,O,C=O,<3>,C1CCNCC1,<0>,N,<4>,c1cc2ncoc2cn1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1cc(-c2n[nH]c3cc(NC(=O)NC4(CN5CCCCC5)CCCC4)ncc23)ccn1,<bos>,C,<4>,c1ccncc1,<0>,<5>,c1cc2[nH]ncc2cn1,<0>,N,C=O,N,<0>,C1CCCC1,<0>,C,<3>,C1CCNCC1,<eos>,,,,,,,,,,,,,,,,,,,,,,,
CNC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)CNCc1ccc(F)cc1,<bos>,C,N,C=O,C,(,C,<6>,c1ccc2[nH]ccc2c1,),N,C=O,C,N,C,<0>,c1ccccc1,<3>,F,<eos>,,,,,,,,,,,,,,,,,,,,,
Cc1nc(-c2ccccc2)oc1C(O)CCCCCCCN1CCCCC1,<bos>,C,<0>,c1cocn1,<1>,<3>,(,<0>,c1ccccc1,),C,(,O,),C,C,C,C,C,C,C,<3>,C1CCNCC1,<eos>,,,,,,,,,,,,,,,,,
CC(C)CCc1cnc(Cc2ccc(-c3ccccc3-c3nn[nH]n3)cc2)o1,<bos>,C,C,(,C,),C,C,<1>,c1cocn1,<3>,C,<0>,c1ccccc1,<3>,<0>,c1ccccc1,<5>,<0>,c1nn[nH]n1,<eos>,,,,,,,,,,,,,,,,,,,,
Cc1cc(CNC(=O)Nc2ccc(F)cc2)c2oc(-c3ccc(OC(F)(F)F)cc3)nc2c1,<bos>,F,C,(,F,),(,F,),O,<3>,c1ccccc1,<0>,<5>,c1ccc2ocnc2c1,<2>,<0>,(,C,),C,N,C=O,N,<0>,c1ccccc1,<3>,F,<eos>,,,,,,,,,,,,
CCCCCCCCCCCCCCCN(CCC)c1nc2ccccc2o1,<bos>,C,C,C,N,(,<5>,c1ccc2ocnc2c1,),C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,<eos>,,,,,,,,,,,,,,,,
NC1=N[C@@](c2cc(F)cc(NCc3ccncc3)c2)(C(F)F)[C@H]2C[C@H]2O1,<bos>,F,C,(,F,),<2S>,C1=NCC2CC2O1|3R5R,<2S>,<0>,(,N,),<0>,c1ccccc1,<2>,<4>,(,F,),N,C,<0>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,
COc1ccc(S(=O)(=O)N[C@H](C)C(=O)N[C@@H](C)Cc2ccc(OCC(C)C)cc2)cc1,<bos>,C,C,(,C,),C,O,<3>,c1ccccc1,<0>,C,C|S,(,C,),N,C=O,C|R,(,C,),N,O=[SH2]=O,<0>,c1ccccc1,<3>,O,C,<eos>,,,,,,,,,,,
Cc1c(Cl)cccc1C(=O)NC(=O)NCCCc1[nH]cnc1[N+](=O)[O-],<bos>,C,<5>,c1ccccc1,<0>,<4>,(,Cl,),C=O,N,C=O,N,C,C,C,<1>,c1c[nH]cn1,<0>,O=[NH+][O-],<eos>,,,,,,,,,,,,,,,,,,,,
O=C1CC[C@H](C=CCCCCN2CCC(OCc3ccc(F)cc3)CC2)N1,<bos>,F,<3>,c1ccccc1,<0>,C,O,<0>,C1CCNCC1,<3>,C,C,C,C,<0>,C=C,<1>,<4R>,O=C1CCCN1,<eos>,,,,,,,,,,,,,,,,,,,,,
CCCCCNC(=O)CN1C[C@H](S(=O)(=O)Cc2cccc(C#N)c2)C[C@H]1C(=O)N1CCCN(C2CC2)CC1,<bos>,C1CC1,<0>,<5>,C1CNCCNC1,<2>,C=O,<2S>,C1CCNC1,<3>,<0R>,(,O=[SH2]=O,C,<0>,c1ccccc1,<4>,C#N,),C,C=O,N,C,C,C,C,C,<eos>,,,,,,,,,,,,,
O=C(Nc1ccc([C@H]2CNCCO2)cc1F)c1ccccc1,<bos>,F,<4>,c1ccccc1,<3>,<0>,(,<1S>,C1COCCN1,),N,C=O,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,
CCOc1ccc(-c2ccc3c(c2)OCC[C@H](c2nc4scc(C)c4c(=O)o2)CCOC[C@H]2CCC[C@@H]3O2)cc1,<bos>,C,<8>,O=c1ocnc2sccc12,<3>,<9R>,c1ccc2c(c1)OCCCCCOCC1CCCC2O1|14R18S,<0>,<0>,c1ccccc1,<3>,O,C,C,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,
COC(=O)CCc1c[nH]nc1-c1ccccc1-c1ccc(-c2cnc(N)cn2)c(F)c1,<bos>,N,<0>,c1cnccn1,<3>,<3>,c1ccccc1,<0>,<4>,(,F,),<5>,c1ccccc1,<0>,<1>,c1cn[nH]c1,<0>,C,C,C=O,O,C,<eos>,,,,,,,,,,,,,,,,,
CN1CCC2(CC1)CC(C(=O)CC#Cc1ccc(S(N)(=O)=O)cc1)c1ccccc12,<bos>,N,O=[SH2]=O,<0>,c1ccccc1,<3>,<0>,C#C,<1>,C,C=O,<6>,c1ccc2c(c1)CCC21CCNCC1,<11>,C,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,
CCc1nc2c(C)cc(C)nc2n1Cc1ccc(NC(=O)N2CCC(c3c[nH]c4ccncc34)CC2)cc1,<bos>,C,C,<5>,c1cnc2[nH]cnc2c1,<4>,<8>,(,C,),<1>,(,C,),C,<0>,c1ccccc1,<3>,N,C=O,<3>,C1CCNCC1,<0>,<5>,c1cc2[nH]ccc2cn1,<eos>,,,,,,,,,,,,,,,
CCCCC(=O)NCCCCOc1ccccc1C(=O)O,<bos>,C,C,C,C,C=O,N,C,C,C,C,O,<0>,c1ccccc1,<5>,C=O,O,<eos>,,,,,,,,,,,,,,,,,,,,,,,
O=C(Nc1ccc(-c2nc3snc(C4CCCCC4)c3c(=O)[nH]2)c(F)c1)C1CCC1,<bos>,C1CCCCC1,<0>,<8>,O=c1[nH]cnc2sncc12,<3>,<3>,c1ccccc1,<0>,<4>,(,F,),N,C=O,<0>,C1CCC1,<eos>,,,,,,,,,,,,,,,,,,,,,,,
