smiles,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
CCCNC(=O)Nc1ccccc1C(=O)C1CCCN(S(=O)(=O)c2ccc(Cl)s2)c2ccccc21,<bos>,Cl,<2>,c1ccsc1,<4>,O=[SH2]=O,<10>,c1ccc2c(c1)CCCCN2,<6>,C=O,<5>,c1ccccc1,<0>,N,C=O,N,C,C,C,<eos>,,,,,,,,,,,,,,,,,,,,,
Cc1cccc(NC(=O)[C@H](S)c2ccc(N(C)C(=O)c3ccccc3)cc2)c1,<bos>,c1ccccc1,<0>,C=O,N,(,C,),<3>,c1ccccc1,<0>,C|R,(,S,),C=O,N,<4>,c1ccccc1,<0>,C,<eos>,,,,,,,,,,,,,,,,,,,
COc1ccc(-c2ccnc3nc(-c4ccccc4Cl)ccc23)cn1,<bos>,C,O,<4>,c1ccncc1,<1>,<7>,c1cnc2ncccc2c1,<1>,<0>,c1ccccc1,<5>,Cl,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC(=O)[C@@H](NC(=O)c1ccc(N2CCC(NCC(O)C(F)(F)F)CC2)nc1-c1ccccc1)C1CCCCC1,<bos>,F,C,(,F,),(,F,),C,(,O,),C,N,<0>,C1CCNCC1,<3>,<2>,c1ccncc1,<5>,<4>,(,<0>,c1ccccc1,),C=O,N,C|S,(,<0>,C1CCCCC1,),C=O,N,<eos>,,,,,
OC[C@H]1CCCCN1CCc1csc2cc(Cl)ccc12,<bos>,O,C,<2R>,C1CCNCC1,<3>,C,C,<6>,c1ccc2sccc2c1,<1>,Cl,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC(=O)N(O)Cc1cccc(C=Cc2nc3ccc(F)cc3s2)c1,<bos>,N,C=O,N,(,O,),C,<0>,c1ccccc1,<4>,<0>,C=C,<1>,<5>,c1ccc2scnc2c1,<1>,F,<eos>,,,,,,,,,,,,,,,,,,,,,,
CC(=O)N1CCN(c2ccc(Nc3nc(NCc4ccc(OC(F)(F)F)cc4)ncc3Br)cc2)CC1,<bos>,F,C,(,F,),(,F,),O,<3>,c1ccccc1,<0>,C,N,<3>,c1cncnc1,<5>,<0>,(,Br,),N,<3>,c1ccccc1,<0>,<5>,C1CNCCN1,<2>,C=O,C,<eos>,,,,,,,,,
COc1cc(-c2cc(-c3ccc(C(F)(F)F)cc3)nc(C#N)n2)cc(-c2ccccc2)n1,<bos>,F,C,(,F,),(,F,),<3>,c1ccccc1,<0>,<5>,c1cncnc1,<1>,<3>,(,C#N,),<0>,c1ccncc1,<2>,<4>,(,<0>,c1ccccc1,),O,C,<eos>,,,,,,,,,,,
O[C@@H]1CCN(c2ccc(Nc3ncc4c5ccncc5n(C5CCCC5)c4n3)nn2)C1,<bos>,O,<0R>,C1CCNC1,<3>,<5>,c1ccnnc1,<2>,N,<9>,c1cc2c(cn1)[nH]c1ncncc12,<6>,<0>,C1CCCC1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1ccc(-c2nnc(C)c3nn(N4CCC[C@H]4C(=O)N(C)C)cc23)c(C)c1,<bos>,C,N,(,C,),C=O,<4S>,C1CCNC1,<3>,<6>,c1nncc2n[nH]cc12,<0>,<3>,(,C,),<3>,c1ccccc1,<0>,<4>,(,C,),C,<eos>,,,,,,,,,,,,,,,
Cc1cc2c(N)nc(-c3ccnn3C)nc2cc1-n1cc(C(=O)NCCN2CCN(C)CC2)cn1,<bos>,C,<3>,c1cn[nH]c1,<4>,<5>,c1ccc2ncncc2c1,<1>,<0>,(,C,),<7>,(,N,),<3>,c1cn[nH]c1,<0>,C=O,N,C,C,<2>,C1CNCCN1,<5>,C,<eos>,,,,,,,,,,,,,
,<bos>,O,C,<4R>,C1CCNCC1,<3>,<0R>,(,O,),<0R>,(,O,),<2>,c1ccsc1,<4>,<1>,(,Cl,),C,C,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,
CN(CCc1ccc(F)cc1)C1CCN(Cc2ccc3c(c2)OCCO3)c2ccccc21,<bos>,c1ccc2c(c1)OCCO2,<0>,C,<9>,c1ccc2c(c1)CCCN2,<6>,N,(,C,),C,C,<0>,c1ccccc1,<3>,F,<eos>,,,,,,,,,,,,,,,,,,,,,,,
CN1CCC[C@H]1CCOc1ccc2nc3c(cc2c1)ncn3C(=O)O,<bos>,C,<3>,C1CCNC1,<4S>,C,C,O,<0>,c1ccc2nc3[nH]cnc3cc2c1,<6>,C=O,O,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC1(C)[C@H]2C[C@H](CCc3c[nH]c4cc(F)ccc34)[C@@H](NC(=O)c3ccc(Cl)s3)[C@@H]1C2,<bos>,Cl,<2>,c1ccsc1,<4>,C=O,N,<5R>,C1CC2CC(C1)C2|2S4R,<0S>,<6>,(,C,),<6>,(,C,),C,C,<6>,c1ccc2[nH]ccc2c1,<1>,F,<eos>,,,,,,,,,,,,,,,,
O=C(c1ccc(-c2cccc3[nH]ncc23)cc1)N1CCN(c2ccccn2)CC1,<bos>,c1ccncc1,<2>,<5>,C1CNCCN1,<2>,C=O,<0>,c1ccccc1,<3>,<8>,c1ccc2[nH]ncc2c1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)N[C@@H](C)c1ccc(C#Cc2ccc(Cl)cc2)cc1,<bos>,Cl,<3>,c1ccccc1,<0>,<1>,C#C,<0>,<3>,c1ccccc1,<0>,C|S,(,C,),N,C=O,C,<eos>,,,,,,,,,,,,,,,,,,,,,,
,<bos>,O,C=O,<2S>,C1CC1,<2S>,<0R>,(,C,),<1R>,(,C,),O,<0>,c1ccccc1,<4>,<5>,(,F,),F,<eos>,,,,,,,,,,,,,,,,,
CN(C)CCC(=O)Nc1nc2nc(-c3ccc([N+](=O)[O-])cc3)ncc2cc1-c1c(Cl)cccc1Cl,<bos>,C,N,(,C,),C,C,C=O,N,<1>,c1cnc2ncncc2c1,<5>,<0>,(,<5>,c1ccccc1,<4>,<0>,(,Cl,),Cl,),<0>,c1ccccc1,<3>,O=[NH+][O-],<eos>,,,,,,,,,,,,
CCN(C)C(=O)c1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1,<bos>,F,<3>,c1ccccc1,<0>,<4>,(,Cl,),N,<2>,c1ncc2ccsc2n1,<5>,C=O,N,(,C,),C,C,<eos>,,,,,,,,,,,,,,,,,,,,
CC(C)Oc1ccccc1N1CCN(Cc2cccc(NC(=O)NC34CC5CC(CC(C5)C3)C4)c2)CC1,<bos>,C,C,(,C,),O,<0>,c1ccccc1,<5>,<2>,C1CNCCN1,<5>,C,<0>,c1ccccc1,<4>,N,C=O,N,<7>,C1C2CC3CC1CC(C2)C3,<eos>,,,,,,,,,,,,,,,,,,
CS(=O)(=O)N1CC2(CCN(C(=O)Nc3ccc(-c4ccccc4Cl)cc3)CC2)c2ccccc21,<bos>,C,O=[SH2]=O,<6>,c1ccc2c(c1)NCC21CCNCC1,<11>,C=O,N,<0>,c1ccccc1,<3>,<0>,c1ccccc1,<5>,Cl,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,
CN(CCC(O)CN1CCN(c2cccc(C(F)(F)F)c2Cl)CC1)Cc1ccnc2ccccc12,<bos>,F,C,(,F,),(,F,),<4>,c1ccccc1,<0>,<5>,(,Cl,),<5>,C1CNCCN1,<2>,C,C,(,O,),C,C,N,(,C,),C,<7>,c1ccc2ncccc2c1,<eos>,,,,,,,
N[C@@H](Cc1cccc(O)c1)C(=O)N1CCC[C@H]1C(=O)NC(CC(=O)O)c1cc2cc(Cl)ccc2s1,<bos>,Cl,<0>,c1ccc2sccc2c1,<5>,C,(,C,C=O,O,),N,C=O,<4S>,C1CCNC1,<3>,C=O,C|S,(,N,),C,<0>,c1ccccc1,<4>,O,<eos>,,,,,,,,,,,,,,
CC(C)c1ccc(-c2cncc(OCc3ccc(C(=O)O)c(O)c3)c2)cc1,<bos>,C,C,(,C,),<0>,c1ccccc1,<3>,<1>,c1ccncc1,<5>,O,C,<0>,c1ccccc1,<3>,<4>,(,O,),C=O,O,<eos>,,,,,,,,,,,,,,,,,
CS(=O)(=O)c1ccccc1N1CCN(CCCSc2ccc(C#N)cc2)CC1,<bos>,C,O=[SH2]=O,<0>,c1ccccc1,<5>,<2>,C1CNCCN1,<5>,C,C,C,S,<0>,c1ccccc1,<3>,C#N,<eos>,,,,,,,,,,,,,,,,,,,,,,,
COc1ccccc1N1CCN(CCC(=O)c2c(C)n(CC(=O)c3ccccc3F)c3ccc(Cl)cc23)CC1,<bos>,F,<5>,c1ccccc1,<0>,C=O,C,<4>,c1ccc2[nH]ccc2c1,<6>,<5>,(,C,),<0>,(,Cl,),C=O,C,C,<2>,C1CNCCN1,<5>,<0>,c1ccccc1,<5>,O,C,<eos>,,,,,,,,,,,
NC(CC[C@H](N)C(=O)N1CCC[C@@H]1B(O)O)P(=O)(O)O,<bos>,O,O=[PH3],(,O,),C,(,N,),C,C,C|S,(,N,),C=O,<3>,C1CCNC1,<4S>,B,(,O,),O,<eos>,,,,,,,,,,,,,,,
Cc1cc(Nc2ccc(Cl)cn2)nc(-c2cnc(C3(O)CCCc4cc(C(=O)O)ccc43)s2)c1,<bos>,O,C=O,<0>,c1ccc2c(c1)CCCC2,<9>,<9>,(,O,),<3>,c1cscn1,<1>,<4>,c1ccncc1,<2>,<0>,(,C,),N,<4>,c1ccncc1,<1>,Cl,<eos>,,,,,,,,,,,,,,,
CNC(=O)[C@H](NC(=O)c1cc(C)cc(-c2nnc(-c3cccc(C)c3)o2)c1)c1ccccc1,<bos>,C,N,C=O,C|R,(,<0>,c1ccccc1,),N,C=O,<0>,c1ccccc1,<4>,<2>,(,C,),<0>,c1nnco1,<3>,<0>,c1ccccc1,<4>,C,<eos>,,,,,,,,,,,,,,,
CCCCCSCCc1ccc(OC(C)C(=O)N(C(C)C)C(C)C)c(OC)c1,<bos>,C,C,(,C,),N,(,C,(,C,),C,),C=O,C,(,C,),O,<3>,c1ccccc1,<0>,<4>,(,O,C,),C,C,S,C,C,C,C,C,<eos>,,,,
C[C@H]1CN(CCC(F)(F)F)CC[C@@H]1c1cc(F)c(F)cc1F,<bos>,F,<0>,c1ccccc1,<2>,<5>,(,F,),<3>,(,F,),<0S>,C1CCNCC1,<3>,<5R>,(,C,),C,C,C,(,F,),(,F,),F,<eos>,,,,,,,,,,
CNC(=O)c1c(C)nc2ccc(-c3ccccc3)cc2c1C(c1cccc(Cl)c1)C1CC1,<bos>,C,N,C=O,<6>,c1ccc2ncccc2c1,<7>,<5>,(,C,),<0>,(,<0>,c1ccccc1,),C,(,<0>,C1CC1,),<0>,c1ccccc1,<4>,Cl,<eos>,,,,,,,,,,,,,,,
O[C@@H](COc1cccc2c1ncn2C1CC1)CN1CCC(Oc2ccccc2)CC1,<bos>,c1ccccc1,<0>,O,<0>,C1CCNCC1,<3>,C,C|R,(,O,),C,O,<8>,c1ccc2[nH]cnc2c1,<4>,<0>,C1CC1,<eos>,,,,,,,,,,,,,,,,,,,,,
COc1cc(O)c2c(=O)cc(C(=O)NCc3ccccn3)oc2c1,<bos>,C,O,<7>,O=c1ccoc2ccccc12,<3>,<9>,(,O,),C=O,N,C,<2>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,
COc1ccc(-c2nc(N)c3nc(N)[nH]c3n2)cc1NC(=O)c1ccc(Cl)c(Cl)c1,<bos>,Cl,<3>,c1ccccc1,<0>,<4>,(,Cl,),C=O,N,<4>,c1ccccc1,<0>,<3>,(,O,C,),<0>,c1ncc2nc[nH]c2n1,<5>,<2>,(,N,),N,<eos>,,,,,,,,,,,,,
,<bos>,C,<13R>,(,O,),N,<4>,c1ncncn1,<0>,<2>,(,Br,),N,C|S,(,C,),<0>,c1ccccc1,<4>,O=[NH+][O-],<eos>,,,,,,,,,,,,,,,,,
,<bos>,C,O,<4>,c1ccncc1,<5>,<1>,(,F,),<2>,c1cc[nH]c1,<4>,<4>,(,C,),<0>,c1ccccc1,<3>,Cl,<eos>,,,,,,,,,,,,,,,,,,,
