loss,running_loss,mode,lr
4.684792995452881,5.137134594838385,Train,0.001
4.762175559997559,4.67106960404594,Eval,
3.9074935913085938,4.244917053984692,Train,0.001
3.9815688133239746,3.895009524417373,Eval,
3.4305429458618164,3.6742998837861034,Train,0.001
3.512495756149292,3.4296423579162023,Eval,
3.022416830062866,3.25933070723892,Train,0.001
3.129072904586792,3.0455293025610572,Eval,
2.7792794704437256,2.899102999527122,Train,0.001
2.785207986831665,2.7057648469816966,Eval,
2.387533664703369,2.5679846086118796,Train,0.001
2.453814744949341,2.3865471313584528,Eval,
2.125412940979004,2.2559277611139525,Train,0.001
2.139857053756714,2.0887876614084786,Eval,
1.8283915519714355,1.9625092310826553,Train,0.001
1.8474425077438354,1.807222923017898,Eval,
1.6036661863327026,1.694655209286557,Train,0.001
1.5800127983093262,1.5611337839432484,Eval,
1.3698469400405884,1.4637241673525898,Train,0.001
1.364601731300354,1.3531414067970133,Eval,
1.2050933837890625,1.280561647234798,Train,0.001
1.2036703824996948,1.1999012906596347,Eval,
1.0958250761032104,1.1466105401375066,Train,0.001
1.0888832807540894,1.0895986045306576,Eval,
1.0142830610275269,1.0537598762951847,Train,0.001
1.0151069164276123,1.0159086658144891,Eval,
0.9452402591705322,0.9890231835363046,Train,0.001
0.9564322829246521,0.9640864623042773,Eval,
0.9401487112045288,0.9433109794102666,Train,0.001
0.926519513130188,0.928541162103977,Eval,
0.8896428942680359,0.9097269074573028,Train,0.001
0.8904789090156555,0.9004032038292794,Eval,
0.8973616361618042,0.8839687678267208,Train,0.001
0.8688355684280396,0.8794363956406426,Eval,
