smiles,0
Cc1cnc(NC(=O)c2nc(-c3cc(F)ccc3F)no2)nc1N[C@H]1CC[C@@H](C)CC1,*C&*[C@H](*)*&*C(=O)C1=NC(*)=NO1&*C1=CC=C(*)C=C1^*NC1=NC=C(*)C(N*)=N1^*F&*[C@H]1CC[C@H](*)CC1&&*F^*N
CNC(=O)c1sc(CNC(C)=O)c(-c2ccc(Cl)c(CO[N+](=O)[O-])c2)c1Cl,*C&*C(=O)N*&*C*&*C*&*NC(*)=O&*C1=C(*)SC(*)=C1*&*Cl&&*C1=CC=C(*)C=C1*^*[N+](=O)[O-]&*O*^*Cl^*C*&&&*C*
CCOc1cc(ON2COc3cc(C)ccc32)c(OC)cc1N(C)C(C)=O,*C&*C*&*O*&*C1=CC(*)=C(*)C=C1*&*O*&*C^*C(=O)N(*)*&&*C^*O*&*C^*C1=CC=C2C(=C1)OCN2*&&&*C&&&
N[C@H]1CC(c2ncnc3c2ncn3NCc2ccc3ccccc3n2)C[C@@H](O)O1,*N&*[C@H]1C[C@@H](*)C[C@H](*)O1&*O&&*N1C=NC2=C(*)N=CN=C21^*N*&*C*&*C1=CC=C2C=CC=CC2=N1&&&
CCc1cc2cc(C)cc(-n3cc(Cl)c(Cl)c3)c2[nH]c1=O,*C&*C1=CC(*)=CC2=C1NC(=O)C(*)=C2&*N1C=C(*)C(*)=C1&*Cl^*C*&*Cl^*C&&&&&
CCNC(=O)N1C[C@H]2CC(=O)CCC2[C@H]1c1c(F)cnc2ccc(C(=O)NCC(=O)O)cc12,*C&*OC(*)=O&*C*&*NC(*)=O&*[C@@H]1C2CCC(=O)C[C@@H]2CN1*&*C1=CN=C2C=CC(*)=CC2=C1*&*F&&*C(=O)N*^*C*&*C*
CCCc1cc(C)cc(-n2ncc3nc(C)c([C@@H]4CC(=O)OC(F)C4)nc32)c1OC,*C&*C*&*C*&*C1=CC(*)=C(*)C(*)=C1&*O*&*C^*C&&&*C1=C(*)N=C2C=NN(*)C2=N1^*C&&*C1C[C@H](*)CC(=O)O1^*F&&&
Cc1c(Nc2cc(C(=O)NC(C)(C)O)ccn2)ncnc1N(C)c1cccc(C#N)c1,*C&*N(C)C1=NC=NC(*)=C1*&*C1=CC=CC(*)=C1&*C#N^*N*&&*C1=CC=NC(*)=C1&*NC(*)=O&*C(*)(*)C&*C&&*O&&
Cc1ccc(-c2nc(-c3ccc(S(=O)(=O)N4C[C@@H](C)[C@@H]([SH](=O)=O)C4)c(F)c3)no2)cc1,*C&*S(*)(=O)=O&*C1=CC=C(*)C=C1&*C1=NOC(*)=N1&*[C@@H]1CN(S(*)(=O)=O)C[C@@H]1*&*C1=CC(*)=CC=C1*&*F^*C&
O=c1[nH]c(Br)c(-c2cc(-c3ccc(Oc4cccc(CO)n4)c(F)c3)ccn2)s1,*F&*C1=CC(*)=CC=C1*&*C1=CC(*)=CC(*)=N1&*C1=CSC(=O)N1^*O*^*Br&*C1=CC=CC(*)=N1&&&*C*&*O&&&
