smiles,0
CCC1CCN(c2cn(CN3CC(N4Cc5oc6ccccc6c5C4)C3)c3nc(C)ccc23)CC1,*C&*C(*)C&*N1C=C(*)C2=CC=C(*)N=C21&*C*&*N1CC(*)C1^*N1CCC(*)CC1^*N1CC2=C(C1)OC1=CC=CC=C12&*C1=CC=C(*)
COCc1cnc(NC(=O)Nc2ccc(S(=O)(=O)N3CCCC3)cc2)cc1C1(C)CC1C,*C&*O*&*C*&*C1=CN=C(N*)C=C1*&*C1CC1(*)C&*C^*C(=O)N*&&*C1=CC=C(*)C=C1&*S(=O)(=O)N1CCCC1&&&
CCc1ccc2[nH]c(C#N)cc2c1-c1nn(CC)[nH]c1=O,*C&*C*&*C*&*C*&*N1C(=O)C(*)=NN1*&*[C@H]1CC[C@H](*)CC1&*N(*)C(*)=O^*C1=CC2=C(*)C(*)=CC=C2N1^*C&*C#N&&
O=C(N[C@@H]1CCC[C@@H]1NC(=O)N1CC=C(N2C(=O)CNC2=O)CC1)c1ccccc1F,*NC(=O)N1CC=C(*)CC1&*[C@@H]1CCC[C@@H]1*&*NC(*)=O^*N1C(=O)CNC1=O^*C1=CC=CC=C1*&&&*F&&&
CC=CC(C)(CCCCCC)NC(=O)c1cc(N(C)C)cc2oc(=O)c3ccccc3c12,*C&*C*&*C*&*C*&*C*&*C*&*C(*)(*)C&*C(=O)N*&*C1=CC(*)=C2C(=C1)OC(=O)C1=CC=CC=C12^*C=C*^*N(*)C&*C&*C&&&
N#CC(=C(NC1CCC1)N1CCC[C@@H](C2CCN(c3ccc(Cl)c(Cl)c3)CC2)C1)c1ccsc1,*C#N&*C(*)=C(*)*&*C1=CSC=C1&&*N1CCC[C@H](*)C1^*N1CCC(*)CC1^*N*^*C1=CC(*)=CC=C1*&*C1CCC1&*Cl&&&&*Cl&&
C=CCc1nc2ccccc2n1NC,*C=C&*C*&*C1=NC2=CC(*)=CC=C2N1*&*C*&*C1=CSC(*)=N1^*N*^*C1=CC=C(*)C(*)=C1&*C&*C1=CC=CC(*)=C1&&&*C1(*)
O=C(Nc1ccccc1Cc1ccsc1)N1CCC(c2cc(F)ccc2Cl)CC1,*NC(=O)N1CCC(*)CC1&*C1=CC=CC=C1*&*C*^*C1=CC=C(*)C(*)=C1^*C1=CSC=C1&*F&&&&*Cl&&
O=Cc1nc2cc(N3CCC(CN4CCN(COC5CC5)CC4)CC3)c(-c3ccccc3Cl)cc2[nH]1,*C(*)=O&*C*&*O*^*C1=CC2=C(C=C1*)N=C(*)N2^*C1CC1&*C1=CC=CC=C1*&&&*Cl^*N1CCN(*)CC1&&*C1CCN(*)CC1&*C*&*
Cc1cc(Nc2cc(F)ccc2F)nn1-c1cc(F)cc(NC(=O)C2CC2)c1,*NC(*)=O&*C1CC1&&*C1=CC(*)=CC(*)=C1^*F&&*N1N=C(N*)C=C1*^*C&&*C1=CC=C(*)C=C1*^*F&&*F&&
CCc1ccccc1Cl,*C&*[C@@H](*)*&*NC(*)=O&*C1=C(*)C(=O)C2=CC=C(*)C=C2C1=O^*C1=CC=CC=C1*^*N1CCOCC1&*Cl&&*C1=CC(C(=O)O)=
COc1ccc(OCN)c([C@H]2CCN(Nc3cccc(-c4cccc(Cl)c4Cl)n3)C2)c1,*C&*O*&*C1=CC=C(*)C=C1*&*O*&*C*^*N1CC[C@H](*)C1^*N&*C1=CC=CC(N*)=N1&&&*C1=CC=CC(*)=C1*&*Cl&&*Cl&&
Cc1ccc(-c2csc3nc(CC(C)C(=O)NO)c(-c4nnn[nH]4)cc23)c(C#N)c1,*C&*C1=CC=C(*)C=C1*&*C1=CSC2=NC(*)=C(*)C=C12&*C1=NN=NN1^*C#N&*C*&&*C(*)*&*C(=O)NO&&*C&&
CC(=O)Nc1cc(C)n(NC(=O)C(c2cccc(-c3ccccc3)c2)c2ccc(O)o2)n1,*C&*C(=O)NC1=NN(*)C(*)=C1&*C&&*NC(*)=O^*C(*)*&*C1=CC=C(*)O1&*O^*C1=CC=CC(*)=C1&&*C1=CC=CC=C1&&&
CC1CCN(C(=O)c2cccc(-c3nc(N)ncc3Nc3cccc(F)c3)c2)CC1,*C&*C1=NC(N)=NC(*)=C1*&*N*&*C1=CC=CC(*)=C1^*C1=CC=CC(*)=C1^*F&*C(=O)N1CCC(*)(*)CC1&&&*C1=CC(*)=CC(*)
CN(C)[C@@H]1C[C@@H](CNC(=N)N)O[C@H]1C1Cc2ccccc2N(c2ccccc2)C1=O,*NC(=N)N&*C*&*C*&*C*&*N(*)*&*C1CC2=CC=CC=C2N(*)C1=O&*C1=CC=CC=C1^*[C@@H]1O[C@H](*)[C@@H](*)[C@H]1*&&
