smiles,0
COc1ccc(OCc2n[nH]c(Nc3ccc(F)cc3)n2)c(C)c1,[C][C][=C][C][Branch1][Ring1][O][C][=C][C][=C][Ring1][Branch2][O][C][C][=N][NH1][C][Branch1][=N][N][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][=N][Ring1][=N]
C=CC=Cc1c(C[C@H](O)CN[C@H](C)C(=O)NSCC(=O)O)c[nH]c1C1=CC=Cc2cnccc2C=C1,[C][Branch1][=Branch2][C][=C][C][=C][N][=C][Ring1][=Branch1][=C][C][=C][Branch2][Ring2][#Branch1][C][NH1][C][=C][Branch1][#Branch2][C][=Ring1][Branch1][C][=C][C][=C][Ring1][=Branch2][C][C@H1][Branch1][C][O][C][N][C@H1][Branch1][C][C][C][Branch1][=Branch2][N][S][C][C][=Branch1][C][=O][O][=O][C][=C][Ring2][Ring2][C]
CC1N=C(C(=NCC(=NN)c2ccccc2)c2ccc(Cl)cc2)C=CN1,[C][C][N][C][=C][C][Branch2][Ring2][Ring1][C][Branch1][N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][=N][C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=N][N][Ring2][Ring1][Ring2][Ring1][O][=N][Ring2][Ring1][=Branch2]
CC1CCC(c2nc(Cl)cc(CC(=O)O)c2N)C1C(=O)O,[C][C][C][C][C][Branch2][Ring1][Branch1][C][=N][C][Branch1][C][Cl][=C][C][Branch1][#Branch1][C][C][=Branch1][C][=O][O][=C][Ring1][O][N][C][Ring1][P][C][=Branch1][C][=O][O]
N#CC1C(C[CH]NC(=O)C2CCNCC2)=CC=C1CNC(=O)c1cnc(N)[nH]1,[C][C][N][C][C][C][Ring1][=Branch1][C][=Branch1][C][=O][N][C@@H1][Branch2][Ring1][#C][C][C][=C][C][=C][Branch2][Ring1][C][C][N][C][Branch1][O][C][NH1][C][=Branch1][Branch1][=N][C][=Ring1][Branch1][N][=O][C][=C][Ring1][#C][C][#N]
CCC[C@H]([CH]CCN1CCC=C(C=Cc2ccccc2)CC1)[C@H](CC)CC=CC(O)=Cc1ccsc1,[C][C][C@@H1][Branch2][Ring2][#Branch1][C@@H1][Branch2][Ring1][=C][C@@H1][Branch2][Ring1][#Branch2][C][C][N][C][C][C][=C][Branch1][Branch1][C][C][Ring1][#Branch1][C][=C][C][=C][Ring1][#Branch1][C][=C][C][=C][Ring1][=Branch1][C][C][Branch1][C][C][C][C][=C][C][=Branch1][N][=C][C][=C][Ring2][Ring1][=C][S][C][=C][Ring1][Branch1][O]
Cc1cccc(OCCC(=O)O)c1CCNC1=CC=CC=C(Cl)N2CCN(CC2)C1,[C][=Branch2][Branch1][C][=C][C][=C][Branch2][Ring2][=Branch2][N][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C][C][Branch2][Ring1][#Branch1][N][C][C][C][=C][Branch1][=Branch2][O][C][C][C][=Branch1][C][=O][O][C][=C][C][=C][Ring1][N][C][=C][Ring2][Ring1][=C][Cl]
C=C(C#N)C=C(N=CC1=CC(=CN2C(=O)C[C@@H]2CO)C=C1)NC=C1C=C(NC(C)C)C2=C1CCNC2=O,[C][=Branch1][C][=O][N][Branch1][=Branch2][C@@H1][Branch1][Ring1][C][O][C][Ring1][Branch2][C][=C][C][=C][Branch2][Ring2][Branch2][C][=N][C][=Branch1][#Branch2][=C][C][Branch1][Ring1][C][#N][=C][Ring1][#Branch1][N][C][=C][C][C][C][N][C][=Branch1][C][=O][C][=Ring1][#Branch1][C][Branch1][#Branch1][N][C][Branch1][C][C][C][=C][Ring1][=C][C][=C][Ring2][Ring1][=N]
C=COC(CCC=CCCCCCCCCCCCCc1ccccc1)=C(C)C=CCCNC#CC(=C)OC,[C][=Branch2][Branch1][Branch1][=C][Branch2][Ring2][N][N][C][C][C][=C][C][Branch1][C][C][=C][Branch2][Ring1][O][C][C][Branch2][Ring1][#Branch1][C][=C][C][C][C][C][C][C][C][C][C][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][=O][C][=C][Ring2][Ring1][=N][C][=C][C][=Branch1][Branch1][=C][Ring2][Ring2][N][O][C]
CN(C)C(=O)CNC(=O)N(C=O)C(=O)c1cccc(-c2ccc(F)cc2)c1,[C][=C][Branch2][Ring2][S][C][=C][C][=Branch2][Ring2][O][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][Branch1][P][C][Branch1][N][N][C][C][=Branch1][C][=O][N][Branch1][C][C][C][=O][C][=Branch1][C][=O][N][Ring1][P][C][C][=C][C][=C][C][=C][Ring1][=Branch1][F][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1]
