loss,running_loss,mode,lr
1.034153699874878,1.8367283827198961,Train,0.001
1.115938663482666,1.0381203325349126,Eval,
0.6468837261199951,0.7655979465151995,Train,0.001
0.7870303392410278,0.705106321771564,Eval,
0.5464698672294617,0.5827661325341427,Train,0.001
0.7226893305778503,0.6384199656588363,Eval,
0.4557366371154785,0.5383354248703787,Train,0.001
0.700730562210083,0.6139112018569883,Eval,
0.40002137422561646,0.520240508926122,Train,0.001
0.6930993795394897,0.6015928280601432,Eval,
0.5349078178405762,0.510485081228667,Train,0.001
0.6793311834335327,0.5896633547961372,Eval,
0.5662744641304016,0.5031319073292523,Train,0.001
0.6775596141815186,0.5843223731662016,Eval,
0.5073416233062744,0.49774615530769134,Train,0.001
0.6729233860969543,0.5801260702326075,Eval,
0.5354611277580261,0.49340097846659897,Train,0.001
0.6686069369316101,0.5735932950261411,Eval,
0.600850522518158,0.49108081562396066,Train,0.001
0.6655251383781433,0.5712367772830682,Eval,
0.517486572265625,0.48784183461520597,Train,0.001
0.6628636121749878,0.5698275639339296,Eval,
0.5515990853309631,0.4854362428301154,Train,0.001
0.6549667119979858,0.564214526198537,Eval,
