smiles,0
Cc1cc(OCc2ccc(F)c(F)c2)ncc1C(=O)N(Cc1ccc2c(c1)OCO2)C(N)=O,[C][C][=C][C][Branch1][P][O][C][C][=C][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Ring1][Branch2][=N][C][=C][Ring1][S][C][=Branch1][C][=O][N][Branch1][P][C][C][=C][C][=C][C][Branch1][=Branch1][O][C][O][Ring1][Branch1][=C][Ring1][=Branch2][C][=Branch1][C][=O][N][Ring1][S]
CCc1nc(Cc2ccsc2)nc(OCc2ccccc2)c1[C@@H]1C[C@@H]2O[C@@H](C=NC3CCCC3)CN21,[C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][=C][Branch2][Ring1][#Branch1][C][=Branch1][S][=N][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][C][C][=C][S][C][=Ring1][Branch1][C][=Ring1][=C][C][C@H1][N][C][C@H1][Branch1][#Branch2][C][=N][C][C][C][C][C][Ring1][Branch1][O][C@H1][Ring1][N][C][Ring1][=C]
O=C(CC1=C(c2ccc([N+](=O)[O-])cc2Cl)C2C=C1C=C1CC=CC1S2)Nc1cc(F)c(F)cn1,[C][C][=C][C][=C][C][Branch2][Ring2][N][C][Branch1][P][C][=C][C][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][C][=C][Ring1][=Branch2][Cl][=C][Ring1][#C][C][C][Branch1][S][N][C][=N][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Ring1][Branch2][=O][=C][S][C][=Ring2][Ring1][#C][C][=C][Ring2][Ring2][Ring1]
CCNC(=O)Oc1cccc2c1-c1ccccc1C(C(=O)NC1CCC(CO)CC1)=CN2,[C][C][N][C][=Branch1][C][=O][O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][N][C][=C][Branch2][Ring1][C][C][=Branch1][C][=O][N][C][C][C][C][Branch1][Ring1][C][O][C][C][Ring1][Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring2][Ring1][Branch1]
O=CCCC1=NC(=O)C(C=CC(Nc2ccc(C(F)(F)F)cn2)=C(C=CCl)NC(=O)c2ccccn2)=C1,[C][C][=Branch2][Branch1][#Branch2][=N][C][Branch2][Branch1][Ring1][C][=Ring1][Branch1][C][=C][C][Branch2][Ring1][Ring2][N][C][=C][C][=C][Branch1][Branch1][C][=N][Ring1][=Branch1][C][Branch1][C][F][Branch1][C][F][F][=C][Branch1][#Branch1][C][=C][Ring2][Ring1][C][Cl][N][C][=Branch1][C][=O][C][=N][C][=C][C][=C][Ring1][=Branch1][=O][N][C][C][C][Ring1][Ring2][=O]
Cc1cc(C(=O)Nc2ccccc2N)ccc1Cn1cc(-c2ccnn2C)nc1C(F)(F)F,[C][N][N][=C][C][=C][Ring1][Branch1][C][=C][N][Branch2][Ring1][O][C][C][=C][C][=C][Branch1][#C][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=C][Ring1][S][C][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=N][Ring2][Ring1][O]
COc1ccc(Cc2nc3c(=O)c4c(n5c3n2N=CC5C)C(OC)C=C4)cc1,[C][=Branch2][Branch1][C][=C][C][=C][Branch2][Ring2][=Branch1][N][C][N][Branch2][Ring1][=Branch2][C][=Branch1][=Branch2][=N][C][=Ring1][Branch1][C][Ring1][=Branch2][=O][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][N][=C][C][=Ring2][Ring1][Ring2][C][=C][Ring2][Ring1][#Branch2][O][C]
O=C(Nc1ccccc1)C(Cc1ccccc1)c1ccccn1,[O][=C][Branch1][#Branch2][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=N][Ring1][=Branch1]
O=C1C(CCN2CCN(c3cccc(F)c3F)CC2)CCN1CCCN1CCc2cccnc21,[O][=C][N][Branch1][P][C][C][C][N][C][C][C][=C][C][=C][N][=C][Ring1][=Branch1][Ring1][=Branch2][C][C][C][Ring1][P][C][C][N][C][C][N][Branch1][=N][C][=C][C][=C][C][Branch1][C][F][=C][Ring1][#Branch1][F][C][C][Ring1][=C]
Cc1ccc(C(=O)C2=NOc3ccc(OCCC(=O)O)c2c3)cc1,[N][=C][Branch2][Ring1][=Branch1][C][=C][C][=Branch1][=C][=C][C][=C][Ring1][=Branch1][O][C][C][C][Branch1][C][O][=O][O][Ring1][S][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C]
