smiles,0
CCOc1cc(C[C@@H]2NN=C2C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CO)ccc1C(=O)O,[C@H]1(NN=C1C(N[C@@H](Cc1ccccc1)[C@@H](CO)O)=O)Cc1ccc(C(O)=O)c(c1)OCC
COc1ccnc2ncc(N3CC(=O)NC(CCC(=O)Nc4ccccc4)C3)cc12,C1C(CCC(Nc2ccccc2)=O)NC(=O)CN1c1cc2c(ccnc2nc1)OC
COC(=O)C1CC(C2=CCCCC2)Nc2c(OC)cccc2O1,c12NC(CC(C(=O)OC)Oc1cccc2OC)C1=CCCCC1
CC(C)CC(NC(=NC#N)Nc1ccccc1)c1ccccc1,c1(ccccc1)C(CC(C)C)NC(=NC#N)Nc1ccccc1
Cc1cc(N2C[C@H](C)N[C@@H](C)C2)nnc1-c1ccncc1,[C@H]1(N[C@@H](C)CN(C1)c1cc(C)c(-c2ccncc2)nn1)C
CN1CCN(c2nc(Nc3ccc(N4CCCc5ncccc54)cc3)nc([N+](=O)[O-])n2)CC1,c1c(ccc(c1)Nc1nc(nc(N2CCN(CC2)C)n1)[N+](=O)[O-])N1c2c(CCC1)nccc2
N#Cc1ccc(C(=O)N2CCC(Oc3ccc(C(F)(F)F)cc3)CC2)c(C(F)(F)F)c1F,FC(c1ccc(OC2CCN(CC2)C(c2ccc(c(c2C(F)(F)F)F)C#N)=O)cc1)(F)F
O=C(O)C(=O)[C@H](CCCc1ccccc1)NC(=O)[C@@H](S)Cc1ccccc1,O=C(O)C(=O)[C@H](CCCc1ccccc1)NC(=O)[C@@H](S)Cc1ccccc1
CN1CCN(c2nc(C(=CCN3CCN(c4ncccn4)CC3)c3ccco3)cs2)CC1,N1(CCN(CC1)CC=C(c1occc1)c1csc(N2CCN(C)CC2)n1)c1ncccn1
CCc1ncnc(-c2ccc(C(=O)N3CCOCC3)c(OC)c2)c1C#Cc1ccc(N)nc1,CCc1ncnc(-c2ccc(C(=O)N3CCOCC3)c(OC)c2)c1C#Cc1ccc(N)nc1
COc1ccc(S(=O)(=O)N(Cc2cccc(-c3ccccc3)c2)[C@H](C(=O)O)C2CCCCN2)cc1,COc1ccc(S(=O)(=O)N(Cc2cccc(-c3ccccc3)c2)[C@H](C(=O)O)C2CCCCN2)cc1
COC(=O)c1cn(CC[C@H](NC(C)=O)c2ccccc2)c2ccc(OC(F)(F)F)cc12,c1cccc(c1)[C@@H](NC(=O)C)CCn1cc(C(OC)=O)c2cc(OC(F)(F)F)ccc12
COc1cccc(N[C@@]23CN([C@@H]4CCC(C(=O)O)C4)C2=C(C)C3C)c1,C1C[C@H](CC1C(=O)O)N1C[C@@]2(Nc3cccc(OC)c3)C(C(=C12)C)C
Clc1ccc(CNc2nc(-c3ccnc(N4CCOCC4)n3)cs2)c(N2CCC2)n1,c1cc(CNc2nc(-c3ccnc(N4CCOCC4)n3)cs2)c(nc1Cl)N1CCC1
CCCC[C@H]1CN(CC(C)(C)C)CC[C@@H]1c1ccc(N)cc1,c1cc([C@@H]2[C@H](CN(CC2)CC(C)(C)C)CCCC)ccc1N
Cc1ccc(CO[C@@H]2O[C@@H](CS(=O)(=O)N3CCC(C(=O)O)CC3)[C@H](O)[C@@H](O)[C@@H]2O)cc1,O=C(C1CCN(CC1)S(=O)(=O)C[C@@H]1O[C@H]([C@H]([C@H](O)[C@H]1O)O)OCc1ccc(C)cc1)O
Fc1cc(-c2ccc3nsnc3c2)sc1C1CC1,c1c(ccc2c1nsn2)-c1cc(F)c(C2CC2)s1
COc1ccc(C(=O)N(C[C@@H]2CCCN2CCCc2ccccc2)C2CCCC2)cc1,COc1ccc(C(=O)N(C2CCCC2)C[C@@H]2CCCN2CCCc2ccccc2)cc1
,c1(c(cc(O)cc1)O)C[C@@]([C@@H]1CCCCN1C([C@@H](Cc1ccccc1)c1ccccc1)=O)(=O)O
CC1=CC(=O)C(c2ccc(Br)cc2)=C(c2ccccc2)C1(C)C,c1ccc(cc1)C1=C(C(C=C(C)C1(C)C)=O)c1ccc(cc1)Br
CC(=O)N[C@H](C)C(=O)NCC1CCC(CCCc2ccc(F)cc2F)CC1,c1cc(F)cc(F)c1CCCC1CCC(CC1)CNC([C@H](NC(C)=O)C)=O
COC(=O)c1ccc(Cc2c[nH]cn2)cc1,n1c[nH]cc1Cc1ccc(C(OC)=O)cc1
Cc1nc(-c2ccc(F)cc2F)oc1C(C#N)=C(N)SCc1c(Cl)cccc1Cl,Cc1nc(-c2ccc(F)cc2F)oc1C(C#N)=C(N)SCc1c(cccc1Cl)Cl
CCCN(C)c1ccc(S(=O)(=O)N2CCC(Cc3ccc(C(=O)c4cnn(C)c4)cc3)CC2)cc1,N(CCC)(c1ccc(cc1)S(=O)(N1CCC(CC1)Cc1ccc(cc1)C(c1cnn(c1)C)=O)=O)C
Cc1cscc1-c1cc(Cc2ccc(Cl)c(Cl)c2)no1,c1(C)cscc1-c1cc(no1)Cc1cc(Cl)c(cc1)Cl
COc1nccc2ccc(COc3ccc(OCc4nc5c(c(Cl)c4Cl)CCC5)cc3)nc12,c1(OCc2nc3c(c(c2Cl)Cl)CCC3)ccc(OCc2ccc3ccnc(c3n2)OC)cc1
COC1CC(c2nc3c(s2)-c2nc(NC(C)=O)ccc2CC3)C1,COC1C[C@@H](c2nc3c(s2)-c2nc(NC(C)=O)ccc2CC3)C1
CCCC(CCCc1ccccc1)C(=O)O,C(CCC)(CCCc1ccccc1)C(=O)O
Cn1nc(C(N)=O)c(-c2ccc(Oc3ccc(F)cc3)cc2)c1-c1cccc2ccccc12,NC(=O)c1nn(C)c(-c2cccc3ccccc23)c1-c1ccc(Oc2ccc(F)cc2)cc1
CC(=NC1CN(Cc2ccccc2Cl)C1=O)NCCC(C)(C)C,N1(Cc2ccccc2Cl)CC(N=C(NCCC(C)(C)C)C)C1=O
CC[n+]1c(C)cc(-c2nc(O)c3c(n2)CCCC3)cc1O,Cc1[n+](CC)c(O)cc(c1)-c1nc(O)c2CCCCc2n1
,c1(c(CN2CCN(CC=2)c2ccccc2)cccc1OC)C
COc1ccc(NC(=O)C2CCCN(CCC(c3ccccc3)c3ccccc3)C2)cc1,COc1ccc(NC(=O)C2CCCN(CCC(c3ccccc3)c3ccccc3)C2)cc1
CC(F)(CN1CCCC1)C(=O)N1Cc2n[nH]c(CCc3ccccc3)c2C1NC(=O)Nc1cc2cnccc2nn1,C(C(=O)N1C(c2c([nH]nc2C1)CCc1ccccc1)NC(Nc1nnc2c(cncc2)c1)=O)(F)(C)CN1CCCC1
,CC1(C(C[C@H]2CC[C@@H]3[C@](C)(C1)c1c(C=2)cccc1N(C(Nc1ccc(cc1)-c1c(cccc1)C)=O)O)CC3)O
Cc1oc(-c2ccc(F)cc2Cl)nc1[C@@H]1CCCCN1CC(=O)N1CCCCC1,c1(F)cc(Cl)c(-c2nc(c(C)o2)[C@@H]2CCCCN2CC(N2CCCCC2)=O)cc1
CCN(O)C(=O)C(C)C[n+]1ccc(C#Cc2cc(F)ccc2F)cc1,C(#Cc1cc(F)ccc1F)c1cc[n+](cc1)CC(C(N(CC)O)=O)C
FC(F)(F)c1ccc(OCCCN2CCN(c3ccnc4ccccc34)CC2)cc1,FC(c1ccc(OCCCN2CCN(c3ccnc4c3cccc4)CC2)cc1)(F)F
CCCCCCCCN=C1CCN(C(=O)COc2cc3c(CCN(C)C(=O)c4ccccc4)cccc3o2)CC1,c1c(oc2c1c(CCN(C(=O)c1ccccc1)C)ccc2)OCC(=O)N1CCC(CC1)=NCCCCCCCC
Cc1nc2c(C)nc(N3CCOCC3)nc2o1,Cc1nc(N2CCOCC2)nc2oc(C)nc12
Cc1ccc2c(c1)nc(NC(=O)C=Cc1ccccc1)n2Cc1cccc(C)n1,Cc1ccc2c(c1)nc(NC(=O)C=Cc1ccccc1)n2Cc1cccc(C)n1
CCCn1c(-c2cnn(CC(=O)O)c2)nc2c1c(=O)[nH]c(=O)n2CCC,c1nn(cc1-c1nc2n(c(=O)[nH]c(c2n1CCC)=O)CCC)CC(O)=O
Fc1ccccc1C1(C(F)(F)F)ON=C(c2ccccc2)c2ncccc21,FC(F)(C1(c2cccnc2C(=NO1)c1ccccc1)-c1ccccc1F)F
CCn1c(N2CCC(C(=O)N3CCC3)CC2)nc2ccccc21,CCn1c(N2CCC(C(=O)N3CCC3)CC2)nc2ccccc21
C=C(NC[C@H](CC)C(=O)O)[C@H](C)NC,CN[C@@H](C)C(NC[C@@H](C(=O)O)CC)=C
O=C(O)[C@@H](Cc1c[nH]c2ccccc12)NS(=O)(=O)c1ccc(S(=O)(=O)c2ccc3ccccc3c2)cc1,O=S(=O)(c1ccc2c(c1)cccc2)c1ccc(cc1)S(N[C@@H](C(O)=O)Cc1c2ccccc2[nH]c1)(=O)=O
