loss,running_loss,mode,lr
0.7400047183036804,1.5015886431613688,Train,0.001
0.8662053942680359,0.7557021284824511,Eval,
0.4431697130203247,0.5259095968310998,Train,0.001
0.7065655589103699,0.5134887187151908,Eval,
0.3800756335258484,0.37920336616417183,Train,0.001
0.6552400588989258,0.4640935507298417,Eval,
0.33169645071029663,0.34404559036425064,Train,0.001
0.6375764012336731,0.4444858658854588,Eval,
0.37451812624931335,0.3286074061939293,Train,0.001
0.6219488978385925,0.4340875348488191,Eval,
0.3472415506839752,0.3217119895559993,Train,0.001
0.6181734204292297,0.4277284280282565,Eval,
0.2789495885372162,0.31621113239703397,Train,0.001
0.6079883575439453,0.4233668119222318,Eval,
0.3057423532009125,0.31278351682004235,Train,0.001
0.6046054363250732,0.4204420598614644,Eval,
0.38203975558280945,0.3098080226075177,Train,0.001
0.6022362112998962,0.4169465350462496,Eval,
0.35651636123657227,0.30799198277573214,Train,0.001
0.5938671231269836,0.4158558682424132,Eval,
0.2789921462535858,0.3057661374816667,Train,0.001
0.5897226929664612,0.4131513792310186,Eval,
0.2760186791419983,0.30400762167506656,Train,0.001
0.5917887687683105,0.4122265774214423,Eval,
