smiles,0
CCOc1ccc(OCc2nc3cccc(OC(C)C)c3o2)cc1,c12c(cccc2OC(C)C)nc(o1)COc1ccc(cc1)OCC
CC(C)(C)OC(=O)N1CCC(c2ccc(OC(F)(F)F)cc2)(C2COC(N)=N2)CC1,NC1=NC(C2(CCN(C(OC(C)(C)C)=O)CC2)c2ccc(OC(F)(F)F)cc2)CO1
O=C(NCCCCN1CCCc2ccccc21)c1c[nH]c2cc([N+](=O)[O-])ccc12,c12c([nH]cc1C(NCCCCN1c3ccccc3CCC1)=O)cc(cc2)[N+]([O-])=O
Nc1nccc2c1ccc1c2cnn1Cc1c(F)cccc1F,c1(N)nccc2c3cnn(Cc4c(F)cccc4F)c3ccc21
O=C(N[C@@H]1C(=O)NC(=O)C1CC1Cc2noc(Cc3ccccc3)c2C1)c1cc2cc(OC(F)(F)F)ccc2s1,c12cc(C(N[C@H]3C(C(=O)NC3=O)CC3Cc4c(onc4C3)Cc3ccccc3)=O)sc2ccc(c1)OC(F)(F)F
O=C(O)c1cccc(C(F)(F)F)c1C(=O)NCC1(c2ccccc2)CCCCC1,c1ccccc1C1(CNC(=O)c2c(cccc2C(O)=O)C(F)(F)F)CCCCC1
COc1ccc(S(=O)(=O)Oc2ccc(C(=O)NCCCN3CCOCC3)s2)cc1,C1COCCN1CCCNC(c1sc(OS(c2ccc(OC)cc2)(=O)=O)cc1)=O
COC1=CC=C2C(=C(O)N(C)c3ccc(O)cc32)C(=Cc2ccncc2)C1,O(C)c1ccc2C(=C(N(C)c3ccc(cc32)O)O)C(=Cc2ccncc2)C1
Cc1cnc2c(c1)Cn1nc(NC(=O)c3cn(Cc4ccccn4)c(=O)[nH]3)nc1C(=O)N2,C1n2c(C(Nc3c1cc(C)cn3)=O)nc(n2)NC(=O)c1cn(Cc2ncccc2)c(=O)[nH]1
CCCCCCCNCc1cccc(NC(=O)C[C@H](NS(=O)(=O)c2ccc(-c3ccccc3F)cc2)C(=O)c2nccs2)c1,CCCCCCCNCc1cccc(NC(=O)C[C@H](NS(=O)(=O)c2ccc(-c3ccccc3F)cc2)C(=O)c2sccn2)c1
Cc1cc(-c2ccc(OC3CCOCC3)cn2)nc(N(CCN2CCCC2)C(N)=S)n1,C1CCN(C1)CCN(C(N)=S)c1nc(C)cc(-c2ncc(cc2)OC2CCOCC2)n1
O=C(Cc1cc2c(cc1F)OCCO2)N1C[C@@H]2CC[C@H]2C(=O)N(Cc2nc(Nc3nc(C4CC4)cc(=O)[nH]3)ccc2F)C1,C1(CC1)c1cc([nH]c(n1)Nc1ccc(c(n1)CN1C(=O)[C@H]2[C@H](CN(C1)C(=O)Cc1cc3OCCOc3cc1F)CC2)F)=O
CCCCc1nnc2c(c1N)-c1ccccc1-2,CCCCc1nnc2c(c1N)-c1ccccc1-2
Cn1ncc2cc(N3CCO[C@H]([C@H](O)[C@@H](N)c4ccc(F)nc4)C3)cnc21,c1(ncc(cc1)[C@@H]([C@@H](O)[C@H]1OCCN(c2cc3cnn(c3nc2)C)C1)N)F
CNC(=O)c1c(C)nc2ccccc2c1NC(=O)[C@@H](N)Cc1ccc(F)cc1,CNC(=O)c1c(NC(=O)[C@@H](N)Cc2ccc(F)cc2)c2ccccc2nc1C
Cc1nc(-c2cc(Cl)ccc2OCc2ccccc2)[nH]c1-n1c(=O)c(=O)[nH]c2cccnc21,c1(-c2[nH]c(c(C)n2)N2c3c(cccn3)NC(C2=O)=O)cc(ccc1OCc1ccccc1)Cl
CCOc1ccc([C@@H](CCNCc2ccc(C(=N)N)cc2)NS(=O)(=O)c2ccc3c(c2)OCO3)cc1,c1cc2OCOc2cc1S(=O)(N[C@@H](c1ccc(OCC)cc1)CCNCc1ccc(C(N)=N)cc1)=O
CC[C@@H]1C[C@H](CNC[C@@H]2Cc3ccc(O)cc3C2)CCN1c1nc(C)cc(C)n1,Cc1nc(N2CC[C@@H](CNC[C@H]3Cc4c(ccc(c4)O)C3)C[C@H]2CC)nc(C)c1
CCOC(=O)C(C)(C)N1CC[C@H](C2(c3cccnc3)CCC2)N(C(=O)Nc2cccc3nc(N4CCOCC4)ncc23)CC1,CCOC(=O)C(C)(C)N1CCN(C(=O)Nc2c3c(ccc2)nc(nc3)N2CCOCC2)[C@@H](C2(CCC2)c2cccnc2)CC1
COC(=O)[C@H]1C(C)=C(c2cccc(C)n2)[C@H]2CC[C@H]1C2,CC1=C(c2cccc(C)n2)[C@H]2CC[C@@H](C2)[C@H]1C(=O)OC
