smiles,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1S(=O)(=O)c1ccc(Oc2ccccc2)cc1,<bos>,c1ccccc1,<0>,O,<3>,c1ccccc1,<0>,O=[SH2]=O,<3>,C1CCNC1,<4S>,C=O,N,C|S,(,C=O,O,C,),C,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,,
O=C(O)CC1c2cc(F)ccc2-c2ccccc2N1S(=O)(=O)c1ccc(F)cc1,<bos>,F,<3>,c1ccccc1,<0>,O=[SH2]=O,<7>,c1ccc2c(c1)CNc1ccccc1-2,<6>,<0>,(,F,),C,C=O,O,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)S(=O)(=O)c1[nH]c2ccc(Cl)cc2c1-c1cnc([N+](=O)[O-])c(F)c1,<bos>,F,<5>,c1ccncc1,<1>,<4>,(,O=[NH+][O-],),<6>,c1ccc2[nH]ccc2c1,<5>,<0>,(,Cl,),O=[SH2]=O,C,(,C,),C,<eos>,,,,,,,,,,,,,,,,,,
CC[C@H](C(=O)N(C[C@@H](CC(C)C)c1ccccc1)C1CCCCC1)c1ccccc1,<bos>,c1ccccc1,<0>,C|S,(,C,C,),C=O,N,(,<0>,C1CCCCC1,),C,C|S,(,<0>,c1ccccc1,),C,C,(,C,),C,<eos>,,,,,,,,,,,,,,
O=C(O)CC(NC(=O)c1ccc2[nH]c(-c3ccc(CCCl)cc3)cc2c1)c1cccc(O)c1,<bos>,Cl,C,C,<3>,c1ccccc1,<0>,<5>,c1ccc2[nH]ccc2c1,<0>,C=O,N,C,(,<0>,c1ccccc1,<4>,O,),C,C=O,O,<eos>,,,,,,,,,,,,,,,,,,
Cc1cc(C)n2nc(-c3ccc(OCCN(C)C)cc3)c([C@H](C)Cc3ccncc3)c2n1,<bos>,C,N,(,C,),C,C,O,<3>,c1ccccc1,<0>,<5>,c1cnc2ccnn2c1,<4>,<8>,(,C,),<1>,(,C,),C|R,(,C,),C,<0>,c1ccncc1,<eos>,,,,,,,,,,
CNC[C@@H](NC(=O)C1Cn2cc(CN)nc2-c2c(ccc(F)c2Cc2c(F)cccc2F)O1)c1ccccc1,<bos>,C,N,C,C|S,(,<0>,c1ccccc1,),N,C=O,<7>,c1ccc2c(c1)OCCn1ccnc1-2,<2>,<11>,(,C,N,),<1>,(,F,),C,<5>,c1ccccc1,<4>,<0>,(,F,),F,<eos>,,,,,,,,
CC(=O)N1CCC(Oc2ccc3ncc(Oc4ccc(C(=O)NC(C)C)cn4)cc3c2)CC1,<bos>,C,C,(,N,C=O,<1>,c1ccncc1,<4>,O,<6>,c1ccc2ncccc2c1,<0>,O,<0>,C1CCNCC1,<3>,C=O,C,),C,<eos>,,,,,,,,,,,,,,,,,,,
Cc1cc(C(=O)N2CCN(C3(C)COC3)CC2)ccc1Oc1cnc(-c2cc(C(F)(F)F)nn2C)nc1,<bos>,C,<3>,c1cn[nH]c1,<4>,<1>,(,C,(,F,),(,F,),F,),<3>,c1cncnc1,<0>,O,<3>,c1ccccc1,<0>,<4>,(,C,),C=O,<2>,C1CNCCN1,<5>,<0>,C1COC1,<0>,C,<eos>,,,,,
COc1cc(SCC(C)C(=O)Nc2ccc(C(C)C)cc2)ccc1NC(=O)CC#N,<bos>,C,O,<4>,c1ccccc1,<0>,<3>,(,N,C=O,C,C#N,),S,C,C,(,C,),C=O,N,<0>,c1ccccc1,<3>,C,(,C,),C,<eos>,,,,,,,,,,,
