smiles,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
CNC[C@H](C)[C@@H](c1ccccc1)N1CCCCC1,<bos>,c1ccccc1,<0>,C|S,(,<3>,C1CCNCC1,),C|S,(,C,),C,N,C,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,
CCOc1ccc(Nc2cc(Nc3nc(Nc4cc[nH]n4)nc(N(C)C)n3)cc(F)n2)c(C(N)=O)c1,<bos>,C,C,O,<0>,c1ccccc1,<3>,<4>,(,C=O,N,),N,<4>,c1ccncc1,<0>,<2>,(,F,),N,<0>,c1ncncn1,<4>,<2>,(,N,(,C,),C,),N,<1>,c1cn[nH]c1,<eos>,,,,,
,<bos>,C,<4>,O=C1NCCCn2c1cc1cccnc12,<12>,<9>,(,C,),C=O,N,C,<4>,c1ccccc1,<0>,<3>,(,Cl,),<5>,C1CNCCN1,<2>,C,C,<eos>,,,,,,,,,,,,,,,,
,<bos>,c1ccccc1,<0>,C,O,C,<13R>,c1cc2c3c(c1)OC1C4CCC5(CC4)C(C2)NCCC315|7R11S14R19S,<13R>,<5>,(,O,),<11S>,(,O,),C,<0>,C1CC1,<eos>,,,,,,,,,,,,,,,,,,,,
,<bos>,F,<3>,c1ccccc1,<0>,<2>,O=c1[nH][nH]c2c1C1CCC2C1|6S,<17R>,<3S>,(,C,),<10>,(,C,),<9R>,(,C,),S,C,C,C,O,<eos>,,,,,,,,,,,,,,,
,<bos>,C,<0>,c1cocn1,<1>,<3>,(,N,<4>,c1ccncc1,<2>,C,),C=O,N,<7>,O=C1C2CCCC(N2)C2c3ccccc3CCN12,<7>,<10S>,(,O,C,),<11S>,(,O,),O,C,<eos>,,,,,,,,,,,
C[C@H](C#N)NC(=O)c1ccc(-c2ccc(-c3ccc(F)c(O)c3)cc2F)o1,<bos>,O,<4>,c1ccccc1,<0>,<3>,(,F,),<0>,c1ccccc1,<3>,<4>,(,F,),<2>,c1ccoc1,<4>,C=O,N,C|R,(,C#N,),C,<eos>,,,,,,,,,,,,,,
,<bos>,c1ccccc1,<0>,N,C=O,N,<2>,c1ccsc1,<1>,<4>,(,C,(,C=O,O,),C,),<0>,C=C,<1>,<5S>,O=C1OCC2Cc3ccccc3CC12|4R13S,<9S>,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,
CCc1cc(OC(C)C)c2ccn(OC)c(=O)c2c1,<bos>,C,C,(,C,),O,<6>,O=c1[nH]ccc2ccccc12,<8>,<2>,(,O,C,),C,C,<eos>,,,,,,,,,,,,,,,,,,,,,,,
Cc1ccccc1CCS(=O)(=O)NC[C@@H]1CNCC[C@H]1c1noc(CCc2ccc(F)cc2)n1,<bos>,C,<0>,c1ccccc1,<5>,C,C,O=[SH2]=O,N,C,<5S>,C1CCNCC1,<0R>,<0>,c1ncon1,<2>,C,C,<0>,c1ccccc1,<3>,F,<eos>,,,,,,,,,,,,,,,,,,
CCNC(=O)Nc1cc2c(c(-c3ccccc3F)c1)NC(=O)C(Cc1ccc(N3CCN(C)CC3)cc1)C(=O)N2,<bos>,C,C,N,C=O,N,<9>,O=C1CC(=O)Nc2ccccc2N1,<2>,<7>,(,<0>,c1ccccc1,<5>,F,),C,<3>,c1ccccc1,<0>,<5>,C1CNCCN1,<2>,C,<eos>,,,,,,,,,,,,,,,,
CCn1c(-c2cccc(-c3ccsc3)c2)cc2c3c(ncn3C)c(NCCCO)nc21,<bos>,O,C,C,C,N,<5>,c1cc2c(ncc3nc[nH]c32)[nH]1,<0>,<11>,(,C,C,),<9>,(,C,),<0>,c1ccccc1,<4>,<0>,c1ccsc1,<eos>,,,,,,,,,,,,,,,,,
COc1cccn2c(C(=O)CN3CCN(c4ccccc4C)CC3)c(-c3ccc(Cl)cc3)nc12,<bos>,Cl,<3>,c1ccccc1,<0>,<5>,c1ccn2ccnc2c1,<4>,<8>,(,O,C,),C=O,C,<2>,C1CNCCN1,<5>,<0>,c1ccccc1,<5>,C,<eos>,,,,,,,,,,,,,,,,,,
Cc1[nH]c(C=C2C(=O)Nc3ccc(Cl)cc32)c(C#N)c1CC(=O)NC(C)C,<bos>,C,C,(,C,),N,C=O,C,<0>,c1cc[nH]c1,<2>,<1>,(,C#N,),<4>,(,C,),<0>,C=C1C(=O)Nc2ccccc21,<8>,Cl,<eos>,,,,,,,,,,,,,,,,
Cc1cc(N2CCN(C(=O)Oc3ccc4nc(C)n(C)c4c3)CC2)c2cnc(C)nc2c1,<bos>,C,<5>,c1ccc2[nH]cnc2c1,<1>,<4>,(,C,),O,C=O,<5>,C1CNCCN1,<2>,<9>,c1ccc2ncncc2c1,<1>,<5>,(,C,),C,<eos>,,,,,,,,,,,,,,,,,,
Cc1nc2c(ncn2CN2CCN(c3ccccc3)CC2)c2nc(-c3ccc(F)cc3)nn12,<bos>,c1ccccc1,<0>,<5>,C1CNCCN1,<2>,C,<6>,c1nc2c3nc[nH]c3ncn2n1,<9>,<0>,(,<3>,c1ccccc1,<0>,F,),C,<eos>,,,,,,,,,,,,,,,,,,,,,,
CCN1CCOC(S(=O)(=O)c2ccc(-n3c(Cc4ccnc5ccccc45)nc4ccccc4c3=O)cc2)C1,<bos>,C,C,<5>,C1COCCN1,<1>,O=[SH2]=O,<0>,c1ccccc1,<3>,<2>,O=c1[nH]cnc2ccccc12,<3>,C,<7>,c1ccc2ncccc2c1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
CCOC(=O)NC1CCN(c2nc(NC(C)=O)cc(-c3cccc(OCC)c3)n2)CC1,<bos>,C,C=O,N,<1>,c1cncnc1,<5>,<3>,(,<3>,C1CCNCC1,<0>,N,C=O,O,C,C,),<4>,c1ccccc1,<0>,O,C,C,<eos>,,,,,,,,,,,,,,,,
,<bos>,C,C,<10S>,O=c1ccc2cc3c(cc2o1)NCCC3,<8>,<4S>,(,O,C,),C,C,C,C,C,C,C,<eos>,,,,,,,,,,,,,,,,,,,,,,
CCC1CNC2(CCN(C(=O)c3cncc4c3cnc3cc[nH]c(=O)c34)C2C)C1,<bos>,O=c1[nH]ccc2ncc3ccncc3c12,<9>,C=O,<7>,C1CNC2(C1)CCNC2,C,C,C,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,<bos>,C,C,C,<3R>,O=C1CCCCOC(=O)C2CCCCN2C(=O)C(=O)CCOC(=O)CCCC1|9S,<16>,<8>,(,C,),<11>,(,C,),<1>,(,C,),C,C,C,<eos>,,,,,,,,,,,,,,,,,,
,<bos>,C1CC1,<0>,<5>,C1CNCCN1,<2>,<0>,O=C1c2ccccc2Cc2[nH]c3ccccc3c21,<8>,<9>,(,C,),N,C=O,N,<5>,c1ccccc1,<0>,<4>,(,Cl,),C,<eos>,,,,,,,,,,,,,,,,
Nc1ccc(F)cc1-c1c(-c2ccc3ncnn3c2)nc(N2CCN(Cc3ccccn3)CC2)n1CCCOc1cccnn1,<bos>,c1ccnnc1,<5>,O,C,C,C,<2>,c1c[nH]cn1,<1>,<3>,(,<2>,C1CNCCN1,<5>,C,<2>,c1ccncc1,),<0>,(,<1>,c1ccn2ncnc2c1,),<4>,c1ccccc1,<0>,<3>,(,N,),F,<eos>,,,,,,,,
O=C(NCc1cccc(Cl)c1Cl)[C@H]1CC(=O)N(Cc2ccncc2)C1,<bos>,c1ccncc1,<0>,C,<5>,O=C1CCCN1,<3S>,C=O,N,C,<0>,c1ccccc1,<5>,<4>,(,Cl,),Cl,<eos>,,,,,,,,,,,,,,,,,,,,,,
CCC(C)Nc1cc(-c2cc(COC)oc2C)nc2c(-c3ccc(Cl)cc3)cnn12,<bos>,C,C,C,(,C,),N,<8>,c1cnc2ccnn2c1,<1>,<4>,(,<0>,c1ccccc1,<3>,Cl,),<1>,c1ccoc1,<4>,<2>,(,C,),C,O,C,<eos>,,,,,,,,,,,,
