smiles,0
FC12C=C(C=CN=C(c3ccco3)N=CC(c3ccccn3)=CC1)CN=CC2,[C][C][=C][C][Branch2][Ring1][P][C][C][=C][Branch1][=Branch2][C][=C][C][=C][C][=N][Ring1][=Branch1][C][=N][C][Branch1][Branch2][C][=C][C][=C][O][Ring1][Branch1][=N][C][Ring1][P][=C][Ring2][Ring1][#Branch1][Branch1][C][F][C][C][=N][Ring2][Ring1][=N]
CC1NC=C2C=CN=C(N3CCCC3)N(NC1CCC#N)c1ccc2cc1C(F)(F)F,[N][#C][C][C][C][C][Branch2][Ring2][=C][N][C][=C][Branch2][Ring1][Ring1][C][=C][C][=C][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=C][Ring1][#Branch2][C][=C][N][=C][Branch1][Branch2][N][C][C][C][C][Ring1][Branch1][=N][Ring1][P][NH1][Ring2][Ring1][#Branch2][C][C][Ring2][Ring1][#C]
CC=CC=C(C=O)OC1CC2C3=C(CC4CC4C(=O)N31)N(C)CC2N,[C][C][=C][C][=C][Branch2][Ring2][Ring2][O][C][C][C][C][=C][Branch1][#Branch2][N][Branch1][C][C][C][C][Ring1][#Branch1][N][Branch1][#Branch1][C][C][C][C][Ring1][Ring1][C][=Branch1][C][=O][N][Ring1][P][Ring1][=C][C][=Branch1][C][=O][N][=C][Ring2][Ring1][=Branch2][Cl]
CCCCCNC(=O)NC1CCN(c2cc(F)cc(C#N)c2Cl)C(=O)c2cc(C(F)(F)F)ccc21,[C][C][C][C][C][N][C][=Branch1][C][=O][N][C][C][=C][C][=C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=C][Ring1][#Branch2][C][=Branch1][C][=O][N][Branch1][P][C][=C][C][Branch1][C][F][=C][C][Branch1][Ring1][C][#N][=C][Ring1][=Branch2][Cl][C][C][Ring2][Ring1][#Branch2]
C=C(C=C(C)N=CC1=Cc2ccc(c(OC)c2)CNC12NC=C(C(=O)NO)CC2=N)NC(=O)c1ccc(F)cc1N,[C][O][C][=C][C][Branch1][C][C][=C][C][=C][Ring1][#Branch1][C][NH1][C][Branch1][P][N][C][=C][Branch1][#Branch1][C][=Branch1][C][=O][N][O][C][C][Ring1][#Branch2][=N][C][=Ring2][Ring1][C][C][=N][C][Branch1][C][C][=C][C][Branch2][Ring1][C][N][C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][N][=C][Ring2][Ring1][Ring1][Ring2][Ring1][#Branch2]
C=C1OC(C=COCC=O)=CC(S)OP(=O)(O)C1O,[O][=C][C][O][C][=C][C][Branch1][C][O][=C][C][Branch1][P][O][P][=Branch1][C][=O][Branch1][C][O][C][Branch1][C][O][C][Ring1][#Branch2][=C][Ring1][#C][S][Ring2][Ring1][Ring2]
Cc1ccccc1C(CCNC=O)c1ccccc1,[O][=C][Branch2][Ring1][Branch2][N][C][C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring2][Ring1][Branch1][N][C][C][N][Branch1][=Branch1][C][Branch1][C][C][C][C][Ring1][#Branch1]
C=C1C2=CN=C(COCC2OC)C2(C(=O)OC)NC1=C(C)C1=COCC12,[C][O][C][=C][C][Branch1][C][C][=C][N][C][Branch2][Ring1][Branch1][C][=N][C][=C][Branch1][#Branch2][C][Branch1][Ring1][O][C][C][O][=C][Ring1][#Branch2][C][Ring1][=C][=C][Branch1][#Branch1][C][=Branch1][C][=O][O][C][=C][Ring2][Ring1][#Branch2][Ring2][Ring1][#Branch1]
CN(C(=O)Cc1ccc(F)cc1F)C(=O)C(Nc1cccc(-c2ccccc2)n1)c1ccco1,[C][N][Branch2][Ring1][C][C][=Branch1][C][=O][C][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][F][C][=Branch1][C][=O][C][Branch1][Branch2][C][=C][C][=C][O][Ring1][Branch1][N][Ring2][Ring1][Ring1][C][=C][C][=C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=N][Ring1][N]
O=C[C@H](O)CC[CH]CC[CH]C(c1ccc(O)cc1)c1ccc(F)cc1,[O][=C][C@H1][Branch1][C][O][C][C][C@@H1][C][C][C@H1][Branch2][Ring1][=Branch2][C][Branch1][N][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][Ring2][Ring1][Ring1]
COC[CH]CN1C[C@H](C(=O)NO)[C@@H]1COc1ccc(C(C)C)cc1C,[C][O][C][C@H1][C][N][C][C@H1][Branch1][#Branch1][C][=Branch1][C][=O][N][O][C@@H1][Ring1][Branch2][C][O][C][=C][C][=C][Branch1][=Branch1][C][Branch1][C][C][C][C][=C][Ring1][=Branch2][C][Ring1][S]
CC(=CC=O)C(C=CNC(=O)N[C@H](O)C(C)C)c1cccc(F)c1Cl,[C][C][Branch1][C][C][C@H1][Branch2][Ring2][C][N][C][=Branch1][C][=O][N][C][=C][C][Branch1][=C][C][=C][C][=C][C][Branch1][C][F][=C][Ring1][#Branch1][Cl][=N][C][Branch1][C][C][=C][Ring1][P][C][=Branch1][C][=O][O]
COCC(=O)N[C@@H](C)C=C1C=C(C2Oc3nc4c(s3)CCCC4C(O)=C2C)CC1,[C][O][C][C][=Branch1][C][=O][N][C@@H1][Branch1][C][C][C][=C][C][=C][Branch2][Ring1][#Branch2][C][O][C][=N][C][=C][Branch1][Ring2][S][Ring1][Branch1][C][C][C][C][Ring1][#Branch1][C][Branch1][C][O][=C][Ring1][=C][C][C][C][Ring2][Ring1][Ring2]
CCc1c(Cc2ccno2)cc(OC)c(OC)c1OC,[C][C][=N][O][C][Branch2][Ring1][Branch2][C][C][=C][C][Branch1][Ring1][O][C][=C][Branch1][Ring1][O][C][C][Branch1][Ring1][O][C][=C][Ring1][N][=C][C][Ring2][Ring1][Ring1][=Ring2][Ring1][Ring2]
Cc1cc(Cl)ccc1N[C@@H](C[C@@H]1CC[CH]C1(C)C)Oc1ccc(F)cc1,[C][C][Branch1][C][C][C@@H1][C][C][C@H1][Ring1][=Branch1][C][C@@H1][Branch1][=N][O][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C]
CC1=CC(C=NNC=NC=NC(=N)N2C=CC=C(F)C(C(F)(F)C(F)F)=C2)=CC1=CC1CC1,[C][C][=C][C][Branch2][Ring2][=Branch2][C][=N][NH1][C][=N][C][=N][C][Branch2][Ring1][#Branch2][N][C][=C][C][=C][Branch1][C][F][C][Branch1][=N][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][F][=C][Ring1][=C][=N][Ring2][Ring1][=Branch1][=C][C][Ring2][Ring1][N][=C][Ring2][Ring1][=N][C][C][C][Ring1][Ring1]
CCOc1ccc(C(=O)Nc2ccnc(-c3cccnc3)c2)cc1,[C][C][O][C][=C][C][=C][Branch2][Ring1][Branch2][C][=Branch1][C][=O][N][C][=C][C][=N][C][Branch1][=Branch2][C][=C][C][=C][N][=C][Ring1][=Branch1][=C][Ring1][N][C][=C][Ring2][Ring1][Branch1]
CCC(C)N1C(=O)C(=C2C=CC=C(c3ccc4cc[nH]c4c3)N=C2)CCN1CC(=O)O,[C][C][C][Branch1][C][C][N][C][=Branch1][C][=O][C][=Branch2][Ring1][Branch2][=C][C][=C][C][=C][Branch1][=C][C][=C][C][=C][C][=C][NH1][C][Ring1][Branch1][=C][Ring1][=Branch2][N][=C][Ring1][S][C][C][N][Ring2][Ring1][#Branch1][C][C][=Branch1][C][=O][O]
C=NC(=CC=CC1=NC=C1)C(=O)N1[CH]C[C@@](O)(c2cccs2)CC1,[C][=C][N][=C][Branch2][Ring2][C][C][=C][C][=C][Branch2][Ring1][Branch2][C][=Branch1][C][=O][N][C@H1][C][C@@][Branch1][C][O][Branch1][Branch2][C][=C][C][=C][S][Ring1][Branch1][C][C][Ring1][N][N][=C][Ring2][Ring1][Branch1][Ring2][Ring1][=Branch2]
CC(C)Cc1ccccc1CN(CC1=CC=CC=NCNC=N1)C(C)C,[C][C][Branch1][C][C][N][Branch1][S][C][C][=C][C][=C][C][=N][C][NH1][C][=N][Ring1][#Branch2][=Ring1][Branch1][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][=Branch2][C][Ring1][=C][Branch1][C][C][C]
C=C(C=NNc1ccc(F)cc1)C(Cl)=CC=C[C@H]1O[CH]CCO1,[O][C][C][C@H1][O][C@@H1][Branch2][Ring1][N][C][=C][C][=C][Branch1][C][Cl][C][Branch1][P][C][=N][N][Ring1][Branch1][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][=C][Ring1][P][C][Branch1][Ring1][C][#N][C][Ring2][Ring1][=Branch2]
CCC[C@H]1C(=O)NOC(=O)NC(=O)CC1C,[C][C][C][C@@H1][Branch1][#Branch1][C][=Branch1][C][=O][N][O][C][Branch1][C][C][C][C][=Branch1][C][=O][N][C][Ring1][Branch2][=O]
O=CNCCC1C=NOC(O)=C1c1noc(-c2ccccc2)n1,[O][=C][N][C][C][C][Ring1][=Branch1][C][=N][O][C][Branch1][C][O][=C][Ring1][#Branch1][C][=N][O][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=N][Ring1][O]
CCCCCN1C=C(C(=O)O)C=COC1=Nc1cccc(C(F)(F)F)c1,[O][C][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][O][=C][N][Branch1][Branch2][C][C][C][C][C][Ring1][=Branch1][C][Ring1][#C][=N][C][=C][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=C][C][=C][Ring1][#Branch2][Ring2][Ring1][=Branch1]
C=CC(=CC=CC12COc3ccc(c1c3)ON2)COCC1CCCCC1,[C][O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][Branch2][Ring1][Ring2][C][=C][C][=C][Branch1][N][C][O][C][C][C][C][C][C][C][Ring1][=Branch1][C][=C][Ring1][#C][=N][O][Ring2][Ring1][Branch1]
C=CC=CC=C(N=CCc1cn2cc(C(=O)N[CH]C(C)C)[nH]c2n1)c1ccc(F)cc1,[C][C][Branch1][C][C][C@H1][Branch2][Branch1][Branch1][N][C][=Branch1][C][=O][C][=C][N][C][=C][Branch2][Ring1][=Branch2][C][C][=N][C][Branch1][N][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][=C][C][=C][Ring1][N][C][=C][N][=C][Ring2][Ring1][Branch1][NH1][Ring2][Ring1][Branch2][C][C][Ring2][Ring1][=C]
N=C(N=CC=CC1=CO[C@]2(C=CC=C1)CCNC2)NC1CCOCC1,[C][N][C][C][C@][Ring1][Branch1][Branch1][C][O][C][=C][C][=C][C][Branch2][Ring1][Ring1][C][=C][C][=N][C][Branch1][#Branch2][N][C][C][C][O][C][C][Ring1][=Branch1][=N][Ring1][=C][=C][Ring2][Ring1][Ring2]
N#CC1=C(F)C2=C(C=C(F)C(C(N)=O)=N1)CCC=C2,[C][C][C][=C][C][=C][Branch2][Ring1][#Branch2][C][=C][Branch1][C][F][C][Branch1][=Branch1][C][Branch1][C][N][=O][=N][C][Branch1][Ring1][C][#N][=C][Ring1][=C][F][C][=C][Ring2][Ring1][Branch1]
CCN=C(Nc1cc(C#N)ccn1)[SH]=Nc1cc(Cl)ccc1C([NH])=O,[C][C][N][=C][Branch1][P][N][C][=C][C][Branch1][Ring1][C][#N][=C][C][=N][Ring1][Branch2][S][C][Ring1][S][=N][C][=C][C][Branch1][C][Cl][=C][C][=C][Ring1][#Branch1][C][=Branch1][C][=O][NH1][Ring1][#Branch1]
