smiles,0
CN(CCC1CCCCC1)C[C@@H](O)C[C](CCCN1CCNCC1)c1cccc(O)c1,[O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C@][Branch1][N][C][C][C][N][C][C][N][C][C][Ring1][=Branch1][C][C@H1][Branch1][C][O][C][Ring1][S][N][Branch1][O][C][C][C][C][C][C][C][C][Ring1][=Branch1][C][Ring2][Ring1][#Branch2]
O=C1NCC(=Cc2cccc(Oc3cccnc3)c2)[SH]1C(=O)c1ccc(-c2cccc(Cl)c2)cc1,[O][=C][Branch2][Ring1][#Branch1][N][C][C][=C][C][=C][C][Branch1][#Branch2][O][C][=C][C][=C][N][=C][Ring1][=Branch1][=C][C][=C][Ring1][=N][S][Ring1][S][C][=Branch1][C][=O][C][=C][C][=C][Branch1][N][C][=C][C][=C][C][Branch1][C][Cl][=C][Ring1][#Branch1][C][=C][Ring1][=N]
CN1CCNN=C(C=CC(CS)C(=O)O)C1,[C][N][Branch1][C][C][C][C][N][N][=C][Branch1][=N][C][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][S][Ring1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][P]
COCC(=CC=C1C2=CC=CNC21)c1cncc(Nc2ccccc2C2CCNCC2)n1,[C][=C][C][=C][Branch2][Ring2][=Branch2][C][=C][C][=C][Branch2][Ring1][N][C][=C][N][=C][C][Branch2][Ring1][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][C][N][C][C][Ring1][=Branch1][=N][Ring2][Ring1][Ring1][C][Branch1][Ring1][O][C][=C][Ring2][Ring1][O][N][Ring2][Ring1][P]
CCOCCOS(=O)(=O)NC(=O)c1ccccc1N=CC(=O)Oc1cccc(C=C(O)c2ccccc2O)c1,[O][=C][Branch2][Ring1][#C][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][Ring1][#Branch2][S][=Branch1][C][=O][=Branch1][C][=O][O][C][C][O][C][C][O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][Branch1][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][O][Ring1][N]
Cc1ccc(S(=O)(=O)N[C@H]2CCCN(S(=O)(=O)c3ccc(Cl)cc3C(=O)C=CC=CC#N)C2)cc1,[N][#C][C][=C][C][=C][C][Branch2][Ring2][P][C][=C][C][Branch1][C][Cl][=C][C][=C][Ring1][#Branch1][S][=Branch1][C][=O][=Branch1][C][=O][N][C][C][C][C@H1][Branch2][Ring1][Ring2][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][C][Ring1][P][=O][=C][Ring2][Ring2][Ring1]
O=C1[CH]C[C@H](CNS(=O)(=O)c2ccc(-c3ccccc3)c(Cl)c2)ON1,[O][=C][Branch1][Ring1][N][O][C@H1][C][C@@H1][Ring1][Ring2][C][N][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][C][Cl][=C][Ring1][=N]
N=C1C=CC=CCNC(=O)c2ccc(Oc3ccc(OC(F)(F)F)cc3)cc2CN1,[N][=C][Branch1][C][N][C][=C][C][=C][C][Branch2][Ring2][Branch2][N][C][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][Branch1][O][C][=C][C][=C][Branch1][#Branch2][O][C][Branch1][C][F][Branch1][C][F][F][C][=C][Ring1][O][C][=C][Ring2][Ring1][C][=C][Ring2][Ring1][N]
COc1ccccc1[C@H]1CCCN1c1ccn2ncc(C(=O)Nc3ccc4c(c3)CCC4)c2n1,[C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C@H1][C][C][C][N][Ring1][Branch1][C][C][=C][N][N][=C][C][Branch2][Ring1][Branch1][C][=Branch1][C][=O][N][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C][C][Ring1][=Branch1][=C][Ring1][P][N][=Ring2][Ring1][Branch1]
COc1ccc(C(=O)NC[C@@H]2CC3CN(S(=O)(=O)c4cncs4)C[C@@H]2CN3)cc1,[C][O][C][=C][C][=C][Branch2][Ring2][Ring2][C][=Branch1][C][=O][N][C][C@@H1][C][C][N][C][C@H1][Ring1][=Branch1][C][N][Branch1][#C][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][N][=C][S][Ring1][Branch1][C][Ring1][#C][C][=C][Ring2][Ring1][O]
COCC1NCCCC1(CC1CC1)c1cccccccc(-c2ccccc2)n1,[C][O][C][C][N][C][C][C][C][Branch1][#Branch1][C][C][C][C][Ring1][Ring1][Branch2][Ring1][#Branch1][C][=N][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][C][=C][C][=C][C][=C][Ring1][S][Ring1][=Branch1][C][Ring2][Ring1][Branch2]
C=CC(=CC=COC)CC(C)NCC(O)COc1cccc2[nH]c3ccccc3c12,[C][O][C][=C][C][=C][Branch2][Ring2][C][C][C][Branch1][C][C][N][C][C][Branch1][C][O][C][O][C][=C][C][=C][C][NH1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][=N][=Ring1][=Branch2][C][C][=C][Ring2][Ring1][=N]
CCC(O)(CCC(=O)Nc1ccc(S(N)(=O)=O)cc1)c1ccc(Br)cc1,[N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][=N][N][C][=Branch1][C][=O][C][C][C][Branch1][C][O][Branch1][N][C][=C][C][=C][Branch1][C][Br][C][=C][Ring1][#Branch1][C][C][Ring1][=C][C][=C][Ring2][Ring1][=Branch1]
CCc1ccccc1-c1cc(NCc2cccs2)nc(=O)n1Cc1ccc(Cc2ccccc2)cc1,[C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][Branch1][#Branch2][N][C][C][=C][C][=C][S][Ring1][Branch1][=N][C][=Branch1][C][=O][N][Ring1][=C][C][C][=C][C][=C][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][=N]
C=[SH]C=CC=NC=CC1C=CN=C(CC(=O)O)C(=CC)C=C1,[C][C][=C][C][Branch1][#Branch1][C][C][=Branch1][C][=O][O][=N][C][=C][C][Branch1][O][C][=C][N][=C][C][=C][S][Ring1][Branch1][=C][C][=C][Ring2][Ring1][Ring2][Ring1][=C]
CC(C)OC=NC=Cc1c(NCc2ccccc2Cl)cccc1N(C)C,[C][C][Branch1][C][C][O][C][=N][C][=C][C][=C][Branch1][=Branch1][N][Branch1][C][C][C][C][=C][C][=C][Ring1][=Branch2][N][Ring1][=N][C][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl]
N=C(N)NCCC[C@H](NC(=O)NCCN1CCCC1)C(=O)c1noc(CCC(=O)N2CC3CCC2C3)n1,[N][=C][Branch1][C][N][N][C][C][C][C@H1][Branch1][S][N][C][=Branch1][C][=O][N][C][C][N][C][C][C][C][Ring1][Branch1][C][=Branch1][C][=O][C][=N][O][C][Branch2][Ring1][C][C][C][C][=Branch1][C][=O][N][C][C][C][C][C][Ring1][=Branch1][C][Ring1][Branch1][=N][Ring1][S]
CC[C@H]1COCCN1c1nc(N2CCOC[C@@H]2C)c2ccc(-c3cccc(-c4nnn[nH]4)c3)nc2n1,[C][C][C@H1][C][O][C][C][N][Ring1][=Branch1][C][=N][C][Branch1][#Branch2][N][C][C][O][C][C@@H1][Ring1][=Branch1][C][=C][C][=C][C][Branch1][P][C][=C][C][=C][C][Branch1][Branch2][C][=N][N][=N][NH1][Ring1][Branch1][=C][Ring1][O][=N][C][Ring1][P][=N][Ring2][Ring1][N]
