smiles,0
COc1cc(C(C)=O)ccc1OCC(O)CN1CCC(Oc2ccc(C(F)(F)F)cc2)CC1,COc1cc(C(C)=O)ccc1OCC(O)CN1CCC(Oc2ccc(C(F)(F)F)cc2)CC1
CCCC[C@]12CCC[C@H](CC(=O)O)CC[C@H]1OC(O)O2,CCCC[C@]12CCC[C@H](CC(=O)O)CC[C@H]1OC(O)O2
N#Cc1ccc(N2CCN(Cc3ccccc3)CC2)cc1-c1ccnc(Nc2ccc(OC(F)(F)F)cc2)n1,N#Cc1ccc(N2CCN(Cc3ccccc3)CC2)cc1-c1ccnc(Nc2ccc(OC(F)(F)F)cc2)n1
COc1ccc(C2Cc3ccc(OCCN4CCCC4=O)cc3C2)nc1Cl,COc1ccc(C2Cc3ccc(OCCN4CCCC4=O)cc3C2)nc1Cl
CC(=O)c1cnc2cccc(NC(=O)NC3=C(Nc4ccccc4)C(=O)O3)c2c1,CC(=O)c1cnc2cccc(NC(=O)NC3=C(Nc4ccccc4)C(=O)O3)c2c1
O=C(O)C(=O)CC=CC=CC=Cc1ccc2nnc(-c3ccc(S(=O)(=O)NCCO)cc3)nc2n1,O=C(O)C(=O)CC=CC=CC=Cc1ccc2nnc(-c3ccc(S(=O)(=O)NCCO)cc3)nc2n1
Nc1nccc(-c2ccc(F)cc2)n1,Nc1nc(-c2ccc(F)cc2)ccn1
CCc1nc2ccc(C(=O)NC3CC3)cc2c(=O)n1Cc1ccc(-c2ccccc2)cc1,CCc1nc2ccc(C(=O)NC3CC3)cc2c(=O)n1Cc1ccc(-c2ccccc2)cc1
COCc1cccc(S(=O)(=O)N(CCCCN2CCC(N3CCSCC3=O)CC2)C(=O)c2ccc(Cl)cc2)c1,COCc1cccc(S(=O)(=O)N(CCCCN2CCC(N3CCSCC3=O)CC2)C(=O)c2ccc(Cl)cc2)c1
COc1ccc2c(c1)NC(=NC(=O)CC1CCN(C)CC1)C(=O)C2,COc1ccc2c(c1)NC(=NC(=O)CC1CCN(C)CC1)C(=O)C2
COc1cccc(Nc2ncnc3c2c(-c2cccc(OC)c2)cn3C)c1,COc1cccc(-c2cn(C)c3ncnc(Nc4cccc(OC)c4)c32)c1
CCCN(CC)c1cc(C(F)(F)F)nc2c1nnn2-c1ccc(C(=O)N[C@@H](CCc2ccc3ccccc3c2)C(C)C)nn1,CCCN(CC)c1cc(C(F)(F)F)nc2c1nnn2-c1ccc(C(=O)N[C@@H](CCc2ccc3ccccc3c2)C(C)C)nn1
O=C(Nc1ccc2scnc2c1)c1ccc2c(C(F)(F)F)cccc2c1,O=C(Nc1ccc2scnc2c1)c1ccc2c(C(F)(F)F)cccc2c1
COc1ccc(C(=O)N=C(N)NC2CCCCC2)cc1C=CC(C)(C)c1nc2sccn2n1,COc1ccc(C(=O)N=C(N)NC2CCCCC2)cc1C=CC(C)(C)c1nn2ccsc2n1
CCNc1ncc(-c2nc(C)no2)cc1NC(=O)c1cccc2ccccc12,CCNc1ncc(-c2nc(C)no2)cc1NC(=O)c1cccc2ccccc12
CCN[C@@H](C)C(=O)O[C@H](C(=O)N1CCN(c2ccc(Cl)cc2)CC1)[C@@H](C)c1ccccc1,CCN[C@@H](C)C(=O)O[C@H](C(=O)N1CCN(c2ccc(Cl)cc2)CC1)[C@@H](C)c1ccccc1
Cc1cc(Cl)ccc1S(=O)(=O)Nc1nc(-c2ccc(C(C)(C)C#N)cc2)cc(-c2ccon2)n1,Cc1cc(Cl)ccc1S(=O)(=O)Nc1nc(-c2ccon2)cc(-c2ccc(C(C)(C)C#N)cc2)n1
Cc1ccc(Oc2cnc(NC(=O)C3CCC3)n2C)cc1,Cc1ccc(Oc2cnc(NC(=O)C3CCC3)n2C)cc1
COC1C[C@@H](c2ccc(S(N)(=O)=O)cc2)[C@@H](C)N1c1nccc(-c2cncc(C(=O)O)c2)n1,COC1C[C@@H](c2ccc(S(N)(=O)=O)cc2)[C@@H](C)N1c1nccc(-c2cncc(C(=O)O)c2)n1
NC(=O)c1nn(C[C@H](N)Cc2ccccc2)c2ccccc12,NC(=O)c1nn(C[C@H](N)Cc2ccccc2)c2ccccc12
COc1ccc(NC(=O)C2CCCN(CCCOc3ccccc3C(=O)c3ccccc3)CC2)cc1,COc1ccc(NC(=O)C2CCCN(CCCOc3ccccc3C(=O)c3ccccc3)CC2)cc1
CCOc1cc(C#N)ccc1-c1cc2c(C)nc(Nc3ccccc3)cc2n(C)c1=O,CCOc1cc(C#N)ccc1-c1cc2c(cc(Nc3ccccc3)nc2C)n(C)c1=O
CC(=O)NC(C)(C)Cc1c(Br)c(-c2cn[nH]c2)nc2c1ncn2[C@H]1O[C@@H](CO)[C@@H](O)[C@H]1O,CC(=O)NC(C)(C)Cc1c(Br)c(-c2cn[nH]c2)nc2c1ncn2[C@H]1O[C@@H](CO)[C@@H](O)[C@H]1O
