smiles,0
,CC[C@H](NC(=O)N[C@@H](Cc1ccccc1)P(=O)(C)O
CCCn1[nH]c(=O)c2sc(-c3cc(NC(=O)C4CC4)ncc3Cl)nc2c1=O,CCCn1c(=O)c2nc(-c3cc(NC(=O)C4CC4)ncc3Cl)sc2c(=O)[nH]1
COc1cc(C(C)C(C)C)ccc1Nc1ncc(C)c(-c2ccccn2)n1,COc1cc(C(C)C(C)C)ccc1Nc1ncc(C)c(-c2ccccn2)n1
,CCCC[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC1(C)C2CC3C(CC32)C(=O
N#Cc1ccc(N2CCN(Cc3ccccc3)CC2)nc1-c1ccc(-c2ccsc2)cc1,N#Cc1ccc(N2CCN(Cc3ccccc3)CC2)nc1-c1ccc(-c2ccsc2)cc1
COc1ccc2c(c1)OCC(c1ccc(OC)c(OC3CC[C@H](C(C)C)C3)c1)C2,COc1ccc(C2Cc3ccc(OC)cc3OC2)cc1OC1CC[C@H](C(C)C)C1
,CC(=O)c1cnc2ccc(-c3nn4c(C55CCN(CC(C)(C)C)CC5)ccnc4n3)cc2n1
O=C(O)C(=O)CCCSCC(O)c1ccccc1,O=C(O)C(=O)CCCSCC(O)c1ccccc1
,Nc1nc(-c2ccc(F)cc2)ccn1-c1csc(N2CCNCC2)n1
CCc1ncc(-c2ccc(CC(C)NC(C)=O)c(F)c2)nc1C(=O)Nc1ccccc1,CCc1ncc(-c2ccc(CC(C)NC(C)=O)c(F)c2)nc1C(=O)Nc1ccccc1
COCc1cccc(S(=O)(=O)N(CCCCN2CCC(N3CCSCC3)CC2)Cc2ccc3c(c2)OCO3)c1,COCc1cccc(S(=O)(=O)N(CCCCN2CCC(N3CCSCC3)CC2)Cc2ccc3c(c2)OCO3)c1
COc1ccc2c(c1)NC(=NC(=O)CCc1cc3c(c(C)n1)-c1cc(C(F)(F)F)ccc1-3)C(=O)NC2,COc1ccc2c(c1)NC(=NC(=O)CCc1nc(C)c3c(c1)-c1ccc(C(F)(F)F)cc1-3)C(=O)NC2
,COc1cccc(-c2no(C)c3nc(N4CCCCC4)nc(N)c23)c1
O=C1N=C(Nc2ccccc2O)CC1c1ccccc1,O=C1N=C(Nc2ccccc2O)CC1c1ccccc1
,CN1CC[C@@](O)(C#Cc2ccc3[nH]c4c(c3c2)CCC[C@@]3(O)C[C@H](C)[C@@]21O)c1ccccc1
CCCNC(=O)c1ccc(F)cc1OC(C(=O)O)C(C)(C)C,CCCNC(=O)c1ccc(F)cc1OC(C(=O)O)C(C)(C)C
O=C(Nc1ccc2scnc2c1)c1ccc(Cl)cc1,O=C(Nc1ccc2scnc2c1)c1ccc(Cl)cc1
COc1ccc(C(=O)N(c2cccc(NC(=O)c3ccc(-n4cccn4)cc3)c2)C2CCCC2)cn1,COc1ccc(C(=O)N(C2CCCC2)c2cccc(NC(=O)c3ccc(-n4cccn4)cc3)c2)cn1
O=C(NCC(O)c1ccccc1)c1c(NS(=O)(=O)c2ccc(Br)cc2)c(=O)c2ccc(F)cc2n1-c1ccccc1,O=C(NCC(O)c1ccccc1)c1c(NS(=O)(=O)c2ccc(Br)cc2)c(=O)c2ccc(F)cc2n1-c1ccccc1
CCN1CCN(c2sccc2C(=O)CC2(C(=O)Nc3cccc(Cl)c3Cl)CC2)CC1,CCN1CCN(c2sccc2C(=O)CC2(C(=O)Nc3cccc(Cl)c3Cl)CC2)CC1
,CCNc1ncc(-c2ccc(CCC(CC)CC)c(NC(=O)OC(C)(C)C)c2)n1
CCN[C@@H](C)C(=O)N[C@H](C(=O)N1CCN(C)CC1)c1ccc2c(c1)OCO2,CCN[C@@H](C)C(=O)N[C@H](C(=O)N1CCN(C)CC1)c1ccc2c(c1)OCO2
Cc1nc(-c2ccc(F)cc2F)oc1C(=O)NC1C2CC3CC1CC(C2)C(C)(c1ccccc1)C3,Cc1nc(-c2ccc(F)cc2F)oc1C(=O)NC1C2CC3CC1CC(C(c1ccccc1)(C)C3)C2
NC(=O)Nc1ccc2c(c1)C(C1CC1)[C@H](c1ccc(C(F)(F)F)cc1)CC(=O)N2,NC(=O)Nc1ccc2c(c1)C(C1CC1)[C@H](c1ccc(C(F)(F)F)cc1)CC(=O)N2
Cc1cc(Cl)ccc1S(=O)(=O)Nc1ncc2ccc(-c3nnco3)cc2n1,Cc1cc(Cl)ccc1S(=O)(=O)Nc1nc2cc(-c3nnco3)ccc2cn1
Cc1ccccc1S(=O)(=O)Nc1cccc(-c2ccccc2Cc2cccnc2)c1,Cc1ccccc1S(=O)(=O)Nc1cccc(-c2ccccc2Cc2cccnc2)c1
COC1C[C@@H](c2ccc(S(N)(=O)=O)c(C(F)(F)F)c2)[C@@H]1C,COC1C[C@@H](c2ccc(S(N)(=O)=O)c(C(F)(F)F)c2)[C@@H]1C
