loss,running_loss,mode,lr
4.4077348709106445,5.002320430521143,Train,0.001
4.495098114013672,4.399547781584396,Eval,
3.7336435317993164,4.089350058395527,Train,0.001
3.891209840774536,3.810695281568563,Eval,
3.4052648544311523,3.614240105270492,Train,0.001
3.473388910293579,3.3942912974447585,Eval,
3.059575080871582,3.229153635935862,Train,0.001
3.1067302227020264,3.033200783549613,Eval,
2.7490713596343994,2.884643875960762,Train,0.001
2.7730112075805664,2.7008595579075365,Eval,
2.385326862335205,2.560346877884921,Train,0.001
2.444589376449585,2.3856157379330334,Eval,
2.0851423740386963,2.250595450683127,Train,0.001
2.1322197914123535,2.08592049355777,Eval,
1.80442476272583,1.9585069860408786,Train,0.001
1.8386696577072144,1.805536344366253,Eval,
1.5689711570739746,1.6916307698468516,Train,0.001
1.5791141986846924,1.559311477643139,Eval,
1.3773112297058105,1.46229666119208,Train,0.001
1.367181658744812,1.353971536429424,Eval,
1.2032159566879272,1.280871919424539,Train,0.001
1.205518364906311,1.2008940847414837,Eval,
1.1034497022628784,1.148762899087675,Train,0.001
1.0899701118469238,1.0923470663574513,Eval,
1.0348626375198364,1.0566723899074761,Train,0.001
1.0172061920166016,1.0195287966503288,Eval,
0.9522606134414673,0.9935906272971606,Train,0.001
0.9597157835960388,0.9682669470895013,Eval,
0.931850254535675,0.9485979032291022,Train,0.001
0.9249420762062073,0.9319858432940717,Eval,
0.9004834294319153,0.9154611965443229,Train,0.001
0.8948673605918884,0.9043628691502338,Eval,
0.8824688196182251,0.8906133683578907,Train,0.001
0.8819133639335632,0.8853467213657669,Eval,
0.8792321681976318,0.8703371830302209,Train,0.001
0.8618354201316833,0.8695793747901915,Eval,
0.8509278893470764,0.8538258594260433,Train,0.001
0.8498696088790894,0.8572234916237167,Eval,
0.8701401948928833,0.8405516684478057,Train,0.001
0.8428975939750671,0.8456830719731888,Eval,
