smiles,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
Cc1cccc(C#CC2CCC(CN3CCN(C)CC3)CC2)n1,<bos>,C,<2>,c1ccncc1,<4>,<0>,C#C,<1>,<0>,C1CCCCC1,<3>,C,<2>,C1CNCCN1,<5>,C,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
O=C(Nc1csc(C(c2ccccc2)c2ccccc2)n1)c1ccccc1,<bos>,c1ccccc1,<0>,C,(,<0>,c1ccccc1,),<3>,c1cscn1,<0>,N,C=O,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,
COc1ncc(Nc2ccc(S(=N)(=O)c3nonc3N)cc2)cc1Br,<bos>,C,O,<4>,c1ccncc1,<1>,<5>,(,Br,),N,<0>,c1ccccc1,<3>,<1>,N=[SH2]=O,<1>,<0>,c1cnon1,<1>,N,<eos>,,,,,,,,,,,,,,,,,,,
Cc1ccc(CNC(=O)[C@H](CC(F)(F)F)NC(=O)c2ccccn2)c(Cl)c1,<bos>,F,C,(,F,),(,F,),C,C|S,(,N,C=O,<2>,c1ccncc1,),C=O,N,C,<3>,c1ccccc1,<0>,<4>,(,Cl,),C,<eos>,,,,,,,,,,,,
NC(=O)N(O)Cc1cccc(C=Cc2cc3ccccc3o2)c1,<bos>,N,C=O,N,(,O,),C,<0>,c1ccccc1,<4>,<0>,C=C,<1>,<5>,c1ccc2occc2c1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
CCN1CCN(c2ccc(Nc3nc(NCc4ccc(OC(F)(F)F)cc4)ncc3Br)cc2)CC1,<bos>,F,C,(,F,),(,F,),O,<3>,c1ccccc1,<0>,C,N,<3>,c1cncnc1,<5>,<0>,(,Br,),N,<3>,c1ccccc1,<0>,<5>,C1CNCCN1,<2>,C,C,<eos>,,,,,,,,,
NC(c1ccc(C(F)(F)F)cc1)S(=O)(=O)N1[C@@H]2CC[C@H]1C[C@@H](NS(=O)(=O)c1cccc3ccccc13)C2,<bos>,F,C,(,F,),(,F,),<3>,c1ccccc1,<0>,C,(,N,),O=[SH2]=O,<7>,C1CC2CCC(C1)N2|2R5S,<0R>,N,O=[SH2]=O,<2>,c1ccc2ccccc2c1,<eos>,,,,,,,,,,,,,,,,
N[C@H](CS)C(=O)N1C[C@H](O)C[C@H]1O,<bos>,O,<0R>,C1CCNC1,<3>,<2R>,(,O,),C=O,C|S,(,N,),C,S,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
CC1=CN(CC(=O)N(C)C)C(C)(Cc2cccc(Cl)c2)N(Cc2ccc(-c3ccccc3C(=O)O)cc2)C1=O,<bos>,C,N,(,C,),C=O,C,<4>,O=c1cc[nH]cn1,<6>,<5>,(,C,<0>,c1ccccc1,<4>,Cl,),<5>,(,C,),<2>,(,C,),C,<0>,c1ccccc1,<3>,<0>,c1ccccc1,<5>,C=O,O,<eos>,,,,
CN(C)CCOc1ccc(Cl)cc1C1(c2noc(-c3ccnn3C)n2)CCC1,<bos>,C,<3>,c1cn[nH]c1,<4>,<2>,c1ncon1,<0>,<0>,C1CCC1,<0>,<4>,c1ccccc1,<3>,<0>,(,Cl,),O,C,C,N,(,C,),C,<eos>,,,,,,,,,,,,,,
