smiles,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
CN[C@H](C(=O)CCc1ccccc1)c1cc(=O)n(O)cn1,<bos>,C,N,C|S,(,<3>,O=c1ccnc[nH]1,<6>,O,),C=O,C,C,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,
CCOc1ccc(C#CCOC)c(-c2nc3[nH]ncc3c(=O)[nH]2)c1,<bos>,C,C,O,<0>,c1ccccc1,<3>,<4>,(,<3>,O=c1[nH]cnc2[nH]ncc12,),<0>,C#C,<1>,C,O,C,<eos>,,,,,,,,,,,,,,,,,,,,,,
CC1(C)CNC(=O)c2cc3ccc(C(=O)NCc4cc(Cl)ccc4Cl)nc3n2C1,<bos>,C,<4>,O=C1NCCCn2c1cc1cccnc12,<12>,<4>,(,C,),C=O,N,C,<4>,c1ccccc1,<0>,<3>,(,Cl,),Cl,<eos>,,,,,,,,,,,,,,,,,,,,
CC(C)C(C[C@H](O)C(=O)N[C@H]1c2ccccc2C[C@H]1O)OCc1ccccc1,<bos>,c1ccccc1,<0>,C,O,C,(,C,(,C,),C,),C,C|S,(,O,),C=O,N,<8S>,c1ccc2c(c1)CCC2,<7R>,O,<eos>,,,,,,,,,,,,,,,,
COc1cc(Oc2ccc(S(=O)(=O)Nc3ncns3)cc2C#N)cc(C(F)(F)F)c1C#N,<bos>,F,C,(,F,),(,F,),<4>,c1ccccc1,<0>,<2>,(,O,C,),<3>,(,C#N,),O,<3>,c1ccccc1,<0>,<4>,(,C#N,),O=[SH2]=O,N,<2>,c1ncsn1,<eos>,,,,,,,
Cc1ncoc1C(=O)NCn1cc(C2=CCN(c3ccccc3)CC2)c2ccccc21,<bos>,C,<0>,c1cocn1,<1>,C=O,N,C,<4>,c1ccc2[nH]ccc2c1,<6>,<0>,C1=CCNCC1,<3>,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
O=C(NCc1ccc(-c2ccc(F)c(O)c2)cc1)[C@@H]1CC[C@H](n2cnc3ccccc32)CN1,<bos>,O,<4>,c1ccccc1,<0>,<3>,(,F,),<0>,c1ccccc1,<3>,C,N,C=O,<4S>,C1CCNCC1,<1S>,<4>,c1ccc2[nH]cnc2c1,<eos>,,,,,,,,,,,,,,,,,,,,
C[C@@H](Cc1c[nH]c2cccc(-n3cnnn3)c12)NC(=O)Cc1ccccc1,<bos>,c1ccccc1,<0>,C,C=O,N,C|S,(,C,),C,<6>,c1ccc2[nH]ccc2c1,<8>,<4>,c1nnn[nH]1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
Cc1cccc(CNC(=O)c2cc(OC(C)C)c3cc[nH]c(=O)c3c2)n1,<bos>,C,C,(,C,),O,<6>,O=c1[nH]ccc2ccccc12,<8>,C=O,N,C,<2>,c1ccncc1,<4>,C,<eos>,,,,,,,,,,,,,,,,,,,,,,,
Cc1ccccc1CCS(=O)(=O)NCCCn1cnc(-c2ccccc2)c1,<bos>,C,<0>,c1ccccc1,<5>,C,C,O=[SH2]=O,N,C,C,C,<2>,c1c[nH]cn1,<0>,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,
CCNC(=O)Nc1ccc2c(c1-c1ccccc1N)NC(=O)C(c1cccc(NC(=O)c3ccc(S(C)(=O)=O)cc3)c1)C(=O)N2,<bos>,C,C,N,C=O,N,<8>,O=C1CC(=O)Nc2ccccc2N1,<2>,<7>,(,<0>,c1ccccc1,<5>,N,),<0>,c1ccccc1,<4>,N,C=O,<0>,c1ccccc1,<3>,O=[SH2]=O,C,<eos>,,,,,,,,,,,,,,
