loss,running_loss,mode,lr
0.48025602102279663,0.6990969876267749,Train,0.001
0.6153586506843567,0.45692105794047444,Eval,
0.46281152963638306,0.43835403110081705,Train,0.001
0.6063209772109985,0.4275689308717356,Eval,
0.43616747856140137,0.4214610947167095,Train,0.001
0.5670419335365295,0.41924217870874736,Eval,
0.42905110120773315,0.41423231811832956,Train,0.001
0.5717589259147644,0.41335556338217655,Eval,
0.4189911186695099,0.410150993343977,Train,0.001
0.607028603553772,0.4103432276250505,Eval,
0.4201042950153351,0.40704050080630183,Train,0.001
0.6036779880523682,0.40934603152454613,Eval,
0.4467080533504486,0.40487080812946624,Train,0.001
0.5999159216880798,0.4074624144967987,Eval,
0.4417060911655426,0.403107988697506,Train,0.001
0.5783729553222656,0.40715021042638005,Eval,
0.4122419059276581,0.4016951945681581,Train,0.001
0.5820045471191406,0.4048711823858073,Eval,
0.4314073920249939,0.40070984203244675,Train,0.001
0.589056670665741,0.40352835684345456,Eval,
