smiles,0
CN(C)c1cc(SCc2ccccn2)nc(N2CCOCC2)n1,[C][N][Branch1][C][C][C][=C][C][Branch1][O][S][C][C][=C][C][=C][C][=N][Ring1][=Branch1][=N][C][Branch1][=Branch2][N][C][C][O][C][C][Ring1][=Branch1][=N][Ring2][Ring1][Ring2]
Cc1ncsc1CN1CCCCC1c1cccnc1,[C][C][N][=C][S][C][=Ring1][Branch1][C][N][C][C][C][C][C][Ring1][=Branch1][C][=C][C][=C][N][=C][Ring1][=Branch1]
O=C(Nc1ccc2c(c1)COC2)c1cc2ccccc2c(=O)[nH]1,[O][=C][Branch1][P][N][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][O][C][Ring1][=Branch1][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][NH1][Ring1][O]
Cn1nc(C(=O)Nc2ccc3c(c2)COC3)cc1-c1ccccn1,[C][N][N][=C][Branch2][Ring1][Branch1][C][=Branch1][C][=O][N][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][O][C][Ring1][=Branch1][C][=C][Ring1][P][C][=C][C][=C][C][=N][Ring1][=Branch1]
CC1=NC=C(CNC(C)c2cnc(C)s2)[SH]1C,[C][C][=N][C][=C][Branch2][Ring1][C][C][Branch1][C][C][N][C][C][=C][N][=C][Branch1][C][C][S][Ring1][=Branch1][C][S][Ring1][S]
CC(=O)c1c[nH]c(C(=O)OCc2ncc(-c3ccc(C)cc3)o2)c1,[C][C][=Branch1][C][=O][C][=C][NH1][C][Branch2][Ring1][O][C][=Branch1][C][=O][O][C][C][=N][C][=C][Branch1][N][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][O][Ring1][N][=C][Ring2][Ring1][Branch1]
O=C(NCC1(c2cccc(F)c2)CC1)c1cnc(C2CCCO2)s1,[O][=C][Branch2][Ring1][Branch1][N][C][C][Branch1][N][C][=C][C][=C][C][Branch1][C][F][=C][Ring1][#Branch1][C][C][Ring1][#Branch2][C][=C][N][=C][Branch1][Branch2][C][C][C][C][O][Ring1][Branch1][S][Ring1][#Branch2]
O=C(NC1CCCCC1)N1CCCC(CN2CCOCC2)C1,[O][=C][Branch1][#Branch2][N][C][C][C][C][C][C][Ring1][=Branch1][N][C][C][C][C][Branch1][#Branch2][C][N][C][C][O][C][C][Ring1][=Branch1][C][Ring1][=N]
COc1ccc(NC(=O)c2cncc(N)c2)cc1Br,[C][O][C][=C][C][=C][Branch1][P][N][C][=Branch1][C][=O][C][=C][N][=C][C][Branch1][C][N][=C][Ring1][#Branch1][C][=C][Ring1][S][Br]
O=C(Cn1cc(Cl)cn1)NCCc1nc2ccccc2[nH]1,[O][=C][Branch1][N][C][N][C][=C][Branch1][C][Cl][C][=N][Ring1][=Branch1][N][C][C][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][NH1][Ring1][=Branch2]
CCn1cc(N)c(C(=O)Nc2ccc(Cl)cc2)n1,[C][C][N][C][=C][Branch1][C][N][C][Branch1][P][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][=N][Ring1][S]
CN(C)C(=O)c1ccccc1NC(=O)C1CC=CCC1,[C][N][Branch1][C][C][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][C][C][=C][C][C][Ring1][=Branch1]
Cc1ccc(C(=O)NCCNC(=O)c2ccccc2F)cc1,[C][C][=C][C][=C][Branch2][Ring1][=Branch1][C][=Branch1][C][=O][N][C][C][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][F][C][=C][Ring2][Ring1][Branch1]
COCCNC(=O)c1nc(NC(=O)c2ccc(C#N)cc2)sc1C,[C][O][C][C][N][C][=Branch1][C][=O][C][N][=C][Branch2][Ring1][C][N][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][Branch2][S][C][=Ring1][S][C]
CC(C(=O)NCc1ccccc1F)N(c1ccc(F)cc1)S(C)(=O)=O,[C][C][Branch1][S][C][=Branch1][C][=O][N][C][C][=C][C][=C][C][=C][Ring1][=Branch1][F][N][Branch1][N][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][S][Branch1][C][C][=Branch1][C][=O][=O]
CCCCC(=O)NC(C)c1ccc(C)o1,[C][C][C][C][C][=Branch1][C][=O][N][C][Branch1][C][C][C][=C][C][=C][Branch1][C][C][O][Ring1][=Branch1]
CCCC1CCC(C(=O)Nc2cc(C)nn2C)C1,[C][C][C][C][C][C][Branch1][P][C][=Branch1][C][=O][N][C][=C][C][Branch1][C][C][=N][N][Ring1][=Branch1][C][C][C][Ring1][#C]
Nc1c(Nc2cccnc2)ncnc1Nc1cccc2c1CCCC2,[N][C][=C][Branch1][S][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][C][C][Ring1][=Branch1][N][=C][N][=C][Ring1][P][N][C][=C][C][=C][N][=C][Ring1][=Branch1]
Cc1nn(Cc2ccccc2)c(C)c1CN(C)C1(C#N)CCCCC1,[C][C][=N][N][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][C][C][=C][Ring1][=N][C][N][Branch1][C][C][C][Branch1][Ring1][C][#N][C][C][C][C][C][Ring1][Branch2]
CCSc1nnc(N2CCOCC2)n1CC1CCCO1,[C][C][S][C][=N][N][=C][Branch1][=Branch2][N][C][C][O][C][C][Ring1][=Branch1][N][Ring1][O][C][C][C][C][C][O][Ring1][Branch1]
CN(C)C(=O)COc1cccc(NCCN2CCOCC2)c1,[C][N][Branch1][C][C][C][=Branch1][C][=O][C][O][C][=C][C][=C][C][Branch1][N][N][C][C][N][C][C][O][C][C][Ring1][=Branch1][=C][Ring1][#C]
CC(Cn1cccc1)NS(=O)(=O)N1CC2CCC1C2,[C][C][Branch1][=Branch2][C][N][C][=C][C][=C][Ring1][Branch1][N][S][=Branch1][C][=O][=Branch1][C][=O][N][C][C][C][C][C][Ring1][=Branch1][C][Ring1][Branch1]
Cc1nc(CCNc2ccc(F)cc2-n2cccn2)cs1,[C][C][=N][C][Branch2][Ring1][=Branch1][C][C][N][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][N][C][=C][C][=N][Ring1][Branch1][=C][S][Ring2][Ring1][Ring2]
CCCC(NC(=O)C(=CC=COC)COC)c1nonc1C#N,[C][O][C][=C][C][=C][Branch2][Ring1][Branch2][C][=Branch1][C][=O][N][C][Branch1][O][C][=N][O][N][=C][Ring1][Branch1][C][#N][C][C][C][Ring1][Ring1][C][=C][Ring2][Ring1][Ring2][O][C]
CC(C)C(=O)NCC1NC=C(C(=O)N2CCCCC2)N1C,[C][C][Branch1][C][C][C][=Branch1][C][=O][N][C][C][N][C][=C][Branch1][=N][C][=Branch1][C][=O][N][C][C][C][C][C][Ring1][=Branch1][N][Ring1][=N][C]
CCc1nc(C)oc1C(=O)N1CCc2ccc(OC)cc2C1,[C][O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][N][Branch1][P][C][=Branch1][C][=O][C][O][C][Branch1][C][C][=N][C][=Ring1][=Branch1][C][C][C][C][Ring1][P]
