smiles,0
CN(C)c1cc(S(=O)(=O)N2CCCCCC2)ccc1Cl,[C][N][Branch1][C][C][C][=C][C][Branch1][P][S][=Branch1][C][=O][=Branch1][C][=O][N][C][C][C][C][C][C][Ring1][#Branch1][=C][C][=C][Ring1][S][Cl]
Cc1ncsc1C(=O)N1CCC(c2nc3ccccc3s2)CC1,[C][C][N][=C][S][C][=Ring1][Branch1][C][=Branch1][C][=O][N][C][C][C][Branch1][=C][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][S][Ring1][=Branch2][C][C][Ring1][#C]
CN(N=CC(=O)Nc1cccc2ncccc12)C1CCOCC1,[O][=C][Branch1][P][N][C][=C][C][=C][C][=N][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1][C][C][=N][N][Branch1][=Branch2][C][C][C][O][C][C][Ring1][=Branch1][C][=Ring1][O]
Cc1nc(CNC(C)C2=CN=CCS2)cs1,[C][C][=N][C][=C][Branch2][Ring1][C][C][Branch1][C][C][N][C][C][=C][S][C][Branch1][C][C][=N][Ring1][=Branch1][C][S][Ring1][S]
O=C1CCc2cc(C(=O)NCC3(c4cccc(F)c4)CC3)ccc2N1,[O][=C][Branch2][Ring1][Branch1][N][C][C][Branch1][N][C][=C][C][=C][C][Branch1][C][F][=C][Ring1][#Branch1][C][C][Ring1][#Branch2][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C][C][=Branch1][C][=O][N][Ring1][Branch2]
O=C(Nc1ccc(OCC2CCCO2)cc1)NC1CCCCC1,[O][=C][Branch1][#Branch2][N][C][C][C][C][C][C][Ring1][=Branch1][N][C][=C][C][=C][Branch1][#Branch2][O][C][C][C][C][C][O][Ring1][Branch1][C][=C][Ring1][=N]
COc1ccc(NC(=O)c2cccc(N)c2)cc1Br,[C][O][C][=C][C][=C][Branch1][P][N][C][=Branch1][C][=O][C][=C][C][=C][C][Branch1][C][N][=C][Ring1][#Branch1][C][=C][Ring1][S][Br]
O=C(Cn1cc(Cl)cn1)NCCc1nc2ccccc2[nH]1,[O][=C][Branch1][N][C][N][C][=C][Branch1][C][Cl][C][=N][Ring1][=Branch1][N][C][C][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][NH1][Ring1][=Branch2]
CCn1cc(N)cc1C(=O)Nc1cc(C(C)(C)C)n[nH]1,[C][C][N][C][=C][Branch1][C][N][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C][=C][C][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][=N][NH1][Ring1][=Branch2]
CN(C)C(=O)c1ccccc1NC(=O)CN1C=CCCC1=O,[C][N][Branch1][C][C][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][N][C][=C][C][C][C][Ring1][=Branch1][=O]
Cc1ccc(C(=O)NCCNc2ccc(CC#N)cc2)cc1,[C][C][=C][C][=C][Branch2][Ring1][=Branch1][C][=Branch1][C][=O][N][C][C][N][C][=C][C][=C][Branch1][Ring2][C][C][#N][C][=C][Ring1][=Branch2][C][=C][Ring2][Ring1][Branch1]
COCCNC(=O)c1nc(NC(=O)c2ccc(OC)cc2)sc1C,[C][O][C][C][N][C][=Branch1][C][=O][C][N][=C][Branch2][Ring1][C][N][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][S][C][=Ring1][S][C]
