smiles,0
O=C(NCCc1nc2ccccc2[nH]1)c1ccc(C(F)(F)F)nc1,O=C(NCCc1nc2ccccc2[nH]1)c1ccc(C(F)(F)F)nc1
O=c1ccc(C(F)(F)F)cn1Cc1ncccc1Cl,O=c1ccc(C(F)(F)F)cn1Cc1ncccc1Cl
O=C(Cc1ccc[nH]1)NCc1ccnc(OCCC2CC2)c1,O=C(Cc1ccc[nH]1)NCc1ccnc(OCCC2CC2)c1
Cc1noc(NC(=O)C(C)Sc2cccc(F)c2)n1,Cc1noc(NC(=O)C(C)Sc2cccc(F)c2)n1
O=C(NCCNc1cccnc1)NC1CCc2c(F)cccc21,O=C(NCCNc1cccnc1)NC1CCc2c(F)cccc21
CCC(CC)CC(=O)N1CCN(C(=O)C2CCCO2)CC1,CCC(CC)CC(=O)N1CCN(C(=O)C2CCCO2)CC1
Cc1c(C(=O)N2CCC(n3cccc3)CC2)oc2cccc(F)c12,Cc1c(C(=O)N2CCC(n3cccc3)CC2)oc2cccc(F)c12
Cc1cccc(OC(=O)CCOc2ccccc2C(N)=O)c1C,Cc1cccc(OC(=O)CCOc2ccccc2C(N)=O)c1C
CC(=O)Nc1cccc(-c2noc(-c3ccc4c(c3)OCCO4)n2)c1,CC(=O)Nc1cccc(-c2noc(-c3ccc4c(c3)OCCO4)n2)c1
O=C(NCCc1cn2ccccc2n1)c1cccn2ccnc12,O=C(NCCc1cn2ccccc2n1)c1cccn2ccnc12
O=C(c1cccs1)N1CCC(N2CCCC2=O)C1,O=C1CCCN1C1CCN(C(=O)c2cccs2)C1
N#CC1(C(=O)Nc2cccn(Cc3ccccc3F)c2=O)CCCC1,N#CC1(C(=O)Nc2cccn(Cc3ccccc3F)c2=O)CCCC1
Cc1cccc(C(=O)N2CC(c3nc(C)no3)Cc3ccccc32)n1,Cc1cccc(C(=O)N2CC(c3nc(C)no3)Cc3ccccc32)n1
CCOCCOCC(=O)Nc1nnc(C(C)(C)C)s1,CCOCCOCC(=O)Nc1nnc(C(C)(C)C)s1
COCc1ccccc1C(=O)N(C)CC1CCc2ccccc2O1,COCc1ccccc1C(=O)N(C)CC1CCc2ccccc2O1
Cc1cc(N2CCN(C(=O)c3ccc[nH]3)CC2)n2nc(C)cc2n1,Cc1cc(N2CCN(C(=O)c3ccc[nH]3)CC2)n2nc(C)cc2n1
COc1cc(C(O)C(C#N)c2ccco2)ccc1C,COc1cc(C(O)C(C#N)c2ccco2)ccc1C
O=C(C1CCN(S(=O)(=O)N2CCCCCC2)CC1)N1CCCC1,O=C(C1CCN(S(=O)(=O)N2CCCCCC2)CC1)N1CCCC1
Nc1oc(-c2ccoc2)nc1C(=O)Nc1ccc(F)cc1,Nc1oc(-c2ccoc2)nc1C(=O)Nc1ccc(F)cc1
CC(CCc1ccccc1)NC(=O)c1ccccc1-n1cnnn1,CC(CCc1ccccc1)NC(=O)c1ccccc1-n1cnnn1
Cc1cccc(CNC(=O)Cn2cnc3cc(C)c(C)cc3c2=O)n1,Cc1cc2ncn(CC(=O)NCc3cccc(C)n3)c(=O)c2cc1C
COc1ccccc1NC(=O)C1CN(C(=O)c2ccsc2)C1,COc1ccccc1NC(=O)C1CN(C(=O)c2ccsc2)C1
CS(=O)(=O)NCc1ccccc1NCc1coc(CO)n1,CS(=O)(=O)NCc1ccccc1NCc1coc(CO)n1
CC(C)(C)OC(=O)N1CCC2C(O1)C2C(=O)NCc1cccnc1,CC(C)(C)OC(=O)N1CCC2C(C(=O)NCc3cccnc3)C2O1
CC(Nc1cccc(Cl)c1)C(=O)N1CCNC(=O)C1,CC(Nc1cccc(Cl)c1)C(=O)N1CCNC(=O)C1
Cc1ccc(OCC(O)CN2CCN(c3ccccc3)CC2)cc1,Cc1ccc(OCC(O)CN2CCN(c3ccccc3)CC2)cc1
CC(=O)c1ccc(COC(=O)c2ccc3[nH]cnc3c2)cc1,CC(=O)c1ccc(COC(=O)c2ccc3[nH]cnc3c2)cc1
O=C(Nc1cccc(Cl)c1)c1cccc(-c2nnco2)c1,O=C(Nc1cccc(Cl)c1)c1cccc(-c2nnco2)c1
