smiles,0
O=C(NCCn1ncccc1=O)c1cn2cccnc2n1,O=C(NCCn1ncccc1=O)c1cn2cccnc2n1
O=C(Cn1ccc(=O)c2ccccc21)Nc1cccnc1,O=c1ccn(CC(=O)Nc2cccnc2)c2ccccc12
O=C(Cc1ccc[nH]1)NCc1ccnc(OCCC2CC2)c1,O=C(Cc1ccc[nH]1)NCc1ccnc(OCCC2CC2)c1
Cc1noc(NC(=O)C(C)Sc2cccc(F)c2)n1,Cc1noc(NC(=O)C(C)Sc2cccc(F)c2)n1
O=C(NCCNc1cccnc1-n1cccc1)C1CC=CC1,O=C(NCCNc1cccnc1-n1cccc1)C1CC=CC1
CCC(C)C(C)NC(=O)Nc1cnn(CC(=O)N(CC)CC)c1,CCC(C)C(C)NC(=O)Nc1cnn(CC(=O)N(CC)CC)c1
Cc1c(C(=O)N2CCCN(C(=O)C3CC3)CC2)cnn1C,Cc1c(C(=O)N2CCCN(C(=O)C3CC3)CC2)cnn1C
Cc1cccc(OC(=O)CCOc2ccccc2Cl)n1,Cc1cccc(OC(=O)CCOc2ccccc2Cl)n1
CC(CNC(=O)c1cnc2ccccc2n1)c1nc(-c2ccccc2)no1,CC(CNC(=O)c1cnc2ccccc2n1)c1nc(-c2ccccc2)no1
O=C(Nc1cc(N2CCCCC2)ncn1)c1ccco1,O=C(Nc1cc(N2CCCCC2)ncn1)c1ccco1
O=C(NCCc1cn2ccccc2n1)c1cccnc1N1CCCC1,O=C(NCCc1cn2ccccc2n1)c1cccnc1N1CCCC1
O=C(Cc1ccsc1)N1CC(c2nc(-c3ccco3)no2)C1,O=C(Cc1ccsc1)N1CC(c2nc(-c3ccco3)no2)C1
N#CCCNC(=O)c1nccc2c(N)ccc(Cl)c12,N#CCCNC(=O)c1nccc2c(N)ccc(Cl)c12
O=S(=O)(c1ccc(F)cc1)N1CC(c2nc3ccccc3[nH]2)C1,O=S(=O)(c1ccc(F)cc1)N1CC(c2nc3ccccc3[nH]2)C1
O=C(NCCO)Nc1ccccc1C(F)(F)F,O=C(NCCO)Nc1ccccc1C(F)(F)F
Cc1cccc(C(=O)N2CC(c3nc(C)no3)C2)n1,Cc1cccc(C(=O)N2CC(c3nc(C)no3)C2)n1
CCOCC1CCN(C(=O)Nc2cccc(-c3nccs3)c2)CC1,CCOCC1CCN(C(=O)Nc2cccc(-c3nccs3)c2)CC1
COCc1ccccc1NC(=O)N1CCCC1CO,COCc1ccccc1NC(=O)N1CCCC1CO
Cc1cc(N2CCN(C(=O)c3ccc(F)cc3F)CC2)nc(C(C)C)n1,Cc1cc(N2CCN(C(=O)c3ccc(F)cc3F)CC2)nc(C(C)C)n1
