smiles,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
CCCn1ccnc1Cn1c(CO)nc2ccccc21,<bos>,C,C,C,<2>,c1c[nH]cn1,<3>,C,<4>,c1ccc2[nH]cnc2c1,<5>,C,O,<eos>,,,,,,,,,,,,,,,,,,,,
NC(=O)c1ccccc1C(=O)NCc1ccc(F)cc1,<bos>,F,<3>,c1ccccc1,<0>,C,N,C=O,<5>,c1ccccc1,<0>,C=O,N,<eos>,,,,,,,,,,,,,,,,,,,,
CCCOc1cc2occ(CC(=O)Nc3nccs3)c2cc1C,<bos>,c1cscn1,<3>,N,C=O,C,<6>,c1ccc2occc2c1,<1>,<0>,(,C,),O,C,C,C,<eos>,,,,,,,,,,,,,,,,
CCOc1ccc(C(=O)NCCc2ccc(OC)cc2)nn1,<bos>,C,C,O,<5>,c1ccnnc1,<2>,C=O,N,C,C,<3>,c1ccccc1,<0>,O,C,<eos>,,,,,,,,,,,,,,,,,
Cn1ccnc1C(n1ccnc1N)C(F)(F)F,<bos>,F,C,(,F,),(,F,),C,(,<3>,c1c[nH]cn1,<2>,C,),<2>,c1c[nH]cn1,<3>,N,<eos>,,,,,,,,,,,,,
Cc1cc(C)c(C(=O)NCC(=O)NC2CCCCC2)c(C)c1,<bos>,C,<0>,c1ccccc1,<3>,<2>,(,C,),<4>,(,C,),C=O,N,C,C=O,N,<0>,C1CCCCC1,<eos>,,,,,,,,,,,,,
O=C(NCCNS(=O)(=O)c1ccccc1)c1ccc2c(c1)OCCO2,<bos>,c1ccccc1,<0>,O=[SH2]=O,N,C,C,N,C=O,<0>,c1ccc2c(c1)OCCO2,<eos>,,,,,,,,,,,,,,,,,,,,,,
CC(=O)c1cc(C(=O)NCC(O)CC(C)C)n(C)c1,<bos>,C,C,(,C,),C,C,(,O,),C,N,C=O,<2>,c1cc[nH]c1,<0>,<3>,(,C,),C=O,C,<eos>,,,,,,,,,,
CC(C)CCC(=O)N1CCN=C1Cc1c[nH]c2ccccc12,<bos>,C,C,(,C,),C,C,C=O,<4>,C1=NCCN1,<0>,C,<6>,c1ccc2[nH]ccc2c1,<eos>,,,,,,,,,,,,,,,,,,
Cc1csc(NC(=O)CCc2nc(-c3cccs3)no2)n1,<bos>,C,<0>,c1cscn1,<3>,N,C=O,C,C,<2>,c1ncon1,<0>,<4>,c1ccsc1,<eos>,,,,,,,,,,,,,,,,,,,
O=C(NCc1cccc2cccnc12)c1cccs1,<bos>,c1ccsc1,<4>,C=O,N,C,<2>,c1ccc2ncccc2c1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(NCCS(=O)(=O)c1ccccc1)c1ccccc1Cl,<bos>,Cl,<5>,c1ccccc1,<0>,C=O,N,C,C,O=[SH2]=O,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,,,,,
CC(C)C1CCN(C(=O)CNC(=O)c2ccccc2)C1,<bos>,C,C,(,C,),<0>,C1CCNC1,<3>,C=O,C,N,C=O,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,,
CCn1ccc(C(=O)NCc2ccc(NC(=O)C3CCCC3)cc2)n1,<bos>,C,C,<3>,c1cn[nH]c1,<1>,C=O,N,C,<0>,c1ccccc1,<3>,N,C=O,<0>,C1CCCC1,<eos>,,,,,,,,,,,,,,,,,
Nc1nn2cc(-c3ccc(O)cc3)nc2s1,<bos>,N,<4>,c1cn2ncsc2n1,<0>,<0>,c1ccccc1,<3>,O,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
COc1ccc(Br)cc1NC(=O)NCC1(C)CCOC1,<bos>,C,O,<3>,c1ccccc1,<4>,<0>,(,Br,),N,C=O,N,C,<0>,C1CCOC1,<0>,C,<eos>,,,,,,,,,,,,,,,
CCCC(C)Nc1ncnc(-n2nnc3ccccc32)c1N,<bos>,N,<0>,c1cncnc1,<1>,<5>,(,<4>,c1ccc2[nH]nnc2c1,),N,C,(,C,),C,C,C,<eos>,,,,,,,,,,,,,,,
CCCCCCNC(=O)N1CCC(Oc2cccc(C)n2)CC1,<bos>,C,C,C,C,C,C,N,C=O,<3>,C1CCNCC1,<0>,O,<4>,c1ccncc1,<2>,C,<eos>,,,,,,,,,,,,,,,,
Cc1cccc(OCC(=O)NCc2cccnc2-n2cccn2)c1,<bos>,C,<0>,c1ccccc1,<4>,O,C,C=O,N,C,<1>,c1ccncc1,<2>,<3>,c1cn[nH]c1,<eos>,,,,,,,,,,,,,,,,,,
CN(CC(O)c1ccc(F)cc1)S(C)(=O)=O,<bos>,C,O=[SH2]=O,N,(,C,),C,C,(,O,),<0>,c1ccccc1,<3>,F,<eos>,,,,,,,,,,,,,,,,,
CCCn1nc(C(=O)OCc2ccccc2)ccc1=O,<bos>,C,C,C,<6>,O=c1cccn[nH]1,<4>,C=O,O,C,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,,,,,
O=C(NCc1cc2ccccc2o1)Nc1cnn(-c2ccccc2F)c1,<bos>,F,<5>,c1ccccc1,<0>,<3>,c1cn[nH]c1,<0>,N,C=O,N,C,<5>,c1ccc2occc2c1,<eos>,,,,,,,,,,,,,,,,,,,
O=C(c1ccco1)N1CCN(Cc2cccc3cccnc23)CC1,<bos>,c1ccoc1,<4>,C=O,<2>,C1CNCCN1,<5>,C,<2>,c1ccc2ncccc2c1,<eos>,,,,,,,,,,,,,,,,,,,,,,,
NC(=O)c1ccc(C(=O)N2CCc3ccccc32)cn1,<bos>,N,C=O,<4>,c1ccncc1,<1>,C=O,<8>,c1ccc2c(c1)CCN2,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
CCC(C)C(C)NC(=O)Nc1cccc(C(C)=O)c1C,<bos>,C,C,C,(,C,),C,(,C,),N,C=O,N,<0>,c1ccccc1,<4>,<5>,(,C,),C=O,C,<eos>,,,,,,,,,,
Cc1ccc(CC(=O)Nc2cccc(C(=O)N3CCC3)c2)cc1F,<bos>,C,<3>,c1ccccc1,<0>,<4>,(,F,),C,C=O,N,<0>,c1ccccc1,<4>,C=O,<2>,C1CNC1,<eos>,,,,,,,,,,,,,,,
CCc1noc(CC)c1CC(=O)Nc1ccccc1Br,<bos>,C,C,<1>,c1cnoc1,<0>,<4>,(,C,C,),C,C=O,N,<0>,c1ccccc1,<5>,Br,<eos>,,,,,,,,,,,,,,,
O=C1CCc2ccccc2N1Cc1nc2cc(Cl)ccc2[nH]1,<bos>,Cl,<0>,c1ccc2[nH]cnc2c1,<5>,C,<10>,O=C1CCc2ccccc2N1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,
CCCC1CCc2c(sc(=O)n2Cc2cccc(C#N)c2)C1,<bos>,C,C,C,<7>,O=c1[nH]c2c(s1)CCCC2,<2>,C,<0>,c1ccccc1,<4>,C#N,<eos>,,,,,,,,,,,,,,,,,,,,,
CC(=O)NCCCS(=O)(=O)NC1CCC(C)CC1,<bos>,C,C=O,N,C,C,C,O=[SH2]=O,N,<0>,C1CCCCC1,<3>,C,<eos>,,,,,,,,,,,,,,,,,,,,
Cc1cc(C(=O)NCc2ccc(OC(C)C)c(F)c2)on1,<bos>,C,C,(,C,),O,<3>,c1ccccc1,<0>,<4>,(,F,),C,N,C=O,<4>,c1cnoc1,<1>,C,<eos>,,,,,,,,,,,,
Nc1nnc(SCC2CC2)n1C1CCCCC1,<bos>,N,<3>,c1nnc[nH]1,<0>,<4>,(,<0>,C1CCCCC1,),S,C,<0>,C1CC1,<eos>,,,,,,,,,,,,,,,,,,,
O=C(NCC#Cc1cccc(OC(F)(F)F)c1)c1ccncc1F,<bos>,F,C,(,F,),(,F,),O,<4>,c1ccccc1,<0>,<0>,C#C,<1>,C,N,C=O,<0>,c1ccncc1,<5>,F,<eos>,,,,,,,,,,
Cc1ccsc1CN(C)C(=O)c1ccc(-n2ccnn2)cc1,<bos>,C,<0>,c1ccsc1,<4>,C,N,(,C,),C=O,<0>,c1ccccc1,<3>,<2>,c1c[nH]nn1,<eos>,,,,,,,,,,,,,,,,,
Cc1ccc(Cn2c(-c3cccnc3)nc3cc(N)ccc32)o1,<bos>,N,<0>,c1ccc2[nH]cnc2c1,<4>,<5>,(,<1>,c1ccncc1,),C,<2>,c1ccoc1,<4>,C,<eos>,,,,,,,,,,,,,,,,,,
CN(Cc1ccccc1)C(=O)c1cccc(-c2ccncc2)c1,<bos>,c1ccccc1,<0>,C,N,(,C,),C=O,<0>,c1ccccc1,<4>,<0>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,,
O=C(CCc1ccco1)Nc1ccc(N2CCCC2=O)cc1,<bos>,c1ccoc1,<4>,C,C,C=O,N,<0>,c1ccccc1,<3>,<5>,O=C1CCCN1,<eos>,,,,,,,,,,,,,,,,,,,,,
CC1Cc2ccccc2N1CCC(=O)N1CCCC1,<bos>,C,<7>,c1ccc2c(c1)CCN2,<8>,C,C,C=O,<3>,C1CCNC1,<eos>,,,,,,,,,,,,,,,,,,,,,,,
