smiles,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
CCCn1nccc1NC(=O)CCCOc1ccccc1OC,<bos>,C,C,C,<3>,c1cn[nH]c1,<4>,N,C=O,C,C,C,O,<0>,c1ccccc1,<5>,O,C,<eos>,,,,,,,,,,,,,,,,,,,
O=C(CC=Cc1cccnc1)NCCc1ccccc1Cl,<bos>,Cl,<5>,c1ccccc1,<0>,C,C,N,C=O,C,<0>,C=C,<1>,<1>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,,,,,
Fc1cc(C(F)(F)F)ccc1CN1CCOCC1,<bos>,F,C,(,F,),(,F,),<0>,c1ccccc1,<3>,<4>,(,F,),C,<5>,C1COCCN1,<eos>,,,,,,,,,,,,,,,,,,
COCCOc1ccc(Cl)cc1NC(=O)C(C)OCCO,<bos>,O,C,C,O,C,(,C,),C=O,N,<4>,c1ccccc1,<3>,<0>,(,Cl,),O,C,C,O,C,<eos>,,,,,,,,,,,,,,
COc1ccc(OC)c(C(O)CNC(=O)CCC(C)C)c1,<bos>,C,C,(,C,),C,C,C=O,N,C,C,(,O,),<4>,c1ccccc1,<0>,<3>,(,O,C,),O,C,<eos>,,,,,,,,,,,,
Nc1c(-c2ccncc2)noc1C(=O)NCCc1ccc(F)cc1,<bos>,N,<0>,c1cnoc1,<4>,<1>,(,<0>,c1ccncc1,),C=O,N,C,C,<0>,c1ccccc1,<3>,F,<eos>,,,,,,,,,,,,,,,,,,,
CN(CCCO)C(=O)NCc1c(F)cccc1F,<bos>,F,<0>,c1ccccc1,<5>,<4>,(,F,),C,N,C=O,N,(,C,),C,C,C,O,<eos>,,,,,,,,,,,,,,,,,
CCc1nnc(NC(=O)c2ccc(C(=O)NCC(C)C)cc2)s1,<bos>,C,C,(,C,),C,N,C=O,<3>,c1ccccc1,<0>,C=O,N,<3>,c1nncs1,<0>,C,C,<eos>,,,,,,,,,,,,,,,,,,
O=C(c1nn(-c2cccc(Cl)c2)c2c1CCC2)N1CCOCC1,<bos>,Cl,<4>,c1ccccc1,<0>,<2>,c1n[nH]c2c1CCC2,<0>,C=O,<5>,C1COCCN1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1nn(C(C)C)c(C)c1S(=O)(=O)N(C)Cc1ccccc1,<bos>,C,C,(,C,),<3>,c1cn[nH]c1,<0>,<1>,(,C,),<4>,(,C,),O=[SH2]=O,N,(,C,),C,<0>,c1ccccc1,<eos>,,,,,,,,,,,,
CNS(=O)(=O)c1ccc(C(=O)N(C)CCOCC2CC2)cc1,<bos>,C,N,O=[SH2]=O,<0>,c1ccccc1,<3>,C=O,N,(,C,),C,C,O,C,<0>,C1CC1,<eos>,,,,,,,,,,,,,,,,,,,
CCc1nn(C)c(CC)c1CN(C)C(=O)c1ccc(Cl)cc1,<bos>,C,C,<1>,c1cn[nH]c1,<0>,<4>,(,C,C,),<3>,(,C,),C,N,(,C,),C=O,<0>,c1ccccc1,<3>,Cl,<eos>,,,,,,,,,,,,
COC(=O)c1c(NC(=O)c2ccnc(SC)c2)sc2c1CCC2,<bos>,C,O,C=O,<1>,c1cc2c(s1)CCC2,<0>,N,C=O,<0>,c1ccncc1,<4>,S,C,<eos>,,,,,,,,,,,,,,,,,,,,,,,
O=C(NCc1ccncc1)c1cc(-c2ccccc2)on1,<bos>,c1ccccc1,<0>,<4>,c1cnoc1,<1>,C=O,N,C,<0>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1c(Cl)cccc1NC(=O)CSc1nnnn1C1CC1,<bos>,C,<5>,c1ccccc1,<4>,<0>,(,Cl,),N,C=O,C,S,<0>,c1nnn[nH]1,<4>,<0>,C1CC1,<eos>,,,,,,,,,,,,,,,,,,,
CCOC(=O)N1CCN(CC(=O)Nc2ccc(F)cc2)CC1,<bos>,C,C,O,C=O,<2>,C1CNCCN1,<5>,C,C=O,N,<0>,c1ccccc1,<3>,F,<eos>,,,,,,,,,,,,,,,,,,,,,,
Cc1ccc(F)c(C(=O)N2CCN(C(=O)C3CCCO3)CC2)c1,<bos>,C,<0>,c1ccccc1,<4>,<3>,(,F,),C=O,<2>,C1CNCCN1,<5>,C=O,<4>,C1CCOC1,<eos>,,,,,,,,,,,,,,,,,,,,,
N#Cc1cccc(CNC(=O)c2cnc(C3CCCO3)s2)c1,<bos>,C1CCOC1,<4>,<3>,c1cscn1,<1>,C=O,N,C,<4>,c1ccccc1,<0>,C#N,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
CC(NC(=O)Cc1cccc(Cl)c1)c1ccc(-n2cncn2)cc1,<bos>,c1nc[nH]n1,<3>,<3>,c1ccccc1,<0>,C,(,C,),N,C=O,C,<0>,c1ccccc1,<4>,Cl,<eos>,,,,,,,,,,,,,,,,,,,,
Cc1ccc(F)cc1S(=O)(=O)N1CCC(C(=O)N(C)C)CC1,<bos>,C,<3>,c1ccccc1,<4>,<0>,(,F,),O=[SH2]=O,<3>,C1CCNCC1,<0>,C=O,N,(,C,),C,<eos>,,,,,,,,,,,,,,,,,,
CCCCS(=O)(=O)NC1=NCN(c2ccc(C)cc2)CN1,<bos>,C,C,C,C,O=[SH2]=O,N,<0>,C1=NCNCN1,<3>,<0>,c1ccccc1,<3>,C,<eos>,,,,,,,,,,,,,,,,,,,,,,,
COCC(C)N1CCN(C(=O)CCn2ccccc2=O)CC1,<bos>,C,O,C,C,(,C,),<2>,C1CNCCN1,<5>,C=O,C,C,<6>,O=c1cccc[nH]1,<eos>,,,,,,,,,,,,,,,,,,,,,
Cc1cc2c(o1)CC(C)(C)CC2NC(=O)N1CCCC(C)CC1,<bos>,C,<6>,c1cc2c(o1)CCCC2,<8>,<6>,(,C,),<0>,(,C,),N,C=O,<4>,C1CCCNCC1,<0>,C,<eos>,,,,,,,,,,,,,,,,,,
Cc1ccc(C)c(SCC(=O)N2CCCC(C(N)=O)C2)c1,<bos>,C,<0>,c1ccccc1,<4>,<3>,(,C,),S,C,C=O,<3>,C1CCNCC1,<1>,C=O,N,<eos>,,,,,,,,,,,,,,,,,,,,
COc1ccc(Cn2nc(CO)cc2-c2ccccc2)cc1,<bos>,O,C,<1>,c1cn[nH]c1,<3>,<4>,(,<0>,c1ccccc1,),C,<3>,c1ccccc1,<0>,O,C,<eos>,,,,,,,,,,,,,,,,,,,,
O=C(CSc1nncs1)N1CCOc2ccccc21,<bos>,c1nncs1,<0>,S,C,C=O,<6>,c1ccc2c(c1)NCCO2,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,<bos>,C,C,<1>,c1cc[nH]c1,<2>,<0>,(,C=O,C,),<1>,(,C,),C=O,N,C,<0>,c1nnc[nH]1,<4>,C,<eos>,,,,,,,,,,,,,,,
COc1ccccc1OCC(=O)Nc1ccc2c(c1)CCC(=O)N2C(C)C,<bos>,C,C,(,C,),<10>,O=C1CCc2ccccc2N1,<6>,N,C=O,C,O,<5>,c1ccccc1,<0>,O,C,<eos>,,,,,,,,,,,,,,,,,,,
CCOC1CCN(C(=O)c2cnn(C)c2)C2CCOC12,<bos>,C,C,O,<8>,C1CNC2CCOC2C1,<2>,C=O,<0>,c1cn[nH]c1,<3>,C,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,
CCC(NC(=O)c1cc(C2CC2)nc2ccccc12)C(N)=O,<bos>,C,C,C,(,C=O,N,),N,C=O,<7>,c1ccc2ncccc2c1,<5>,<0>,C1CC1,<eos>,,,,,,,,,,,,,,,,,,,,,,
CC(C)Cc1cc(C(=O)NCCN2CCOCC2)no1,<bos>,C,C,(,C,),C,<4>,c1cnoc1,<1>,C=O,N,C,C,<5>,C1COCCN1,<eos>,,,,,,,,,,,,,,,,,,,,,
COc1ccc(C(=O)CCC(=O)N2CCC(C(N)=O)C2)cc1N,<bos>,C,O,<3>,c1ccccc1,<0>,<4>,(,N,),C=O,C,C,C=O,<3>,C1CCNC1,<0>,C=O,N,<eos>,,,,,,,,,,,,,,,,,,
CCCCN(CC)C(=O)c1ccc(-c2ccccc2)[nH]c1=O,<bos>,C,C,C,C,N,(,C,C,),C=O,<2>,O=c1cccc[nH]1,<5>,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,,,,,
CC(NC(=O)Cn1c(=O)oc2ccccc21)c1ccncc1,<bos>,C,C,(,<0>,c1ccncc1,),N,C=O,C,<2>,O=c1[nH]c2ccccc2o1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1nc2c3c(C)c(C(C)C)[nH]c3ncn2n1,<bos>,C,<0>,c1nc2c3cc[nH]c3ncn2n1,<5>,<4>,(,C,),C,(,C,),C,<eos>,,,,,,,,,,,,,,,,,,,,,,,
CC(C)n1cnnc1C1CCN(C(=O)c2cccnc2N(C)C)CC1,<bos>,C,C,(,C,),<4>,c1nnc[nH]1,<0>,<0>,C1CCNCC1,<3>,C=O,<1>,c1ccncc1,<2>,N,(,C,),C,<eos>,,,,,,,,,,,,,,,,
CC(NC(=O)c1ccco1)C(=O)Nc1ccccc1F,<bos>,c1ccoc1,<2>,C=O,N,C,(,C,),C=O,N,<0>,c1ccccc1,<5>,F,<eos>,,,,,,,,,,,,,,,,,,,,,,
CC(=O)c1cccc(NC(=O)NCCc2cccnc2)c1,<bos>,C,C=O,<0>,c1ccccc1,<4>,N,C=O,N,C,C,<1>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
C#CCNC(=O)c1cccc(F)c1NCc1ccc(F)cc1,<bos>,F,<3>,c1ccccc1,<0>,C,N,<5>,c1ccccc1,<0>,<4>,(,F,),C=O,N,C,<0>,C#C,<eos>,,,,,,,,,,,,,,,,,,
O=C(NCCCSc1ccc(F)cc1)c1ccc[nH]1,<bos>,F,<3>,c1ccccc1,<0>,S,C,C,C,N,C=O,<4>,c1cc[nH]c1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
Cc1cccc(OCCCNc2c(C)cc(N)cc2C)c1,<bos>,C,<2>,c1ccccc1,<3>,<4>,(,C,),<0>,(,N,),N,C,C,C,O,<4>,c1ccccc1,<0>,C,<eos>,,,,,,,,,,,,,,,
CN(C(=O)CNC(=O)c1cccc(F)c1)C1(C#N)CCC1,<bos>,C#N,<0>,C1CCC1,<0>,N,(,C,),C=O,C,N,C=O,<0>,c1ccccc1,<4>,F,<eos>,,,,,,,,,,,,,,,,,,,,
CSc1ncccc1C(=O)NCc1cccnc1,<bos>,C,S,<2>,c1ccncc1,<1>,C=O,N,C,<1>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,
O=c1cc[nH]c(Br)c1OCCOC1CC1,<bos>,C1CC1,<0>,O,C,C,O,<2>,O=c1cc[nH]cc1,<3>,Br,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,
CCOC(=O)C1CCCN(C(=O)c2sccc2C)C1,<bos>,C,C,O,C=O,<1>,C1CCNCC1,<3>,C=O,<4>,c1ccsc1,<0>,C,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
O=C(NCc1ccccc1CN1CCOCC1)c1ccncc1F,<bos>,F,<5>,c1ccncc1,<0>,C=O,N,C,<0>,c1ccccc1,<5>,C,<5>,C1COCCN1,<eos>,,,,,,,,,,,,,,,,,,,,,,,
CCN(C(=O)C(C)N1CCN(c2ccccc2)CC1)c1cccc(C)c1,<bos>,C,C,N,(,<0>,c1ccccc1,<4>,C,),C=O,C,(,C,),<2>,C1CNCCN1,<5>,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,
COc1ccc(NC(=O)Nc2ccc3c(c2)COC3)c(OC)c1,<bos>,C,O,<0>,c1ccccc1,<3>,<4>,(,O,C,),N,C=O,N,<0>,c1ccc2c(c1)COC2,<eos>,,,,,,,,,,,,,,,,,,,,,
O=C(CS(=O)(=O)c1ccccc1)Nc1nc(-c2cccnc2)n[nH]1,<bos>,c1ccccc1,<0>,O=[SH2]=O,C,C=O,N,<2>,c1nc[nH]n1,<0>,<1>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,
O=c1c2ccccc2nnn1CCCc1nnc(-c2ccccc2)o1,<bos>,c1ccccc1,<0>,<3>,c1nnco1,<0>,C,C,C,<2>,O=c1[nH]nnc2ccccc12,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)(C)C(=O)CCC(=O)NC1(C(N)=O)CCCCC1,<bos>,C,C,(,C,),(,C,),C=O,C,C,C=O,N,<0>,C1CCCCC1,<0>,C=O,N,<eos>,,,,,,,,,,,,,,,,,,
Cc1c(NC(=O)c2ccncc2-n2cnnc2)ccc2c1OCO2,<bos>,C,<5>,c1ccc2c(c1)OCO2,<0>,N,C=O,<0>,c1ccncc1,<5>,<4>,c1nnc[nH]1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,
COCCNS(=O)(=O)c1cc(CC#N)ccc1OC,<bos>,C#N,C,<0>,c1ccccc1,<4>,<3>,(,O,C,),O=[SH2]=O,N,C,C,O,C,<eos>,,,,,,,,,,,,,,,,,,,,
Cc1sc2ncnc(NCc3ccccn3)c2c1C,<bos>,C,<5>,c1ncc2ccsc2n1,<2>,<4>,(,C,),N,C,<2>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
COCCNC(=O)c1cnn(-c2ccc(OC)cc2)c1,<bos>,C,O,C,C,N,C=O,<0>,c1cn[nH]c1,<3>,<3>,c1ccccc1,<0>,O,C,<eos>,,,,,,,,,,,,,,,,,,,,,,
Cc1cc(C(=O)CSc2ccccn2)c(C)n1Cc1ccco1,<bos>,c1ccoc1,<4>,C,<3>,c1cc[nH]c1,<0>,<2>,(,C,),<4>,(,C,),C=O,C,S,<2>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,
O=C(Nc1ccccc1F)N1CCN(CC2CCC2)CC1,<bos>,F,<5>,c1ccccc1,<0>,N,C=O,<2>,C1CNCCN1,<5>,C,<0>,C1CCC1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
CCc1nnc(SCC(=O)Nc2nc(C)ns2)n1CCO,<bos>,O,C,C,<4>,c1nnc[nH]1,<3>,<0>,(,C,C,),S,C,C=O,N,<2>,c1ncsn1,<0>,C,<eos>,,,,,,,,,,,,,,,,,
CCCCNC(=O)N1CCN(C(=O)c2cccc(OC)c2)CC1,<bos>,C,C,C,C,N,C=O,<2>,C1CNCCN1,<5>,C=O,<0>,c1ccccc1,<4>,O,C,<eos>,,,,,,,,,,,,,,,,,,,,,
CCOC(=O)C1=C(C(C)(O)C2CC2)N(c2ccccc2O)C(=O)NC1C,<bos>,C,C,(,O,),(,<0>,C1CC1,),<3>,O=C1NC=CCN1,<4>,<5>,(,C,),<2>,(,<0>,c1ccccc1,<5>,O,),C=O,O,C,C,<eos>,,,,,,,,,
Cc1[nH]c2ccccc2c1C(=O)CCC(=O)NCc1ccccc1,<bos>,C,<5>,c1ccc2[nH]ccc2c1,<6>,C=O,C,C,C=O,N,C,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
O=C(NCCCNC(=O)C12CC3CC(CC(C3)C1)C2)C1CC1,<bos>,C1CC1,<0>,C=O,N,C,C,C,N,C=O,<7>,C1C2CC3CC1CC(C2)C3,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,
COCCCN(C)S(=O)(=O)c1ccc(C)c(C)c1,<bos>,C,<3>,c1ccccc1,<0>,<4>,(,C,),O=[SH2]=O,N,(,C,),C,C,C,O,C,<eos>,,,,,,,,,,,,,,,,,,
CC(=O)NC1CCN(C(=O)NCCc2ccc(C(N)=O)cc2)CC1,<bos>,C,C=O,N,<0>,C1CCNCC1,<3>,C=O,N,C,C,<0>,c1ccccc1,<3>,C=O,N,<eos>,,,,,,,,,,,,,,,,,,,,,
