smiles,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
Cc1nc(-c2cc(C(=O)NC3c4ccccc4CC3O)n(C)c2)cs1,<bos>,C,<3>,c1cscn1,<0>,<0>,c1cc[nH]c1,<2>,<3>,(,C,),C=O,N,<8>,c1ccc2c(c1)CCC2,<7>,O,<eos>,,,,,,,,,,,,,,,,,,
C=CCN(CC)C(=O)Cc1csc(NCc2ccco2)n1,<bos>,C,C,N,(,C,<0>,C=C,),C=O,C,<0>,c1cscn1,<3>,N,C,<4>,c1ccoc1,<eos>,,,,,,,,,,,,,,,,,,
O=C(NCCNc1ncccn1)c1ccn(-c2ccccc2)c(=O)c1,<bos>,c1ccccc1,<0>,<6>,O=c1cccc[nH]1,<3>,C=O,N,C,C,N,<3>,c1cncnc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,
CCCS(=O)(=O)NCc1ccc(S(=O)(=O)N2CCCC2)cc1,<bos>,C,C,C,O=[SH2]=O,N,C,<0>,c1ccccc1,<3>,O=[SH2]=O,<3>,C1CCNC1,<eos>,,,,,,,,,,,,,,,,,,,,,,,
CC(NC(=O)NCc1ccccc1)c1ccc(Cl)cc1Cl,<bos>,Cl,<0>,c1ccccc1,<3>,<4>,(,Cl,),C,(,C,),N,C=O,N,C,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,
COC(=O)c1c(C)[nH]c(C(=O)NCCc2cccc3ccccc23)c1C,<bos>,C,O,C=O,<1>,c1cc[nH]c1,<4>,<2>,(,C,),<0>,(,C,),C=O,N,C,C,<2>,c1ccc2ccccc2c1,<eos>,,,,,,,,,,,,,,,
CC(C)CC(NC(=O)NC1C=CC(CCO)C1)C1CCCCO1,<bos>,C,C,(,C,),C,C,(,<2>,C1CCOCC1,),N,C=O,N,<4>,C1=CCCC1,<2>,C,C,O,<eos>,,,,,,,,,,,,,,,
COc1cccc(CCN(C)C(=O)c2cc(CC(C)C)nn2C)c1,<bos>,C,C,(,C,),C,<1>,c1cn[nH]c1,<4>,<3>,(,C,),C=O,N,(,C,),C,C,<4>,c1ccccc1,<0>,O,C,<eos>,,,,,,,,,,
CC1CCCC(NC(=O)c2nc(C3CC3)cs2)C1C,<bos>,C,<0>,C1CCCCC1,<4>,<5>,(,C,),N,C=O,<3>,c1cscn1,<0>,<0>,C1CC1,<eos>,,,,,,,,,,,,,,,,,,,,
COc1ccc(F)cc1NC(=O)CSc1nnc(C)s1,<bos>,C,O,<3>,c1ccccc1,<4>,<0>,(,F,),N,C=O,C,S,<0>,c1nncs1,<3>,C,<eos>,,,,,,,,,,,,,,,,,,
