smiles,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
CCCn1ccnc1CC1CCCN(Cc2nc3c(cnn3C)c(=O)[nH]2)C1,<bos>,C,C,C,<2>,c1c[nH]cn1,<3>,C,<1>,C1CCNCC1,<3>,C,<3>,O=c1[nH]cnc2[nH]ncc12,<6>,C,<eos>,,,,,,,,,,,,,,,,,
Cc1cccc(OCC(C)NC(=O)Nc2ccc(F)c(F)c2F)c1,<bos>,F,<3>,c1ccccc1,<0>,<4>,(,F,),<5>,(,F,),N,C=O,N,C,(,C,),C,O,<4>,c1ccccc1,<0>,C,<eos>,,,,,,,
O=C(Cc1coc2ccc(-c3ccccc3)cc12)Nc1nccs1,<bos>,c1cscn1,<3>,N,C=O,C,<6>,c1ccc2occc2c1,<0>,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,,,,,,
CCOc1ccc2[nH]cc(C(=O)NCc3cccnc3)c(=O)c2c1,<bos>,C,C,O,<8>,O=c1cc[nH]c2ccccc12,<2>,C=O,N,C,<1>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,,,,
CCCCN(C)C(=O)c1ccc(SCC)nc1,<bos>,C,C,C,C,N,(,C,),C=O,<1>,c1ccncc1,<4>,S,C,C,<eos>,,,,,,,,,,,,,,,,,
C#CCNC(=O)C(C)N(c1ccc(C)cc1)S(C)(=O)=O,<bos>,C,<0>,c1ccccc1,<3>,N,(,O=[SH2]=O,C,),C,(,C,),C=O,N,C,<0>,C#C,<eos>,,,,,,,,,,,,,,
CC(C)CNC(=O)CCS(=O)(=O)c1ccc(N)cc1,<bos>,C,C,(,C,),C,N,C=O,C,C,O=[SH2]=O,<0>,c1ccccc1,<3>,N,<eos>,,,,,,,,,,,,,,,,,
CC(C)CC(O)CCNC(=O)c1ccc(=O)[nH]c1,<bos>,C,C,(,C,),C,C,(,O,),C,C,N,C=O,<4>,O=c1cccc[nH]1,<eos>,,,,,,,,,,,,,,,,
COc1ccc(C2NC(=O)NC(C)=C2C(=O)OCC(C)C)cc1OC,<bos>,C,C,(,C,),C,O,C=O,<4>,O=C1NC=CCN1,<5>,<3>,(,C,),<0>,c1ccccc1,<3>,<4>,(,O,C,),O,C,<eos>,,,,,,,
Cc1nc(-c2ccncc2)sc1C(=O)N1CCC(C)C(C)C1,<bos>,C,<0>,c1cscn1,<1>,<3>,(,<0>,c1ccncc1,),C=O,<3>,C1CCNCC1,<0>,<5>,(,C,),C,<eos>,,,,,,,,,,,,,,
O=C(Nc1cccc(F)c1)N(Cc1cccs1)C1CC1,<bos>,c1ccsc1,<4>,C,N,(,<0>,C1CC1,),C=O,N,<0>,c1ccccc1,<4>,F,<eos>,,,,,,,,,,,,,,,,,,
O=C(NCCS(=O)(=O)c1ccncc1)c1ccccc1Cl,<bos>,Cl,<5>,c1ccccc1,<0>,C=O,N,C,C,O=[SH2]=O,<0>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,,,,
CC(C)C1CN(c2ccnc(N)n2)CC1C(=O)Nc1ccncc1,<bos>,C,C,(,C,),<0>,C1CCNC1,<1>,<3>,(,<1>,c1cncnc1,<3>,N,),C=O,N,<0>,c1ccncc1,<eos>,,,,,,,,,,,,,
CCNC(=O)C(Sc1nnc(C)n1N)c1ccc(Cl)cc1,<bos>,N,<4>,c1nnc[nH]1,<3>,<0>,(,C,),S,C,(,<0>,c1ccccc1,<3>,Cl,),C=O,N,C,C,<eos>,,,,,,,,,,,,
COc1ccc(F)cc1NC(=O)NCC1CCOC1,<bos>,C,O,<3>,c1ccccc1,<4>,<0>,(,F,),N,C=O,N,C,<0>,C1CCOC1,<eos>,,,,,,,,,,,,,,,,,
CCC(C)Nc1ncnc(-n2nnc3ccccc32)c1N,<bos>,N,<0>,c1cncnc1,<1>,<5>,(,<4>,c1ccc2[nH]nnc2c1,),N,C,(,C,),C,C,<eos>,,,,,,,,,,,,,,,,
CNC(=O)Cc1csc(NC(=O)NC2CCCCC2)n1,<bos>,C,N,C=O,C,<0>,c1cscn1,<3>,N,C=O,N,<0>,C1CCCCC1,<eos>,,,,,,,,,,,,,,,,,,,,
Cc1cccc(OCCNC(=O)C2CCCN(C(N)=O)C2)c1,<bos>,C,<0>,c1ccccc1,<4>,O,C,C,N,C=O,<1>,C1CCNCC1,<3>,C=O,N,<eos>,,,,,,,,,,,,,,,,,,
CN(CCCc1nc(-c2cc3ccccc3o2)no1)S(C)(=O)=O,<bos>,C,O=[SH2]=O,N,(,C,),C,C,C,<2>,c1ncon1,<0>,<5>,c1ccc2occc2c1,<eos>,,,,,,,,,,,,,,,,,,
O=C(NCCOCCO)Nc1cnn(-c2ccccc2F)c1,<bos>,F,<5>,c1ccccc1,<0>,<3>,c1cn[nH]c1,<0>,N,C=O,N,C,C,O,C,C,O,<eos>,,,,,,,,,,,,,,,,
CCN(Cc1ccc2c(c1)OCO2)Cc1cc(=O)c(O)co1,<bos>,C,C,N,(,C,<0>,c1ccc2c(c1)OCO2,),C,<3>,O=c1ccocc1,<6>,O,<eos>,,,,,,,,,,,,,,,,,,,
CCc1noc(CC)c1CC(=O)NC1CCN(C(=O)c2ccoc2C)C1,<bos>,C,C,<1>,c1cnoc1,<0>,<4>,(,C,C,),C,C=O,N,<0>,C1CCNC1,<3>,C=O,<0>,c1ccoc1,<4>,C,<eos>,,,,,,,,,,,
O=C1CCc2ccccc2N1Cc1nc2cc(Cl)ccc2[nH]1,<bos>,Cl,<0>,c1ccc2[nH]cnc2c1,<5>,C,<10>,O=C1CCc2ccccc2N1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,
CCCC1CCc2c(sc(=O)n2Cc2cccc(C#N)c2)C1,<bos>,C,C,C,<7>,O=c1[nH]c2c(s1)CCCC2,<2>,C,<0>,c1ccccc1,<4>,C#N,<eos>,,,,,,,,,,,,,,,,,,,,,
CC(=O)NCCCS(=O)(=O)NC1(C(N)=O)CCCCC1,<bos>,C,C=O,N,C,C,C,O=[SH2]=O,N,<0>,C1CCCCC1,<0>,C=O,N,<eos>,,,,,,,,,,,,,,,,,,,
Cc1cc(C(=O)NCc2ccc(OC(C)C)c(F)c2)on1,<bos>,C,C,(,C,),O,<3>,c1ccccc1,<0>,<4>,(,F,),C,N,C=O,<4>,c1cnoc1,<1>,C,<eos>,,,,,,,,,,,,
Nc1nncn1-c1ccccc1NC(=O)c1cc[nH]n1,<bos>,N,<0>,c1nnc[nH]1,<4>,<0>,c1ccccc1,<5>,N,C=O,<1>,c1cn[nH]c1,<eos>,,,,,,,,,,,,,,,,,,,,,
Cc1ccsc1CN(C)C(=O)c1ccc(-n2ccnn2)cc1,<bos>,C,<0>,c1ccsc1,<4>,C,N,(,C,),C=O,<0>,c1ccccc1,<3>,<2>,c1c[nH]nn1,<eos>,,,,,,,,,,,,,,,,,
Nc1ccc2c(c1)nc(-c1cccnc1)n2Cc1ccccn1,<bos>,N,<0>,c1ccc2[nH]cnc2c1,<4>,<5>,(,<1>,c1ccncc1,),C,<2>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,,,
