smiles,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
CCNc1cccc(C(=O)N2CCCC(C)C2)n1,<bos>,C,C,N,<2>,c1ccncc1,<4>,C=O,<3>,C1CCNCC1,<1>,C,<eos>,,,,,,,,,,,,,,,,,,,,,,,
CCCN1CC(C(=O)N(C)Cc2cnn(C)c2)CC1=O,<bos>,C,<3>,c1cn[nH]c1,<0>,C,N,(,C,),C=O,<3>,O=C1CCCN1,<5>,C,C,C,<eos>,,,,,,,,,,,,,,,,,,
O=S(=O)(c1cccnc1)N(CCc1ccc(F)cc1)C1CC1,<bos>,c1ccncc1,<1>,O=[SH2]=O,N,(,<0>,C1CC1,),C,C,<0>,c1ccccc1,<3>,F,<eos>,,,,,,,,,,,,,,,,,,,,
O=C1NCCOC2CN(C(=O)C3CCOCC3)CCC12,<bos>,C1CCOCC1,<0>,C=O,<8>,O=C1NCCOC2CNCCC12,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCCOC(=O)c1ccc(S(=O)(=O)N(C)C)cc1,<bos>,C,N,(,C,),O=[SH2]=O,<3>,c1ccccc1,<0>,C=O,O,C,C,C,C,<eos>,,,,,,,,,,,,,,,,,,,
CC(C)COC1CCN(C(=O)C(C)CCc2ccccc2)CC1,<bos>,C,C,(,C,),C,O,<0>,C1CCNCC1,<3>,C=O,C,(,C,),C,C,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,
N#CCCN1CCN(C(=O)Cc2cccc(C(F)(F)F)c2)CC1,<bos>,F,C,(,F,),(,F,),<4>,c1ccccc1,<0>,C,C=O,<2>,C1CNCCN1,<5>,C,C,C#N,<eos>,,,,,,,,,,,,,,,
CCOC(=O)C1CCN(C(=O)Nc2c(F)cccc2F)CC1,<bos>,F,<0>,c1ccccc1,<5>,<4>,(,F,),N,C=O,<3>,C1CCNCC1,<0>,C=O,O,C,C,<eos>,,,,,,,,,,,,,,,,,
FC(F)(F)COC1CCC2C1OCCN2Cc1ccccn1,<bos>,F,C,(,F,),(,F,),C,O,<8>,C1CC2NCCOC2C1,<3>,C,<2>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,
CN(Cc1cncc(F)c1)Cc1nc2c(cnn2C)c(=O)[nH]1,<bos>,F,<5>,c1ccncc1,<1>,C,N,(,C,),C,<3>,O=c1[nH]cnc2[nH]ncc12,<6>,C,<eos>,,,,,,,,,,,,,,,,,,,,
CCOC(=O)Cc1csc(-c2ccc3c(c2)OCO3)n1,<bos>,C,C,O,C=O,C,<0>,c1cscn1,<3>,<0>,c1ccc2c(c1)OCO2,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
CSc1ncc(CCCO)n1-c1noc(-c2cccc(F)c2)n1,<bos>,C,S,<3>,c1c[nH]cn1,<1>,<2>,(,<0>,c1ncon1,<2>,<0>,c1ccccc1,<4>,F,),C,C,C,O,<eos>,,,,,,,,,,,,,,,
Cc1cc(NC(=O)Cn2nc3c4ccccc4ncn3c2=O)no1,<bos>,C,<4>,c1cnoc1,<1>,N,C=O,C,<2>,O=c1[nH]nc2c3ccccc3ncn12,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,
COc1ccc(Br)cc1CNC(=O)Nc1nonc1C,<bos>,C,O,<3>,c1ccccc1,<4>,<0>,(,Br,),C,N,C=O,N,<0>,c1cnon1,<1>,C,<eos>,,,,,,,,,,,,,,,,,
CCNC(=O)CNC(=O)C1CC(=O)N(c2ccc(C)cc2C)C1,<bos>,C,<0>,c1ccccc1,<3>,<4>,(,C,),<5>,O=C1CCCN1,<3>,C=O,N,C,C=O,N,C,C,<eos>,,,,,,,,,,,,,,,,
CCC(C)Oc1cc(F)ccc1NCc1cnn(CC)c1,<bos>,C,C,C,(,C,),O,<4>,c1ccccc1,<3>,<0>,(,F,),N,C,<0>,c1cn[nH]c1,<3>,C,C,<eos>,,,,,,,,,,,,,
CC(NC(=O)c1n[nH]c2c1CCC2)c1nc(-c2ccncc2)n[nH]1,<bos>,c1ccncc1,<0>,<0>,c1nc[nH]n1,<2>,C,(,C,),N,C=O,<0>,c1n[nH]c2c1CCC2,<eos>,,,,,,,,,,,,,,,,,,,,,
c1ccc(C(Sc2nc(C3CC3)n[nH]2)c2ccccn2)cc1,<bos>,c1ccccc1,<0>,C,(,<2>,c1ccncc1,),S,<2>,c1nc[nH]n1,<0>,<0>,C1CC1,<eos>,,,,,,,,,,,,,,,,,,,,,
O=C(Cc1ccsc1)N1CCN(c2cccc(Cl)c2)CC1,<bos>,Cl,<4>,c1ccccc1,<0>,<5>,C1CNCCN1,<2>,C=O,C,<0>,c1ccsc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,
CCOC(=O)N1CCCC1C(=O)NC1CCCC1,<bos>,C,C,O,C=O,<3>,C1CCNC1,<4>,C=O,N,<0>,C1CCCC1,<eos>,,,,,,,,,,,,,,,,,,,,,,,
O=C(CCc1cccs1)N1CCC(O)CC1,<bos>,O,<0>,C1CCNCC1,<3>,C=O,C,C,<4>,c1ccsc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,
CCOc1ccc(C(=O)NCCNc2ncccc2C#N)cc1,<bos>,C,C,O,<0>,c1ccccc1,<3>,C=O,N,C,C,N,<2>,c1ccncc1,<1>,C#N,<eos>,,,,,,,,,,,,,,,,,,,
Cc1ccc(S(=O)(=O)N2CCC(C)CC2)cc1C#N,<bos>,C,<3>,c1ccccc1,<0>,<4>,(,C#N,),O=[SH2]=O,<3>,C1CCNCC1,<0>,C,<eos>,,,,,,,,,,,,,,,,,,,,,
CCc1n[nH]c(NC(=O)NCc2c(CC)noc2CC)c1C,<bos>,C,C,<1>,c1cnoc1,<0>,<4>,(,C,C,),C,N,C=O,N,<4>,c1cn[nH]c1,<1>,<0>,(,C,),C,C,<eos>,,,,,,,,,,,
N#Cc1cccc(NC(=O)N2CCCC(c3cc(C(N)=O)[nH]n3)C2)c1,<bos>,N,C=O,<4>,c1cn[nH]c1,<1>,<1>,C1CCNCC1,<3>,C=O,N,<0>,c1ccccc1,<4>,C#N,<eos>,,,,,,,,,,,,,,,,,,,,
Cc1cc(=O)c(C(=O)NCCC(N)=O)nn1-c1ccc(Cl)cc1,<bos>,Cl,<3>,c1ccccc1,<0>,<4>,O=c1cc[nH]nc1,<6>,<3>,(,C,),C=O,N,C,C,C=O,N,<eos>,,,,,,,,,,,,,,,,,
COc1ccc(NC(=O)c2c[nH]c3cc(O)ccc3c2=O)cc1C#N,<bos>,C,O,<3>,c1ccccc1,<0>,<4>,(,C#N,),N,C=O,<2>,O=c1cc[nH]c2ccccc12,<7>,O,<eos>,,,,,,,,,,,,,,,,,,,
COC(=O)CCCC1NCCc2ccc(C(F)(F)F)cc21,<bos>,F,C,(,F,),(,F,),<1>,c1ccc2c(c1)CCNC2,<9>,C,C,C,C=O,O,C,<eos>,,,,,,,,,,,,,,,,,
O=C(Nc1cccnc1)C1(c2ccc(Cl)cc2)CCOCC1,<bos>,Cl,<3>,c1ccccc1,<0>,<0>,C1CCOCC1,<0>,C=O,N,<1>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,
