smiles,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
CC(=O)N1CCc2cc(NC(=O)NCc3cnn(C)c3C)ccc21,<bos>,C,<3>,c1cn[nH]c1,<0>,<4>,(,C,),C,N,C=O,N,<0>,c1ccc2c(c1)CCN2,<8>,C=O,C,<eos>,,,,,,,,,,,,,,,,,,
Cc1noc(C(C)NC(=O)c2cc(-c3csc(C)n3)cn2C)n1,<bos>,C,<3>,c1cscn1,<0>,<0>,c1cc[nH]c1,<2>,<3>,(,C,),C=O,N,C,(,C,),<2>,c1ncon1,<0>,C,<eos>,,,,,,,,,,,,,,
CCNc1nc(CC(=O)N(CC)Cc2ccccc2)cs1,<bos>,C,C,N,(,C,<0>,c1ccccc1,),C=O,C,<0>,c1cscn1,<3>,N,C,C,<eos>,,,,,,,,,,,,,,,,,,,
,<bos>,c1ccccc1,<0>,C,<5>,c1ccncc1,<0>,<1>,(,S,C,),<5>,(,C#N,),C=O,O,C,<eos>,,,,,,,,,,,,,,,,,
CCCS(=O)(=O)N1CCCC1c1nc(C2CC2)no1,<bos>,C,C,C,O=[SH2]=O,<3>,C1CCNC1,<4>,<2>,c1ncon1,<0>,<0>,C1CC1,<eos>,,,,,,,,,,,,,,,,,,,,,,,
CC(Oc1ccc(Cl)cc1Cl)C(=O)NCc1ccccc1,<bos>,Cl,<0>,c1ccccc1,<3>,<4>,(,Cl,),O,C,(,C,),C=O,N,C,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,
COC(=O)c1c(C)[nH]c(C(=O)NCCc2cccc3ccccc23)c1C,<bos>,C,O,C=O,<1>,c1cc[nH]c1,<4>,<2>,(,C,),<0>,(,C,),C=O,N,C,C,<2>,c1ccc2ccccc2c1,<eos>,,,,,,,,,,,,,,,
CC(C)CC(C(=O)OCC1CCCO1)C1CCCCO1,<bos>,C,C,(,C,),C,C,(,<2>,C1CCOCC1,),C=O,O,C,<4>,C1CCOC1,<eos>,,,,,,,,,,,,,,,,,,,
CC(C)CC(NC(=O)c1ccccn1)c1cccs1,<bos>,C,C,(,C,),C,C,(,<4>,c1ccsc1,),N,C=O,<2>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,,,
Cc1nn(CC(=O)NCC2CCCC(C)C2)c(=O)c2ccccc12,<bos>,C,<0>,C1CCCCC1,<4>,C,N,C=O,C,<2>,O=c1[nH]ncc2ccccc12,<4>,C,<eos>,,,,,,,,,,,,,,,,,,,,,,,
COc1ccc(F)cc1C(=O)NCCC(=O)NCc1cccc(=O)[nH]1,<bos>,C,O,<3>,c1ccccc1,<4>,<0>,(,F,),C=O,N,C,C,C=O,N,C,<5>,O=c1cccc[nH]1,<eos>,,,,,,,,,,,,,,,,,
CC(=O)NCCNC(=O)N(Cc1ccccc1Cl)C(C)C,<bos>,Cl,<5>,c1ccccc1,<0>,C,N,(,C,(,C,),C,),C=O,N,C,C,N,C=O,C,<eos>,,,,,,,,,,,,,,,
CCOC(=O)CC1CCN(C(=O)Cc2ccc3c(c2)CCO3)CC1,<bos>,C,C,O,C=O,C,<0>,C1CCNCC1,<3>,C=O,C,<0>,c1ccc2c(c1)CCO2,<eos>,,,,,,,,,,,,,,,,,,,,,,,
CCn1ccc(C(=O)NCc2ccnc(OC3CCC3)c2)n1,<bos>,C,C,<3>,c1cn[nH]c1,<1>,C=O,N,C,<0>,c1ccncc1,<4>,O,<0>,C1CCC1,<eos>,,,,,,,,,,,,,,,,,,,,,
N#Cc1cnn(C(=O)c2cc(-c3ccccc3)on2)c1N,<bos>,N,<4>,c1cn[nH]c1,<3>,<0>,(,C#N,),C=O,<1>,c1cnoc1,<4>,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,,,,,
COc1ccc(Br)cc1CNC(=O)Nc1ccncc1,<bos>,C,O,<3>,c1ccccc1,<4>,<0>,(,Br,),C,N,C=O,N,<0>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,,,
COc1cc(CC(=O)N2CCCC2C(N)=O)cc(OC)c1OC,<bos>,C,O,<2>,c1ccccc1,<0>,<4>,(,O,C,),<3>,(,O,C,),C,C=O,<3>,C1CCNC1,<4>,C=O,N,<eos>,,,,,,,,,,,,,
CC(C)C(=O)Nc1c(C#N)cnn1-c1ncccc1C#N,<bos>,C,C,(,C,),C=O,N,<4>,c1cn[nH]c1,<3>,<0>,(,C#N,),<2>,c1ccncc1,<1>,C#N,<eos>,,,,,,,,,,,,,,,,,
COc1ccc(S(=O)(=O)Nc2ccc3nc(CO)[nH]c3c2)cc1,<bos>,C,O,<0>,c1ccccc1,<3>,O=[SH2]=O,N,<1>,c1ccc2[nH]cnc2c1,<5>,C,O,<eos>,,,,,,,,,,,,,,,,,,,,,,,
CC1CCCCN1C(=O)c1cccc(Nc2ncnc3sccc23)c1,<bos>,C,<2>,C1CCNCC1,<3>,C=O,<0>,c1ccccc1,<4>,N,<2>,c1ncc2ccsc2n1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
COc1cc(Cl)ccc1C(=O)Nc1ccc(N)cc1C,<bos>,C,<4>,c1ccccc1,<3>,<0>,(,N,),N,C=O,<3>,c1ccccc1,<4>,<0>,(,Cl,),O,C,<eos>,,,,,,,,,,,,,,,,
C=CCN1CCN(C)C(=O)C12CCN(C(=O)Nc1ccccc1)C2,<bos>,C=C,<0>,C,<5>,O=C1NCCNC12CCNC2,<9>,<2>,(,C,),C=O,N,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,,,,,
