smiles,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
CCCn1ccnc1SCC(=O)NCC1(C)CCCC1,<bos>,C,C,C,<2>,c1c[nH]cn1,<3>,S,C,C=O,N,C,<0>,C1CCCC1,<0>,C,<eos>,,,,,,,,,,,,,,,,,,,,,,
CCCNC(=O)CN(C(=O)c1ccc(F)c(F)c1F)C(C)C,<bos>,F,<3>,c1ccccc1,<0>,<4>,(,F,),<5>,(,F,),C=O,N,(,C,(,C,),C,),C,C=O,N,C,C,C,<eos>,,,,,,,,,,
CC(=O)OCc1c(C)cc2c(CC(=O)Nc3nccs3)coc2c1C,<bos>,c1cscn1,<3>,N,C=O,C,<6>,c1ccc2occc2c1,<1>,<0>,(,C,),<2>,(,C,),C,O,C=O,C,<eos>,,,,,,,,,,,,,,,,,
CCC(C)(C)NC(=O)NC(O)(c1nccn1C)C(F)(F)F,<bos>,F,C,(,F,),(,F,),C,(,<3>,c1c[nH]cn1,<2>,C,),(,O,),N,C=O,N,C,(,C,),(,C,),C,C,<eos>,,,,,,,
CC(C)CNC(=O)CCC(=O)N(C)Cc1ccc(F)c(F)c1,<bos>,C,C,(,C,),C,N,C=O,C,C,C=O,N,(,C,),C,<0>,c1ccccc1,<3>,<4>,(,F,),F,<eos>,,,,,,,,,,,,,
Cc1ccccc1-c1noc(CN(C)CC(O)CC(C)C)n1,<bos>,C,C,(,C,),C,C,(,O,),C,N,(,C,),C,<2>,c1ncon1,<0>,<5>,c1ccccc1,<0>,C,<eos>,,,,,,,,,,,,,,
CC(C)Cc1cc(C(=O)NCCn2nc3ccccn3c2=O)on1,<bos>,C,C,(,C,),C,<1>,c1cnoc1,<4>,C=O,N,C,C,<2>,O=c1[nH]nc2ccccn12,<eos>,,,,,,,,,,,,,,,,,,,,,,
Cc1nc(-n2cccc2)sc1C(=O)N1CCC(c2ccc3[nH]c(=O)[nH]c3c2)CC1,<bos>,C,<0>,c1cscn1,<1>,<3>,(,<3>,c1cc[nH]c1,),C=O,<3>,C1CCNCC1,<0>,<5>,O=c1[nH]c2ccccc2[nH]1,<eos>,,,,,,,,,,,,,,,,,,,,,,
O=C(NCc1cc(F)cc2cccnc12)c1cccs1,<bos>,c1ccsc1,<4>,C=O,N,C,<2>,c1ccc2ncccc2c1,<0>,F,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(NCCS(=O)(=O)c1ccccc1)c1ccccc1Cl,<bos>,Cl,<5>,c1ccccc1,<0>,C=O,N,C,C,O=[SH2]=O,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)C1CCN(C(=O)CNC(=O)c2ccc(F)c(F)c2)C1,<bos>,C,C,(,C,),<0>,C1CCNC1,<3>,C=O,C,N,C=O,<0>,c1ccccc1,<3>,<4>,(,F,),F,<eos>,,,,,,,,,,,,,,,,,
CCn1ccc(C(=O)NCc2ccc(NC(N)=O)cc2)n1,<bos>,C,C,<3>,c1cn[nH]c1,<1>,C=O,N,C,<0>,c1ccccc1,<3>,N,C=O,N,<eos>,,,,,,,,,,,,,,,,,,,,,,,
Cc1nnc(SC(C(N)=O)c2ccc(Br)cc2)n1N,<bos>,N,<4>,c1nnc[nH]1,<3>,<0>,(,C,),S,C,(,<0>,c1ccccc1,<3>,Br,),C=O,N,<eos>,,,,,,,,,,,,,,,,,,,
COc1ccc(Br)cc1NCc1cncnc1,<bos>,C,O,<3>,c1ccccc1,<4>,<0>,(,Br,),N,C,<0>,c1cncnc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
COC(=O)C(C)S(=O)(=O)c1nc(N)c(-c2ccco2)[nH]1,<bos>,N,<0>,c1c[nH]cn1,<3>,<1>,(,<4>,c1ccoc1,),O=[SH2]=O,C,(,C,),C=O,O,C,<eos>,,,,,,,,,,,,,,,,,,,,
CNC(=O)Cc1csc(NC(=O)NC2CCCCC2)n1,<bos>,C,N,C=O,C,<0>,c1cscn1,<3>,N,C=O,N,<0>,C1CCCCC1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1cccc(OCC(=O)NCc2cccnc2-n2cccn2)c1,<bos>,C,<0>,c1ccccc1,<4>,O,C,C=O,N,C,<1>,c1ccncc1,<2>,<3>,c1cn[nH]c1,<eos>,,,,,,,,,,,,,,,,,,,,,,,
COc1ccc(OCC(O)CN(C)S(C)(=O)=O)cc1,<bos>,C,O=[SH2]=O,N,(,C,),C,C,(,O,),C,O,<3>,c1ccccc1,<0>,O,C,<eos>,,,,,,,,,,,,,,,,,,,
O=C(NCC(=O)N1CCCC1)Nc1cnn(-c2ccccc2F)c1,<bos>,F,<5>,c1ccccc1,<0>,<3>,c1cn[nH]c1,<0>,N,C=O,N,C,C=O,<3>,C1CCNC1,<eos>,,,,,,,,,,,,,,,,,,,,,,,
O=C(Nc1nc2ccc(-n3ccnc3)cn2n1)c1ccco1,<bos>,c1ccoc1,<4>,C=O,N,<5>,c1ccn2ncnc2c1,<1>,<2>,c1c[nH]cn1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC(=O)c1ccc(C(=O)N2CCc3c(Cl)cccc32)cn1,<bos>,N,C=O,<4>,c1ccncc1,<1>,C=O,<8>,c1ccc2c(c1)CCN2,<5>,Cl,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN(Cc1ccc2c(c1)OCO2)Cc1cc(=O)c(OC)co1,<bos>,C,C,N,(,C,<0>,c1ccc2c(c1)OCO2,),C,<3>,O=c1ccocc1,<6>,O,C,<eos>,,,,,,,,,,,,,,,,,,,,,,,
Cc1ccc(CC(=O)Nc2cccc(C(N)=O)c2)cc1C#N,<bos>,C,<3>,c1ccccc1,<0>,<4>,(,C#N,),C,C=O,N,<0>,c1ccccc1,<4>,C=O,N,<eos>,,,,,,,,,,,,,,,,,,,,,
CCc1noc(CC)c1CC(=O)Nc1ccccc1Br,<bos>,C,C,<1>,c1cnoc1,<0>,<4>,(,C,C,),C,C=O,N,<0>,c1ccccc1,<5>,Br,<eos>,,,,,,,,,,,,,,,,,,,,
O=C1CCc2ccccc2N1Cc1nc2cc(Cl)ccc2[nH]1,<bos>,Cl,<0>,c1ccc2[nH]cnc2c1,<5>,C,<10>,O=C1CCc2ccccc2N1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCC1CCc2c(sc(=O)n2Cc2cccc(C#N)c2)C1,<bos>,C,C,C,<7>,O=c1[nH]c2c(s1)CCCC2,<2>,C,<0>,c1ccccc1,<4>,C#N,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)Nc1cccc(OC(=O)c2csc(C(C)=O)c2)c1,<bos>,C,C=O,N,<0>,c1ccccc1,<4>,O,C=O,<0>,c1ccsc1,<2>,C=O,C,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
Cc1cc(C(=O)NCc2ccc(OC(C)C)c(F)c2)on1,<bos>,C,C,(,C,),O,<3>,c1ccccc1,<0>,<4>,(,F,),C,N,C=O,<4>,c1cnoc1,<1>,C,<eos>,,,,,,,,,,,,,,,,,
Nc1nnc(SCC2CC2)n1C1CCCCC1,<bos>,N,<0>,c1nnc[nH]1,<3>,<4>,(,<0>,C1CCCCC1,),S,C,<0>,C1CC1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
O=C(NCC#Cc1ccc(OC(F)(F)F)cc1)c1ccncc1,<bos>,F,C,(,F,),(,F,),O,<3>,c1ccccc1,<0>,<0>,C#C,<1>,C,N,C=O,<0>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,
Cc1ccsc1S(=O)(=O)N(C)Cc1ccc(C#N)cc1,<bos>,C,<0>,c1ccsc1,<4>,O=[SH2]=O,N,(,C,),C,<0>,c1ccccc1,<3>,C#N,<eos>,,,,,,,,,,,,,,,,,,,,,,,
Cc1ccc(Cn2c(-c3cccnc3)nc3cc(N)ccc32)o1,<bos>,N,<0>,c1ccc2[nH]cnc2c1,<4>,<5>,(,<1>,c1ccncc1,),C,<2>,c1ccoc1,<4>,C,<eos>,,,,,,,,,,,,,,,,,,,,,,,
O=C(CCc1ccco1)Nc1ccc(-c2nc3ccccc3[nH]2)cc1,<bos>,c1ccoc1,<4>,C,C,C=O,N,<0>,c1ccccc1,<3>,<5>,c1ccc2[nH]cnc2c1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,
CC1Cc2ccccc2N1CCNC(=O)NCc1cc[nH]n1,<bos>,C,<7>,c1ccc2c(c1)CCN2,<8>,C,C,N,C=O,N,C,<1>,c1cn[nH]c1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,
CCC(C)NC(=O)Nc1ncc(Cc2ccccc2F)s1,<bos>,C,C,C,(,C,),N,C=O,N,<3>,c1cscn1,<1>,C,<0>,c1ccccc1,<5>,F,<eos>,,,,,,,,,,,,,,,,,,,,
CC(NC(=O)c1csc2c1CCCC2)C(=O)n1ccnc1,<bos>,c1c[nH]cn1,<2>,C=O,C,(,C,),N,C=O,<1>,c1cc2c(s1)CCCC2,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCCC(=O)Nc1ccc(OC)cc1N,<bos>,C,O,<0>,c1ccccc1,<3>,<4>,(,N,),N,C=O,C,C,C,C,<eos>,,,,,,,,,,,,,,,,,,,,,,
C#CCN(C1CC1)S(=O)(=O)c1ccc(NC(C)=O)cc1,<bos>,C#C,<0>,C,N,(,<0>,C1CC1,),O=[SH2]=O,<3>,c1ccccc1,<0>,N,C=O,C,<eos>,,,,,,,,,,,,,,,,,,,,,,
CC(C)Cc1noc(C2CCCCN2C(=O)Nc2cccnc2)n1,<bos>,C,C,(,C,),C,<0>,c1ncon1,<2>,<2>,C1CCNCC1,<3>,C=O,N,<1>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,,,,
COC(=O)c1ccc(S(=O)(=O)c2ccc(C(N)=O)cc2)cc1,<bos>,C,O,C=O,<0>,c1ccccc1,<3>,O=[SH2]=O,<0>,c1ccccc1,<3>,C=O,N,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(NCc1nc2ccccc2[nH]1)c1cccnc1,<bos>,c1ccncc1,<1>,C=O,N,C,<5>,c1ccc2[nH]cnc2c1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCNC(=O)CS(=O)(=O)N(C)Cc1cc(C)on1,<bos>,C,<4>,c1cnoc1,<1>,C,N,(,C,),O=[SH2]=O,C,C=O,N,C,C,C,<eos>,,,,,,,,,,,,,,,,,,,,,
O=C(CCN1CCOCC1)Nc1ncc(-c2cccnc2)s1,<bos>,C1COCCN1,<5>,C,C,C=O,N,<3>,c1cscn1,<1>,<1>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,
COc1ccc(C2=CCN(C(=O)c3cccc(C#N)c3)CC2)cc1,<bos>,C,O,<0>,c1ccccc1,<3>,<0>,C1=CCNCC1,<3>,C=O,<0>,c1ccccc1,<4>,C#N,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
COCCC1CN(C(=O)COc2ccc(OC)cc2)CCO1,<bos>,C,O,C,C,<1>,C1COCCN1,<5>,C=O,C,O,<0>,c1ccccc1,<3>,O,C,<eos>,,,,,,,,,,,,,,,,,,,,,,
c1cncc(-c2nc3sc4c(n3n2)CCNC4)c1,<bos>,c1ccncc1,<1>,<0>,c1nc2sc3c(n2n1)CCNC3,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1cc(C)n2cc(C(C)N3CCC(n4cncn4)CC3)nc2n1,<bos>,C,<8>,c1cnc2nccn2c1,<5>,<1>,(,C,),C,(,C,),<3>,C1CCNCC1,<0>,<3>,c1nc[nH]n1,<eos>,,,,,,,,,,,,,,,,,,,,
CCSc1nnc(CN2CCn3c(C)nnc3C2)s1,<bos>,C,C,S,<0>,c1nncs1,<3>,C,<7>,c1nnc2n1CCNC2,<0>,C,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1ccc(C(=O)Nc2ccc(C(=O)N(C)C)cc2F)cc1,<bos>,C,N,(,C,),C=O,<0>,c1ccccc1,<3>,<4>,(,F,),N,C=O,<3>,c1ccccc1,<0>,C,<eos>,,,,,,,,,,,,,,,,,,
