smiles,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
O=C(CCc1ccco1)Nc1ccnn1Cc1cccs1,<bos>,c1ccsc1,<4>,C,<3>,c1cn[nH]c1,<4>,N,C=O,C,C,<4>,c1ccoc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clc1cccc(-c2nnc(-c3n[nH]c4ccccc34)o2)c1,<bos>,Cl,<4>,c1ccccc1,<0>,<0>,c1nnco1,<3>,<6>,c1ccc2[nH]ncc2c1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCC(C)NC(=O)CCOc1ccc(C(F)(F)F)cc1N,<bos>,F,C,(,F,),(,F,),<0>,c1ccccc1,<3>,<4>,(,N,),O,C,C,C=O,N,C,(,C,),C,C,<eos>,,,,,,,,,,,,,
O=C(Cc1cccs1)Nc1cccc(OCCO)c1,<bos>,O,C,C,O,<4>,c1ccccc1,<0>,N,C=O,C,<4>,c1ccsc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1noc(COC(=O)c2cccn2C(=O)CCC(C)C)n1,<bos>,C,C,(,C,),C,C,C=O,<3>,c1cc[nH]c1,<4>,C=O,O,C,<2>,c1ncon1,<0>,C,<eos>,,,,,,,,,,,,,,,,,,,,,
Nc1cc(F)c2onc(CC(=O)NCCc3ccccc3)c2c1,<bos>,N,<0>,c1ccc2oncc2c1,<6>,<2>,(,F,),C,C=O,N,C,C,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
COCCCN(C)C(=O)NCc1c(F)cccc1F,<bos>,F,<0>,c1ccccc1,<5>,<4>,(,F,),C,N,C=O,N,(,C,),C,C,C,O,C,<eos>,,,,,,,,,,,,,,,,,,,
O=C1NCC(c2cccc(Cl)c2)Cc2[nH]c(C(=O)N3CCOCC3)nc21,<bos>,Cl,<4>,c1ccccc1,<0>,<4>,O=C1NCCCc2[nH]cnc21,<8>,C=O,<5>,C1COCCN1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1nn(C(C)C)c(C)c1S(=O)(=O)Oc1ccccc1F,<bos>,C,C,(,C,),<3>,c1cn[nH]c1,<0>,<1>,(,C,),<4>,(,C,),O=[SH2]=O,O,<0>,c1ccccc1,<5>,F,<eos>,,,,,,,,,,,,,,,,,
CNS(=O)(=O)c1ccc(C(=O)N(C)CCOCC2CC2)cc1,<bos>,C,N,O=[SH2]=O,<0>,c1ccccc1,<3>,C=O,N,(,C,),C,C,O,C,<0>,C1CC1,<eos>,,,,,,,,,,,,,,,,,,,,,,
CCc1n[nH]c(C(C)C)c1C(=O)Nc1cc(OC)ccc1F,<bos>,C,C,<1>,c1cn[nH]c1,<0>,<4>,(,C,(,C,),C,),C=O,N,<4>,c1ccccc1,<0>,<3>,(,F,),O,C,<eos>,,,,,,,,,,,,,,,
Cc1c(Cl)cccc1NC(=O)CSc1nnnn1C1CC1,<bos>,C,<5>,c1ccccc1,<4>,<0>,(,Cl,),N,C=O,C,S,<0>,c1nnn[nH]1,<4>,<0>,C1CC1,<eos>,,,,,,,,,,,,,,,,,,,,,,
CC(=O)NC(C)c1ccc(-n2cncn2)cc1,<bos>,c1nc[nH]n1,<3>,<3>,c1ccccc1,<0>,C,(,C,),N,C=O,C,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1ccc(F)cc1S(=O)(=O)N1CCC(n2cncn2)CC1,<bos>,C,<3>,c1ccccc1,<4>,<0>,(,F,),O=[SH2]=O,<3>,C1CCNCC1,<0>,<3>,c1nc[nH]n1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,
CCCCS(=O)(=O)C1CC2CN(C(=O)C3CCC3)CCN2C1,<bos>,C,C,C,C,O=[SH2]=O,<0>,C1CC2CNCCN2C1,<4>,C=O,<0>,C1CCC1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCC(C)CNC(=O)NCC1(c2ccc(F)cc2)CCOCC1,<bos>,C,O,C,C,(,C,),C,N,C=O,N,C,<0>,C1CCOCC1,<0>,<0>,c1ccccc1,<3>,F,<eos>,,,,,,,,,,,,,,,,,,,,
Cc1cc2c(o1)CC(C)(C)CC2NC(=O)c1sccc1C,<bos>,C,<6>,c1cc2c(o1)CCCC2,<8>,<6>,(,C,),<0>,(,C,),N,C=O,<4>,c1ccsc1,<0>,C,<eos>,,,,,,,,,,,,,,,,,,,,,
CC1COCCN1C(=O)CCc1ccsc1,<bos>,C,<0>,C1COCCN1,<5>,C=O,C,C,<0>,c1ccsc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COC(=O)c1ccc(-n2nc(CO)cc2-c2ccccc2)cc1,<bos>,O,C,<1>,c1cn[nH]c1,<3>,<4>,(,<0>,c1ccccc1,),<0>,c1ccccc1,<3>,C=O,O,C,<eos>,,,,,,,,,,,,,,,,,,,,,,,
CCc1c(C(=O)NCc2nncn2CC)[nH]c(C)c1C(C)=O,<bos>,C,C,<1>,c1cc[nH]c1,<2>,<0>,(,C=O,C,),<4>,(,C,),C=O,N,C,<0>,c1nnc[nH]1,<4>,C,C,<eos>,,,,,,,,,,,,,,,,,
CC(C)N1C(=O)CCc2cc(NC(=O)COc3ccccc3)ccc21,<bos>,C,C,(,C,),<10>,O=C1CCc2ccccc2N1,<6>,N,C=O,C,O,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,
CCOC1CCN(C(=O)c2ccoc2)C2CCOC12,<bos>,C,C,O,<8>,C1CNC2CCOC2C1,<2>,C=O,<0>,c1ccoc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
