smiles,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
CC(=O)N1CCc2cc(NCCOc3ccc(C)c(C)c3)ccc21,<bos>,C,<3>,c1ccccc1,<0>,<4>,(,C,),O,C,C,N,<0>,c1ccc2c(c1)CCN2,<8>,C=O,C,<eos>,,,,,,,,,,,,,,,,
Cc1c(C(=O)Nc2ccc(Br)cc2)cnn1-c1ccncc1,<bos>,C,<4>,c1cn[nH]c1,<0>,<3>,(,<0>,c1ccncc1,),C=O,N,<0>,c1ccccc1,<3>,Br,<eos>,,,,,,,,,,,,,,,,,,
C=CCN(CC)C(=O)CCCNC(=O)NC1CCCCC1C,<bos>,C,C,N,(,C,<0>,C=C,),C=O,C,C,C,N,C=O,N,<0>,C1CCCCC1,<5>,C,<eos>,,,,,,,,,,,,,,
c1ccc(-n2ncc3c(SCc4cccnc4)ncnc32)cc1,<bos>,c1ccccc1,<0>,<6>,c1ncc2cn[nH]c2n1,<2>,S,C,<1>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
CCCS(=O)(=O)NCc1ccc(S(N)(=O)=O)cc1,<bos>,C,C,C,O=[SH2]=O,N,C,<0>,c1ccccc1,<3>,O=[SH2]=O,N,<eos>,,,,,,,,,,,,,,,,,,,,,,
N#CC(NC(=O)CCc1ccccc1)c1ccc(Cl)cc1Cl,<bos>,Cl,<0>,c1ccccc1,<3>,<4>,(,Cl,),C,(,C#N,),N,C=O,C,C,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,
COC(=O)c1c(C)[nH]c(C(=O)NCCN2CCOC2=O)c1C,<bos>,C,O,C=O,<1>,c1cc[nH]c1,<4>,<2>,(,C,),<0>,(,C,),C=O,N,C,C,<2>,O=C1NCCO1,<eos>,,,,,,,,,,,,,
CC(C)CC(C(=O)OCC1CCCO1)C1CCCCO1,<bos>,C,C,(,C,),C,C,(,<2>,C1CCOCC1,),C=O,O,C,<4>,C1CCOC1,<eos>,,,,,,,,,,,,,,,,,
CC(C)CC(NC(=O)c1ccccn1)c1cccs1,<bos>,C,C,(,C,),C,C,(,<4>,c1ccsc1,),N,C=O,<2>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,
COc1ccc(F)cc1NC(=O)CSc1nnc(C)s1,<bos>,C,O,<3>,c1ccccc1,<4>,<0>,(,F,),N,C=O,C,S,<0>,c1nncs1,<3>,C,<eos>,,,,,,,,,,,,,,,,
CCOC(=O)CC1CCN(C(=O)Cc2ccsc2)CC1,<bos>,C,C,O,C=O,C,<0>,C1CCNCC1,<3>,C=O,C,<0>,c1ccsc1,<eos>,,,,,,,,,,,,,,,,,,,,,
CCn1nc(-c2nnc(-c3cccs3)o2)cc1C,<bos>,C,C,<3>,c1cn[nH]c1,<1>,<4>,(,C,),<0>,c1nnco1,<3>,<4>,c1ccsc1,<eos>,,,,,,,,,,,,,,,,,,,
N#Cc1cnn(C(=O)C2COc3ccc(F)cc3C2)c1N,<bos>,N,<4>,c1cn[nH]c1,<3>,<0>,(,C#N,),C=O,<7>,c1ccc2c(c1)CCCO2,<0>,F,<eos>,,,,,,,,,,,,,,,,,,,,
COc1ccc(Br)cc1CNC(=O)Nc1ccncc1,<bos>,C,O,<3>,c1ccccc1,<4>,<0>,(,Br,),C,N,C=O,N,<0>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,
O=C(CSc1ncnc2sc3c(c12)CCCC3)N1CCCC1,<bos>,C1CCNC1,<3>,C=O,C,S,<2>,c1ncc2c3c(sc2n1)CCCC3,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,
CCCCCC(=O)NCC(=O)Nc1cccc(NS(C)(=O)=O)c1,<bos>,C,C,C,C,C,C=O,N,C,C=O,N,<0>,c1ccccc1,<4>,N,O=[SH2]=O,C,<eos>,,,,,,,,,,,,,,,,,
CC1CCCCN1C(=O)c1cccc(NC2CCN(C)C2=O)c1,<bos>,C,<2>,C1CCNCC1,<3>,C=O,<0>,c1ccccc1,<4>,N,<2>,O=C1CCCN1,<5>,C,<eos>,,,,,,,,,,,,,,,,,,,,
Cc1cc(N)ccc1NC(=O)c1ccc(Cl)cc1Cl,<bos>,C,<4>,c1ccccc1,<3>,<0>,(,N,),N,C=O,<3>,c1ccccc1,<0>,<4>,(,Cl,),Cl,<eos>,,,,,,,,,,,,,,,
