smiles,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
CCCn1nc(C)c2c1cnn2CC(=O)Nc1ccccc1OC,<bos>,C,C,C,<2>,c1n[nH]c2cn[nH]c12,<6>,<0>,(,C,),C,C=O,N,<5>,c1ccccc1,<0>,O,C,<eos>,,,,,,,,,,,,,,,,,,,
Cc1ncc(C(=O)NC2CCN(c3ccccc3Cl)CC2)cn1,<bos>,C,<3>,c1cncnc1,<0>,C=O,N,<0>,C1CCNCC1,<3>,<0>,c1ccccc1,<5>,Cl,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
CN(C)C(=O)CCCNC(=O)Cc1ccc(-c2cccs2)cc1,<bos>,C,N,(,C,),C=O,C,C,C,N,C=O,C,<0>,c1ccccc1,<3>,<4>,c1ccsc1,<eos>,,,,,,,,,,,,,,,,,,,,
CCOc1ccc(C(=O)NCCNC(=O)Nc2ccccc2)nn1,<bos>,C,C,O,<5>,c1ccnnc1,<2>,C=O,N,C,C,N,C=O,N,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,,,,,,
CCCCS(=O)(=O)NCC(=O)Nc1cccnc1,<bos>,C,C,C,C,O=[SH2]=O,N,C,C=O,N,<1>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(NCC(O)c1ccc(F)cc1Cl)NC1CCCC1,<bos>,F,<0>,c1ccccc1,<3>,<4>,(,Cl,),C,(,O,),C,N,C=O,N,<0>,C1CCCC1,<eos>,,,,,,,,,,,,,,,,,,,
CC(C)N(Cc1ccsc1)C(=O)NCc1ccncc1,<bos>,C,C,(,C,),N,(,C,<0>,c1ccsc1,),C=O,N,C,<0>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,,,,
Cc1ncnn1-c1cccc(C(=O)NCCC(O)CC(C)C)c1,<bos>,C,C,(,C,),C,C,(,O,),C,C,N,C=O,<4>,c1ccccc1,<0>,<3>,c1nc[nH]n1,<2>,C,<eos>,,,,,,,,,,,,,,,,
NC(=O)N1CCCNC(C(=O)c2cnc(N3CCOCC3)s2)C1,<bos>,N,C=O,<5>,C1CNCCNC1,<3>,C=O,<1>,c1cscn1,<3>,<5>,C1COCCN1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,
CN(C)c1ncccc1C(=O)Nc1nc(C2CC2)cs1,<bos>,C,N,(,C,),<2>,c1ccncc1,<1>,C=O,N,<3>,c1cscn1,<0>,<0>,C1CC1,<eos>,,,,,,,,,,,,,,,,,,,,,,
CCCOC(=O)C1CCCCN1C(=O)c1ccc(C)cc1,<bos>,C,C,C,O,C=O,<2>,C1CCNCC1,<3>,C=O,<0>,c1ccccc1,<3>,C,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
CCCNC(=O)C1CCCN(C(=O)Cc2csc3nccn23)C1,<bos>,C,C,C,N,C=O,<1>,C1CCNCC1,<3>,C=O,C,<3>,c1cn2ccsc2n1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,
CCS(=O)(=O)N1CCC(c2nc(C(C)C)c(C)o2)CC1,<bos>,C,C,(,C,),<0>,c1cocn1,<3>,<1>,(,C,),<0>,C1CCNCC1,<3>,O=[SH2]=O,C,C,<eos>,,,,,,,,,,,,,,,,,,,
CCn1cc(C(=O)N2CCC(c3nnc(-c4ccco4)o3)CC2)cn1,<bos>,C,C,<3>,c1cn[nH]c1,<0>,C=O,<3>,C1CCNCC1,<0>,<0>,c1nnco1,<3>,<4>,c1ccoc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,
Cn1c(C=Cn2cncc2NC(=O)C2CCCCC2)nc2ccccc21,<bos>,C,<4>,c1ccc2[nH]cnc2c1,<5>,<0>,C=C,<1>,<2>,c1c[nH]cn1,<1>,N,C=O,<0>,C1CCCCC1,<eos>,,,,,,,,,,,,,,,,,,,,,,,
CCOC(=O)C(C#N)c1cc(Br)ccc1OC,<bos>,C,O,<3>,c1ccccc1,<4>,<0>,(,Br,),C,(,C#N,),C=O,O,C,C,<eos>,,,,,,,,,,,,,,,,,,,,
COC(=O)CSc1nc(-c2cc3ccccc3o2)n[nH]1,<bos>,C,O,C=O,C,S,<2>,c1nc[nH]n1,<0>,<5>,c1ccc2occc2c1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCC(=O)N1CCc2[nH]nc(C(=O)NCc3ccc(OC)cc3)c2C1,<bos>,C,C,C=O,<6>,c1n[nH]c2c1CNCC2,<0>,C=O,N,C,<0>,c1ccccc1,<3>,O,C,<eos>,,,,,,,,,,,,,,,,,,,,,,,
,<bos>,C,<0>,c1cocn1,<1>,<3>,O=C1NC=CCN1,<4>,<1>,(,C,),<5>,(,C,),<1>,(,C,),(,<0>,c1ccccc1,),O,C,<eos>,,,,,,,,,,,,
O=S(=O)(NC1CC1c1ccc(F)cc1)c1cccc2cccnc12,<bos>,F,<3>,c1ccccc1,<0>,<2>,C1CC1,<0>,N,O=[SH2]=O,<2>,c1ccc2ncccc2c1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,
COc1ccc(NC(=O)C(C)Sc2nnc(C3CC3)n2C)cc1,<bos>,C,<4>,c1nnc[nH]1,<0>,<3>,(,<0>,C1CC1,),S,C,(,C,),C=O,N,<3>,c1ccccc1,<0>,O,C,<eos>,,,,,,,,,,,,,,,,
CCCN1CC(C(=O)Nc2c[nH]c(=O)[nH]c2=O)CC1=O,<bos>,C,C,C,<5>,O=C1CCCN1,<3>,C=O,N,<2>,O=c1cc[nH]c(=O)[nH]1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C1Cc2cc(NC(=O)c3cnc4ccccc4n3)ccc2N1,<bos>,c1ccc2nccnc2c1,<5>,C=O,N,<5>,O=C1Cc2ccccc2N1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1ccc(-n2nnnc2CN2CCC3(CC2)OCCO3)cc1,<bos>,c1ccccc1,<0>,<4>,c1nnn[nH]1,<0>,C,<5>,C1CC2(CCN1)OCCO2,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
