smiles,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
CCCn1nccc1NC(=O)CCCc1ccco1,<bos>,C,C,C,<3>,c1cn[nH]c1,<4>,N,C=O,C,C,C,<4>,c1ccoc1,<eos>,,,,,,,,,,,,,,,,,,,,
Clc1cccc(-c2nnc(-n3ccc4cncnc43)o2)c1,<bos>,Cl,<4>,c1ccccc1,<0>,<0>,c1nnco1,<3>,<6>,c1ncc2cc[nH]c2n1,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
Nc1cc(C(F)(F)F)ccc1OCC(=O)NCc1ccco1,<bos>,F,C,(,F,),(,F,),<0>,c1ccccc1,<3>,<4>,(,N,),O,C,C=O,N,C,<4>,c1ccoc1,<eos>,,,,,,,,,,,
O=C(Cc1cccs1)Nc1cccc(OCCO)c1,<bos>,O,C,C,O,<4>,c1ccccc1,<0>,N,C=O,C,<4>,c1ccsc1,<eos>,,,,,,,,,,,,,,,,,,,,,
CC(C)CCC(=O)NCc1ccc(CN2CCCC2=O)cc1,<bos>,C,C,(,C,),C,C,C=O,N,C,<0>,c1ccccc1,<3>,C,<5>,O=C1CCCN1,<eos>,,,,,,,,,,,,,,,,,
CCc1nn(C)cc1CNC(=O)Cc1noc2c(F)cc(N)cc12,<bos>,N,<0>,c1ccc2oncc2c1,<6>,<2>,(,F,),C,C=O,N,C,<0>,c1cn[nH]c1,<1>,<3>,(,C,),C,C,<eos>,,,,,,,,,,,,
C=CCN(C)C(=O)NCc1c(F)cccc1F,<bos>,F,<0>,c1ccccc1,<5>,<4>,(,F,),C,N,C=O,N,(,C,),C,<0>,C=C,<eos>,,,,,,,,,,,,,,,
CCc1nnc(NC(=O)c2ccc(C(=O)NCC(C)C)cc2)s1,<bos>,C,C,(,C,),C,N,C=O,<3>,c1ccccc1,<0>,C=O,N,<3>,c1nncs1,<0>,C,C,<eos>,,,,,,,,,,,,,,,
O=C(c1nn(-c2cccc(Cl)c2)c2c1CCC2)N1CCOCC1,<bos>,Cl,<4>,c1ccccc1,<0>,<2>,c1n[nH]c2c1CCC2,<0>,C=O,<5>,C1COCCN1,<eos>,,,,,,,,,,,,,,,,,,,,,,,
Cc1nn(C(C)C)c(C)c1S(=O)(=O)Oc1ccccc1F,<bos>,C,C,(,C,),<3>,c1cn[nH]c1,<0>,<1>,(,C,),<4>,(,C,),O=[SH2]=O,O,<0>,c1ccccc1,<5>,F,<eos>,,,,,,,,,,,
