smiles,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
CC(=O)N1CCc2cc(NC(=O)NCc3cnn(C)c3C)ccc21,<bos>,C,<3>,c1cn[nH]c1,<0>,<4>,(,C,),C,N,C=O,N,<0>,c1ccc2c(c1)CCN2,<8>,C=O,C,<eos>,,,,,,,,,,,,,,
Cc1noc(C(C)NC(=O)c2cc(-c3csc(C)n3)cn2C)n1,<bos>,C,<3>,c1cscn1,<0>,<0>,c1cc[nH]c1,<2>,<3>,(,C,),C=O,N,C,(,C,),<2>,c1ncon1,<0>,C,<eos>,,,,,,,,,,
C=CCN(CC)C(=O)CCCn1nnn(-c2ccco2)c1=O,<bos>,C,C,N,(,C,<0>,C=C,),C=O,C,C,C,<2>,O=c1[nH]nn[nH]1,<5>,<4>,c1ccoc1,<eos>,,,,,,,,,,,,,,
O=C(c1ccn(-c2ccccc2)c(=O)c1)N1CCCCC1,<bos>,c1ccccc1,<0>,<6>,O=c1cccc[nH]1,<3>,C=O,<3>,C1CCNCC1,<eos>,,,,,,,,,,,,,,,,,,,,,,,
Cc1nc(CC(=O)NC(c2ccc(Cl)cc2Cl)C2CC2)cs1,<bos>,Cl,<0>,c1ccccc1,<3>,<4>,(,Cl,),C,(,<0>,C1CC1,),N,C=O,C,<0>,c1cscn1,<3>,C,<eos>,,,,,,,,,,,
COC(=O)CNC(=O)NCc1cc(C(=O)OC)c(C)o1,<bos>,C,O,C=O,<1>,c1ccoc1,<4>,<2>,(,C,),C,N,C=O,N,C,C=O,O,C,<eos>,,,,,,,,,,,,,
CC(C)CC(C(=O)OCc1ccc[nH]1)C1CCCCO1,<bos>,C,C,(,C,),C,C,(,<2>,C1CCOCC1,),C=O,O,C,<4>,c1cc[nH]c1,<eos>,,,,,,,,,,,,,,,
Cc1ccc(C(=O)NC(CC(C)C)c2cccs2)o1,<bos>,C,C,(,C,),C,C,(,<4>,c1ccsc1,),N,C=O,<2>,c1ccoc1,<4>,C,<eos>,,,,,,,,,,,,,,
CC1CCCC(NC(=O)c2nc(-c3nnco3)cs2)C1C,<bos>,C,<0>,C1CCCCC1,<4>,<5>,(,C,),N,C=O,<3>,c1cscn1,<0>,<0>,c1nnco1,<eos>,,,,,,,,,,,,,,,,
COc1ccc2nc(SCC(=O)Nc3cc(F)ccc3OC)[nH]c2c1,<bos>,C,O,<3>,c1ccccc1,<4>,<0>,(,F,),N,C=O,C,S,<5>,c1ccc2[nH]cnc2c1,<1>,O,C,<eos>,,,,,,,,,,,,,
CC(C)N(Cc1ccccc1Cl)C(=O)NCCNC(=O)C1CC1,<bos>,Cl,<5>,c1ccccc1,<0>,C,N,(,C,(,C,),C,),C=O,N,C,C,N,C=O,<0>,C1CC1,<eos>,,,,,,,,,,
C=CCn1cc(NC(=O)N2CCC(CC(=O)OCC)CC2)cn1,<bos>,C,C,O,C=O,C,<0>,C1CCNCC1,<3>,C=O,N,<0>,c1cn[nH]c1,<3>,C,<0>,C=C,<eos>,,,,,,,,,,,,,,,
CCn1cc(NC(=O)Cn2c(=O)n(C)c3ccccc32)cn1,<bos>,C,C,<3>,c1cn[nH]c1,<0>,N,C=O,C,<9>,O=c1[nH]c2ccccc2[nH]1,<2>,C,<eos>,,,,,,,,,,,,,,,,,,,
Nc1ccnn1-c1ccc(-c2ccncc2)c(Cl)c1,<bos>,N,<4>,c1cn[nH]c1,<3>,<0>,c1ccccc1,<3>,<2>,(,Cl,),<0>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,
COc1ccc(Br)cc1CNC(=O)Nc1ccncc1,<bos>,C,O,<3>,c1ccccc1,<4>,<0>,(,Br,),C,N,C=O,N,<0>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,
O=C(CSc1nc(-c2cc3ccccc3o2)n[nH]1)N1CCCC1,<bos>,C1CCNC1,<3>,C=O,C,S,<2>,c1nc[nH]n1,<0>,<5>,c1ccc2occc2c1,<eos>,,,,,,,,,,,,,,,,,,,,,
CCCCCC(=O)Nc1ccnn1C1CCCC1N,<bos>,C,C,C,C,C,C=O,N,<4>,c1cn[nH]c1,<3>,<0>,C1CCCC1,<4>,N,<eos>,,,,,,,,,,,,,,,,,
COc1ccc(S(=O)(=O)Nc2ccc(N3CCOCC3)nc2)cc1,<bos>,C,O,<0>,c1ccccc1,<3>,O=[SH2]=O,N,<1>,c1ccncc1,<4>,<5>,C1COCCN1,<eos>,,,,,,,,,,,,,,,,,,,
COc1cc(Cl)ccc1C(=O)Nc1ccc(N)cc1C,<bos>,C,<4>,c1ccccc1,<3>,<0>,(,N,),N,C=O,<3>,c1ccccc1,<4>,<0>,(,Cl,),O,C,<eos>,,,,,,,,,,,,
C=CCc1nc2ccccc2n1CCOc1ccc2c(c1)OCO2,<bos>,C=C,<0>,C,<5>,c1ccc2[nH]cnc2c1,<4>,C,C,O,<0>,c1ccc2c(c1)OCO2,<eos>,,,,,,,,,,,,,,,,,,,,
O=C(Nc1cnc2ccccc2n1)c1ccc2c(=O)n3c(nc2c1)CCCCC3,<bos>,c1ccc2nccnc2c1,<5>,N,C=O,<5>,O=c1c2ccccc2nc2n1CCCCC2,<eos>,,,,,,,,,,,,,,,,,,,,,,,,,
COc1ccccc1C(=O)NC1(c2ccccc2)CCC1,<bos>,C,O,<0>,c1ccccc1,<5>,C=O,N,<0>,C1CCC1,<0>,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,,,
