smiles,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
CCCn1ccc2nc3ncnn3c(-c3cccc(F)c3)c2c1=O,<bos>,C,C,C,<2>,O=c1[nH]ccc2nc3ncnn3cc12,<12>,<0>,c1ccccc1,<4>,F,<eos>,,,,,,,,,,,,,,,,,,,,,,,,
Cc1ncc(C(=O)NC2CCN(c3ccccc3F)CC2)cn1,<bos>,C,<3>,c1cncnc1,<0>,C=O,N,<0>,C1CCNCC1,<3>,<0>,c1ccccc1,<5>,F,<eos>,,,,,,,,,,,,,,,,,,,,,
Cc1ccc(OCCCCC(=O)N(C)C)cc1,<bos>,C,N,(,C,),C=O,C,C,C,C,O,<3>,c1ccccc1,<0>,C,<eos>,,,,,,,,,,,,,,,,,,,
CCOC1CCN(C(=O)c2cc(C)on2)C2CCOC12,<bos>,C,C,O,<8>,C1CNC2CCOC2C1,<2>,C=O,<1>,c1cnoc1,<4>,C,<eos>,,,,,,,,,,,,,,,,,,,,,,,
CCCCS(=O)(=O)NCC(=O)Nc1cccnc1,<bos>,C,C,C,C,O=[SH2]=O,N,C,C=O,N,<1>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,
O=C(Cc1ccc(F)cc1F)NCCNC(=O)c1cccnc1,<bos>,F,<0>,c1ccccc1,<3>,<4>,(,F,),C,C=O,N,C,C,N,C=O,<1>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,
CC(C)N(Cc1cccnc1)C(=O)NCCNC(=O)c1ccco1,<bos>,C,C,(,C,),N,(,C,<1>,c1ccncc1,),C=O,N,C,C,N,C=O,<4>,c1ccoc1,<eos>,,,,,,,,,,,,,,,
CC(C)CC(C)(NC(=O)Cc1ccccc1N1CCOCC1)C(N)=O,<bos>,C,C,(,C,),C,C,(,C=O,N,),(,C,),N,C=O,C,<0>,c1ccccc1,<5>,<5>,C1COCCN1,<eos>,,,,,,,,,,,,
NC(=O)N1CCCN(C(=O)C2CN(Cc3ccccc3)CCO2)CC1,<bos>,N,C=O,<5>,C1CNCCNC1,<2>,C=O,<1>,C1COCCN1,<5>,C,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,,,,,,
COc1ccc(CNS(=O)(=O)N(C)C)c(OC)n1,<bos>,C,N,(,C,),O=[SH2]=O,N,C,<1>,c1ccncc1,<2>,<4>,(,O,C,),O,C,<eos>,,,,,,,,,,,,,,,,
CCCOC(=O)C1CCCCN1C(=O)c1ccc(OCC#N)cc1,<bos>,C,C,C,O,C=O,<2>,C1CCNCC1,<3>,C=O,<0>,c1ccccc1,<3>,O,C,C#N,<eos>,,,,,,,,,,,,,,,,,,,
CCCNC(=O)C1CCCN(C(=O)CSc2ccccn2)C1,<bos>,C,C,C,N,C=O,<1>,C1CCNCC1,<3>,C=O,C,S,<2>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,,,,
CCS(=O)(=O)N1CCC(c2nc(C(C)C)c(C)o2)CC1,<bos>,C,C,(,C,),<0>,c1cocn1,<3>,<1>,(,C,),<0>,C1CCNCC1,<3>,O=[SH2]=O,C,C,<eos>,,,,,,,,,,,,,,,,
CCn1cc(C(=O)N2CCC(c3ccccc3)CC2)cn1,<bos>,C,C,<3>,c1cn[nH]c1,<0>,C=O,<3>,C1CCNCC1,<0>,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,,,,,,,
COc1ccc(C(=O)OCc2nc3cc(F)ccc3n2C)cc1OC,<bos>,C,<4>,c1ccc2[nH]cnc2c1,<5>,<0>,(,F,),C,O,C=O,<0>,c1ccccc1,<3>,<4>,(,O,C,),O,C,<eos>,,,,,,,,,,,,,
