smiles,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Cc1cc(CN2CCCN(Cc3cc(=O)c4ccccc4[nH]3)CC2)no1,<bos>,C,<4>,c1cnoc1,<1>,C,<2>,C1CNCCNC1,<5>,C,<3>,O=c1cc[nH]c2ccccc12,<eos>,,,,,,,,,,,,,,,,,,,,
O=C(CC=Cc1ccccc1)NCCc1ccccc1Cl,<bos>,Cl,<5>,c1ccccc1,<0>,C,C,N,C=O,C,<0>,C=C,<1>,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,,
C#CCN1CCN(Cc2ccc(C(F)(F)F)cc2F)CC1,<bos>,F,C,(,F,),(,F,),<0>,c1ccccc1,<3>,<4>,(,F,),C,<5>,C1CNCCN1,<2>,C,<0>,C#C,<eos>,,,,,,,,,
COC(=O)c1ccsc1NC(=O)C(C)OCCO,<bos>,O,C,C,O,C,(,C,),C=O,N,<4>,c1ccsc1,<0>,C=O,O,C,<eos>,,,,,,,,,,,,,,,
CC(C)CCC(=O)n1cccc1C(=O)NCC1CCCO1,<bos>,C,C,(,C,),C,C,C=O,<3>,c1cc[nH]c1,<4>,C=O,N,C,<4>,C1CCOC1,<eos>,,,,,,,,,,,,,,,
Nc1cc(Cl)c2onc(CC(=O)NCCc3ccccc3)c2c1,<bos>,N,<0>,c1ccc2oncc2c1,<6>,<2>,(,Cl,),C,C=O,N,C,C,<0>,c1ccccc1,<eos>,,,,,,,,,,,,,,,,
Cc1noc(C)c1C(=O)NCc1c(F)cccc1F,<bos>,F,<0>,c1ccccc1,<5>,<4>,(,F,),C,N,C=O,<0>,c1cnoc1,<1>,<4>,(,C,),C,<eos>,,,,,,,,,,,,
CC(C)CNC(=O)c1ccc(Cl)cc1-n1cccc1,<bos>,C,C,(,C,),C,N,C=O,<3>,c1ccccc1,<0>,<4>,(,<3>,c1cc[nH]c1,),Cl,<eos>,,,,,,,,,,,,,,
O=C(c1nn(-c2cccc(Cl)c2)c2c1CCC2)N1CCOCC1,<bos>,Cl,<4>,c1ccccc1,<0>,<2>,c1n[nH]c2c1CCC2,<0>,C=O,<5>,C1COCCN1,<eos>,,,,,,,,,,,,,,,,,,,,,
Cc1nn(C(C)C)c(C)c1S(=O)(=O)Oc1ccccc1F,<bos>,C,C,(,C,),<3>,c1cn[nH]c1,<0>,<1>,(,C,),<4>,(,C,),O=[SH2]=O,O,<0>,c1ccccc1,<5>,F,<eos>,,,,,,,,,
CNS(=O)(=O)c1ccc(C(=O)N(C)CCOCC2CC2)cc1,<bos>,C,N,O=[SH2]=O,<0>,c1ccccc1,<3>,C=O,N,(,C,),C,C,O,C,<0>,C1CC1,<eos>,,,,,,,,,,,,,,
CCc1nn(C)c(CC)c1NC(=O)N1CCC2CCCCC2C1,<bos>,C,C,<1>,c1cn[nH]c1,<0>,<4>,(,C,C,),<3>,(,C,),N,C=O,<5>,C1CCC2CNCCC2C1,<eos>,,,,,,,,,,,,,
COC(=O)c1c(NC(=O)NCc2cccnc2)sc2c1CCC2,<bos>,C,O,C=O,<1>,c1cc2c(s1)CCC2,<0>,N,C=O,N,C,<1>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,,
O=C(NCc1ccncc1)c1cc(-c2ccccc2)on1,<bos>,c1ccccc1,<0>,<4>,c1cnoc1,<1>,C=O,N,C,<0>,c1ccncc1,<eos>,,,,,,,,,,,,,,,,,,,,,
Cc1c(Cl)cccc1NC(=O)CSc1nnnn1C1CC1,<bos>,C,<5>,c1ccccc1,<4>,<0>,(,Cl,),N,C=O,C,S,<0>,c1nnn[nH]1,<4>,<0>,C1CC1,<eos>,,,,,,,,,,,,,,
CCOC(=O)N1CCN(CC(=O)Nc2ccc(F)cc2)CC1,<bos>,C,C,O,C=O,<2>,C1CNCCN1,<5>,C,C=O,N,<0>,c1ccccc1,<3>,F,<eos>,,,,,,,,,,,,,,,,,
Cc1cccc(CC(=O)Nc2ccc(S(N)(=O)=O)cc2)c1,<bos>,C,<0>,c1ccccc1,<4>,C,C=O,N,<0>,c1ccccc1,<3>,O=[SH2]=O,N,<eos>,,,,,,,,,,,,,,,,,,,
