smiles,0
Cc1c(Br)cnn1NC(=O)n1cc(C2CCOC2)cn1,*C&*N1N=CC(*)=C1*&*Br&&*C(=O)N*^*C1=CN(*)N=C1&*C1CCOC1&&&
CS(=O)(=O)c1ccc(CCNC(C#N)C2CC2)cc1,*C&*S(*)(=O)=O&*C1=CC=C(*)C=C1&*C*&*C*&*N*&*C(*)*&*C1CC1&&*C#N&&
CC1CCC(C(=O)Nc2ccc(=O)n(-c3ccccc3F)c2)CC1,*C&*C1CCC(*)CC1&*NC(*)=O&*C1=CN(*)C(=O)C=C1&*C1=CC=CC=C1*&*F&&&
CCOc1ccc(NC(=O)c2cccs2)cc1OCC,*C&*C*&*O*&*C1=CC=C(*)C(*)=C1&*O*&*C*^*NC(*)=O^*C&*C1=CC=CS1&&&&&
O=C(CNCc1ccccc1)Nc1nc2c(s1)CCCCC2,*C(=O)NC1=NC2=C(CCCCC2)S1&*C*&*N*&*C*&*C1=CC=CC=C1&&&
O=C(c1[nH]nc2c1ncn2-c1ccccc1F)N1CCOCC1,*N1C=NC2=C(NN=C21)C(=O)N1CCOCC1&*C1=CC=CC=C1*&*F&&&
Cc1cccnc1OCC(=O)NCCSc1ccccc1Cl,*C&*OC1=NC=CC=C1*&*C*&*NC(*)=O&*C*&*C*&*S*&*C1=CC=CC=C1*&*Cl&&&
CCCCCN1CCN(C(=O)Cc2cnc3ncccn23)CC1,*C&*C*&*C*&*C*&*C*&*C(=O)N1CCN(*)CC1&*C*&*C1=CN=C2N=CC=CN12&&&
COc1cccc(CCNC(=O)c2cnc(N3CCCC3)nc2)c1,*C&*O*&*C1=CC=CC(*)=C1&*C*&*C*&*C(=O)N*&*C1=CN=C(N2CCCC2)N=C1&&&
O=C(CNC(=O)c1ccc2cn[nH]c2c1)Nc1ccc(F)cc1,*C(=O)N*&*C*&*NC(*)=O^*C1=CC=C2C=NNC2=C1^*C1=CC=C(*)C=C1&&&*F&&&
C=CCS(=O)(=O)Nc1cccc(N(C(C)=O)c2ccccc2)c1,*C=C&*C*&*NS(*)(=O)=O&*C1=CC=CC(*)=C1&*C(=O)N(*)*&*C&&*C1=CC=CC=C1&&
O=C(Cc1cscn1)NCCNC(=O)c1cc2c(s1)CCC2,*C(=O)N*&*C*&*C*^*C*^*NC(*)=O&*C1=CSC=N1&*C1=CC2=C(CCC2)S1&&&&&
CN(C(=O)Cc1nccs1)c1cnc(C2CCCO2)s1,*C&*N(*)C(*)=O&*C*&*C1=NC=CS1^*C1=CN=C(*)S1&&*C1CCCO1&&&
CCOc1ccc(CC(=O)Nc2cc(S(C)(=O)=O)ccn2)c(C)c1,*C&*C*&*O*&*C1=CC=C(*)C=C1*&*C&&*C*^*NC(*)=O&*C1=CC=NC(*)=C1&*S(*)(=O)=O&*C&&&
COCCCC(=O)NC(C)Nc1ccc2ncccc2c1,*C&*O*&*C*&*C*&*C*&*NC(*)=O&*C(*)*&*N*&*C1=CC=C2N=CC=CC2=C1^*C&&&&
C#CCN1CCC(C(=O)N2CCCC(c3nncn3CC)C2)CC1,*C#C&*C*&*N1CCC(*)CC1&*C(=O)N1CCCC(*)C1&*C1=NN=CN1*&*C*&*C&&&
CN(Cc1cc(F)ccc1F)C(=O)Cc1ccccn1,*C&*N(*)C(*)=O&*C*&*C1=CC=CC=N1^*C*&&*C1=CC=C(*)C(*)=C1&*F&&*F&&
O=C1c2cccnc2CN1Cc1cc(Br)cs1,*N1CC2=NC=CC=C2C1=O&*C*&*C1=CC(*)=CS1&*Br&&&
O=C(NCc1cccnc1)c1ccc2c(=O)n3c(nc2c1)CCCCC3,*NC(*)=O&*C*&*C1=CC=CN=C1^*C1=CC=C2C(=O)N3CCCCCC3=NC2=C1&&&&
CN(Cc1nc2ccccc2s1)C(=O)Cn1c(=O)[nH]c2ccccc21,*C&*N(*)C(*)=O&*C*&*C1=NC2=CC=CC=C2S1^*C*&&*N1C(=O)NC2=CC=CC=C12&&&
CCc1nc(N)cn1-c1ccc(OC(C)C)cc1,*C&*C*&*N1C=C(*)N=C1*&*N&&*C1=CC=C(*)C=C1^*O*&*C(*)C&*C&&&
CC1(CC(=O)NCc2ccc(OCC(N)=O)cc2)CCCC1,*C&*C1(*)CCCC1&*C*&*NC(*)=O&*C*&*C1=CC=C(*)C=C1&*O*&*C*&*C(N)=O&&&
CN(C(=O)CN(C)S(=O)(=O)C(F)(F)F)c1ccc(F)cc1,*C&*N(*)C(*)=O&*C*&*N(*)S(*)(=O)=O^*C1=CC=C(*)C=C1^*C&*F&&*C(*)(F)F&&*F&&&
CCn1ncc(-c2ccccc2)c1C(=O)Nc1cccnc1,*C&*C*&*C1=C(*)C=NN1*&*C(=O)N*&*C1=CC=CN=C1^*C1=CC=CC=C1&&&&
COc1ccc(CN2CCN(C(=O)c3ccccc3OC)C2)c(OC)c1,*C&*O*&*C1=CC=C(*)C(*)=C1&*C*&*N1CCN(C(=O)C2=CC=CC=C2OC)C1^*O*&&*C&&&
N#CCCN(Cc1ccncc1)Cc1ccc2ccccc2n1,*C#N&*C*&*C*&*N(*)*&*C*&*C1=CC=NC=C1^*C*&&*C1=CC=C2C=CC=CC2=N1&&&
O=C(Nc1cc(F)c(F)c(F)c1)c1cccc(Oc2ncccn2)c1,*NC(*)=O&*C1=CC=CC(*)=C1&*OC1=NC=CC=N1^*C1=CC(*)=C(*)C(*)=C1&&*F&&*F&*F&&
N#Cc1cc2c(cc1NS(=O)(=O)c1ccc(F)cc1)OCCO2,*C#N&*C1=CC2=C(C=C1*)OCCO2&*NS(*)(=O)=O&*C1=CC=C(*)C=C1&*F&&&
Cc1ccc(N)cc1NC(=O)CCCc1cccn(C)c1=O,*C&*C1=CC(*)=CC=C1*&*N&&*NC(*)=O^*C*&*C*&*C*&*N1C=CC=C(*)C1=O&*C&&&
CCC1CCCn2nc(NC(=O)NCc3ccc(Cl)cc3F)nc21,*C&*C*&*C1=NN2CCCC(*)C2=N1&*NC(=O)N*&*C*&*C1=CC=C(*)C(*)=C1&*F&&*Cl&&
OCCNc1ncnc2c1nnn2C1CCCCCC1,*O&*C*&*C*&*NC1=NC=NC2=C1N=NN2*&*C1CCCCCC1&&&
CC(C)(C)NC(=O)OCC1CCCN(C(=O)Cc2cccs2)C1,*C&*C(*)(C)C&*OC(=O)N*&*C*&*C1CCCN(C(*)=O)C1&*C*&*C1=CC=CS1&&&
CC(C)CC1CN(CC(=O)NCOc2ccccc2)CCO1,*C&*C(*)C&*C*&*N1CCOC(*)C1&*C*&*NC(*)=O&*C*&*O*&*C1=CC=CC=C1&&&
O=c1ccccn1CCOc1ccc(F)cc1F,*N1C=CC=CC1=O&*C*&*C*&*O*&*C1=CC=C(*)C=C1*&*F&&*F&&
Cc1cccn(CCc2nc3c(s2)CCC3)c1=O,*C&*C1=CC=CN(*)C1=O&*C*&*C*&*C1=NC2=C(CCC2)S1&&&
Nc1nnn(-c2ccc(F)cc2)c1-c1ccccc1,*N&*C1=C(*)N=NN1*&*C1=CC=C(*)C=C1&*F^*C1=CC=CC=C1&&&&
CC(C)(C)c1cnn(C(=O)N2CCOCC2CO)c1,*C&*C(*)(C)C&*N1C=C(*)C=N1&*C(=O)N1CCOCC1*&*C*&*O&&&
COc1cccc(NCC(O)c2ccc3ccccc3c2)c1,*C&*O*&*C1=CC=CC(*)=C1&*N*&*C*&*C(*)*&*O&&*C1=CC=C2C=CC=CC2=C1&&
COCCOc1ccc(C(=O)Nc2cc3cn(C)cc3[nH]2)cn1,*C&*O*&*C*&*C*&*O*&*C1=CC=C(*)C=N1&*NC(*)=O&*C1=CC2=CN(*)C=C2N1&*C&&&
COCC(NCc1[nH]c2ccccc2c1C)c1ccccc1,*C&*O*&*C*&*C(*)*&*N*&*C*^*C1=CC=CC=C1^*C1=C(*)C2=CC=CC=C2N1&&&*C&&&
C=CCc1ccccc1OCc1ccc(C(=O)Nc2ccoc2)o1,*C=C&*C*&*C1=CC=CC=C1*&*O*&*C*&*C1=CC=C(*)O1&*C(=O)N*&*C1=COC=C1&&&
Cc1nc(C(=O)NC(=O)N2CCC(C)CC2)sc1C,*C&*C(=O)N1CCC(*)CC1&*NC(*)=O&*C1=C(*)N=C(*)S1&*C&&*C&&
CCC(=O)OC(C)S(=O)(=O)Nc1cc(F)ccc1F,*C&*C*&*OC(*)=O&*C(*)*&*C&&*NS(*)(=O)=O^*C1=CC(*)=CC=C1*&*F&&*F&&
CC(C)Cc1noc(CN2CCN(c3ncccn3)CC2)n1,*C&*C(*)C&*C*&*C1=NOC(*)=N1&*C*&*N1CCN(C2=NC=CC=N2)CC1&&&
CC(=O)Nc1nc(CCc2c(C)c(C)[nH]c(=O)c2C#N)cs1,*C&*C1=CSC(NC(*)=O)=N1&*C*&*C*&*C1=C(*)NC(=O)C(*)=C1*&*C&&*C#N&*C&&
CCCCc1ccc(NS(=O)(=O)C(C#N)C(C)C)cc1,*C&*C*&*C*&*C*&*C1=CC=C(*)C=C1&*S(=O)(=O)N*&*C(*)*&*C#N&&*C(*)C^*C&&&
Cc1noc(CNc2cc(C(=O)N3CCCC3)ccc2Cl)n1,*C&*C1=NC(*)=NO1&*C*&*N*&*C1=CC(*)=CC=C1*&*Cl&&*C(=O)N1CCCC1&&
COc1ccc(C(=O)NCc2c(C)c(C)nn2C)cc1C,*C&*O*&*C1=CC=C(*)C=C1*&*C&&*NC(*)=O^*C*&*C1=C(*)N(*)N=C1*&*C&&*C&*C&&
CC(C)(C)c1nnnn1Cc1nnnn1-c1ccccc1,*C&*C(*)(C)C&*C1=NN=NN1*&*C*&*C1=NN=NN1*&*C1=CC=CC=C1&&&
CCC(CC)c1nc(C(=O)NC(=O)N2CCC(C(C)C)CC2)cs1,*C&*C*&*C(*)CC&*C1=NC(*)=CS1&*C(=O)N*&*C1CCN(C(*)=O)CC1&*C(*)C&*C&&&
CC(=O)N1CCN(C(C)C(=O)Oc2ccccc2F)CC1,*C&*C(*)*&*OC(*)=O&*C1=CC=CC=C1*^*C(=O)N1CCN(*)CC1^*F&*C&&&&&
COc1ccc(NC(=O)NC2CCCCC2)cc1N1CCNC1=O,*C&*O*&*C1=CC(*)=CC=C1*&*NC(=O)N*&*C1CCCCC1^*N1CCNC1=O&&&&
Cc1ccc(C2CCN(C(=O)Nc3ccsc3)CC2)nn1,*C&*C1=CC=C(*)N=N1&*N1CCC(*)CC1&*NC(*)=O&*C1=CSC=C1&&&
CCCNC(=O)c1csc(-c2ccccc2S(C)(=O)=O)n1,*C&*C*&*C*&*NC(*)=O&*C1=CSC(*)=N1&*C1=CC=CC=C1*&*S(*)(=O)=O&*C&&&
Cn1ccc(C(=O)N2CCN(c3ccccc3)CC2)n1,*C&*N1CCN(C(=O)C2=NN(*)C=C2)CC1&*C1=CC=CC=C1&&&
Cc1nn(Cc2nsc(NC(F)(F)F)n2)c2c1CCCC2,*C&*N1N=C(*)C2=C1CCCC2&*C*&*NC1=NC(*)=NS1&*C(*)(F)F&*F&&&
NC(=O)c1cccc(CSc2ncnc3sccc23)c1,*C(N)=O&*C1=CC=CC(*)=C1&*C*&*SC1=NC=NC2=C1C=CS2&&&
CCC(=O)Oc1cc2c([nH]c1=O)CCN(C(=O)c1ccno1)C2,*C&*C*&*OC(*)=O&*C1=CC2=C(CCN(C(*)=O)C2)NC1=O&*C1=CC=NO1&&&
CN(c1cccs1)S(=O)(=O)Cc1ccc(C(F)(F)F)cc1,*C&*N(*)S(*)(=O)=O&*C*&*C1=CC=C(*)C=C1^*C1=CC=CS1^*C(*)(F)F&&&*F&&&
O=C(NCCOc1cccnc1)C1CCCN(c2ncccn2)C1,*NC(*)=O&*C*&*C*^*C1CCCN(C2=NC=CC=N2)C1^*O*&&&*C1=CC=CN=C1&&&
C=C(C)CN1C(=O)C(CC)N(CO)c2ccc(C)cc21,*C(*)=C&*C&&*C*^*N1C(=O)C(*)N(*)C2=CC=C(*)C=C21&*C*&*C^*C&&&*C*^*O&&&
CC1CN(S(=O)(=O)NCc2cccnc2)CC(C)O1,*C&*C1CN(S(=O)(=O)N*)CC(C)O1&*C*&*C1=CC=CN=C1&&&
NC(=O)c1coc(-c2nc(-c3ccccc3C(F)(F)F)no2)c1,*C(N)=O&*C1=COC(*)=C1&*C1=NC(*)=NO1&*C1=CC=CC=C1*&*C(*)(F)F&*F&&&
CCOCc1n[nH]c(NC(=O)c2ccc(OC)c(Cl)c2)n1,*C&*C*&*O*&*C*&*C(=O)NC1=NC(*)=NN1&*C1=CC(*)=CC=C1*&*Cl&&*O*^*C&&&
O=C(Cc1cccc2ccccc12)Nc1cnccn1,*C(=O)N*&*C*&*C1=CC=CC2=CC=CC=C12^*C1=CN=CC=N1&&&&
CNC(=O)Nc1ccc(=O)n(OC2CCCCCC2)c1,*C&*O*&*C*^*C*&*N1C=C(*)C=CC1=O&*NC(=O)N*&*C1CCCCCC1&&&
C=CCC1NC(=O)N(C)C(c2ccccc2)=C1OC(=O)CC,*C=C&*C*&*N1C(=O)NC(*)C(*)=C1*&*C&&*C1=CC=CC=C1&*C(=O)O*^*C*&*C&&&
O=C(NOc1ncc(-c2ccccc2)cn1)C1CC=CCC1,*NC(*)=O&*C1=CN=C(O*)N=C1&*C1=CC=CC=C1^*C1CC=CCC1&&&&
CSc1cccc(NC(=O)CC(=O)Nc2ccc(Cl)cc2)c1,*C&*S*&*C1=CC=CC(*)=C1&*NC(*)=O&*C*&*NC(*)=O&*C1=CC=C(*)C=C1&*Cl&&&
COS(=O)(=O)N1CCCC(c2cccc(Cl)c2)C1,*C&*O*&*C1CCCN(S(*)(=O)=O)C1&*C1=CC=CC(*)=C1&*Cl&&&
Cc1ccc(C)c(C(=O)Nc2ccc(N(C)S(C)(=O)=O)cc2)c1,*C&*C1=CC=C(*)C=C1*&*NC(*)=O&*C1=CC=C(*)C=C1^*C^*S(=O)(=O)N(*)C&&&*C&&&
CC(=O)NCC1(NC(=O)c2ccc(C#N)cc2)CCCC1,*C&*NC(*)=O&*C*&*C1(*)CCCC1&*NC(*)=O&*C1=CC=C(*)C=C1&*C#N&&&
O=C(CCn1nnc2ccccc21)NCc1ccccn1,*C(=O)N*&*C*&*C*^*C*^*N1N=NC2=CC=CC=C21&*C1=CC=CC=N1&&&&&
CCCCc1noc(CNc2ccc(C#N)cc2)n1,*C&*C*&*C*&*C*&*C1=NOC(*)=N1&*C*&*N*&*C1=CC=C(*)C=C1&*C#N&&&
CS(=O)(=O)c1ccccc1CN1CCOc2ccccc21,*C&*S(*)(=O)=O&*C1=CC=CC=C1*&*C*&*N1CCOC2=CC=CC=C21&&&
Cc1[nH]ncc1CCCC(=O)Nc1ccc(N(C)C)cc1,*C&*C1=C(*)C=NN1&*C*&*C*&*C*&*NC(*)=O&*C1=CC=C(*)C=C1&*N(*)C&*C&&&
CN(c1c(F)cccc1C#N)S(=O)(=O)Cc1ccccc1Cl,*C&*N(*)S(*)(=O)=O&*C*&*C1=CC=CC=C1*^*C1=C(*)C=CC=C1*^*Cl&*C#N&&&&*F&&
Fc1ccc(C2CC2Cc2nnc3n2CCN(C2CC2)C3)cc1,*F&*C1=CC=C(*)C=C1&*C1CC1*&*C*&*N1CCN2C(*)=NN=C2C1&*C1CC1&&&
COc1ccc(OC(C)NC(=O)c2ccc3c(c2)COC3)cc1,*C&*O*&*C1=CC=C(*)C=C1&*O*&*C(*)*&*C&&*C(=O)N*^*C1=CC=C2COCC2=C1&&&
O=C1CCCN1C1(c2ccc(Br)cc2)CCC1,*N1CCCC1=O&*C1(*)CCC1&*C1=CC=C(*)C=C1&*Br&&&
CCc1cnn(C(=O)NCc2cccc(C#N)c2)c1-c1ccccn1,*C&*C*&*C1=C(*)C=NN1*&*C1=CC=CC=N1&&*C(=O)N*^*C*&*C1=CC=CC(*)=C1&*C#N&&&
