loss,running_loss,mode,lr
0.2735612690448761,0.506139222115856,Train,0.001
0.3313778042793274,0.2657388217520837,Eval,
0.25815874338150024,0.2533291249349649,Train,0.001
0.31137481331825256,0.24297003377145313,Eval,
0.24955588579177856,0.24040008285716064,Train,0.001
0.3048204481601715,0.23694258768854579,Eval,
0.25022247433662415,0.23535788946706696,Train,0.001
0.30843305587768555,0.23271761468489827,Eval,
0.24530638754367828,0.23238376840794014,Train,0.001
0.3181842565536499,0.23037527142341116,Eval,
0.22385528683662415,0.2304050275265398,Train,0.001
0.3106671869754791,0.22884653565748223,Eval,
0.2509555518627167,0.22884807902713344,Train,0.001
0.31052514910697937,0.22750083037222732,Eval,
0.24536173045635223,0.22761577129728425,Train,0.001
0.30351144075393677,0.22672563586556282,Eval,
0.2518749237060547,0.22679343854329315,Train,0.001
0.30155864357948303,0.22555729894452262,Eval,
0.23446643352508545,0.22588314507178095,Train,0.001
0.31498199701309204,0.22530406154446103,Eval,
0.24228747189044952,0.22532143937533075,Train,0.001
0.3095114827156067,0.22407307932485535,Eval,
0.23773238062858582,0.22475326388173283,Train,0.001
0.3145732879638672,0.22365401056318332,Eval,
0.2251729965209961,0.2242114329395194,Train,0.001
0.3107241094112396,0.22456401898531825,Eval,
0.24452011287212372,0.2237730008249499,Train,0.001
0.3102149963378906,0.22307984196289385,Eval,
0.2279665619134903,0.22342923419959568,Train,0.001
0.3154875636100769,0.2230482289230492,Eval,
0.22131435573101044,0.22307660159012235,Train,0.001
0.31674835085868835,0.22284860415888602,Eval,
0.2362709939479828,0.22267407313292004,Train,0.001
0.3135540783405304,0.22216399296468595,Eval,
0.2526127099990845,0.2224267610519082,Train,0.001
0.3086594045162201,0.22255857779965496,Eval,
