,,,,,FCD/Test,FCD/Test,SNN/Test,SNN/Test,Scaf/Test,Scaf/Test,IntDiv,IntDiv,IntDiv2,IntDiv2,Filters,Filters,logP,logP,SA,SA,QED,QED,weight,weight
,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
notation,hl,hu,bs,lr,,,,,,,,,,,,,,,,,,,,
SELFIES,2,256,256,0.001,1.121958451949837,0.10032029103090516,0.5322563659022251,0.0028451928190368404,0.7026140747388727,0.0223614214140117,0.8610354737073422,0.0015886798946865893,0.8549511237681827,0.0015372669014780123,0.9170666666666667,0.004676477781882897,0.12827593049037342,0.0424274239227517,0.2558571334273372,0.028662900783615018,0.022356197148642898,0.0018999450092976192,3.788185057301665,0.8019066869662862
SELFIES,2,256,512,0.001,1.375220397836756,0.05405213108637443,0.5217910865560175,0.0028269007860792397,0.7013468204588945,0.021062496255298966,0.8619652238991048,0.001657217281489848,0.855881248236863,0.0016130972273979323,0.9073,0.0086925894364747,0.1458905733013241,0.07198272160716745,0.299891333196374,0.014503304319721655,0.027045131884034623,0.0028694250219474435,5.271109701560709,1.7032150082928716
SELFIES,2,512,256,0.001,0.7125469433237128,0.04041072332978577,0.558089789061745,0.0024420436935750807,0.7060489185374268,0.01085301562734884,0.860643122834974,0.0010908457685100724,0.8544635277820323,0.0010312479636908475,0.9484333333333332,0.003349129240066239,0.1113707015902102,0.01131639688331494,0.1724701633770414,0.006626559239598106,0.01780043561308624,0.0022962056294808233,3.4432065190276084,1.0919319033644999
SELFIES,2,512,512,0.001,0.7690471840479915,0.06298023733238686,0.5919247655317188,0.005442964084778723,0.7437176330180499,0.01843898833162072,0.8601399919135199,0.0007832290401802243,0.8540218341076045,0.0007674697435769863,0.9463000000000001,0.0047702783519995165,0.09318483967041238,0.018310504155045124,0.18378166696387616,0.024016374170835738,0.0153618180565887,0.003468555420366753,3.6127991769942476,0.7494825839148048
SELFIES,3,256,256,0.001,0.8458758709351883,0.028020339158671095,0.5433107917517424,0.0032092231188441734,0.700904112882362,0.03661908336501007,0.8591478183610282,0.001627774892662558,0.8530590683309377,0.0016301376596490206,0.9389333333333333,0.0042239397091656744,0.14978988940674193,0.02986985326160619,0.19018745278618515,0.024021293937467457,0.02179044165956898,0.002638073496603941,4.163172581178749,0.871980535549949
SELFIES,3,256,512,0.001,0.9952885386445303,0.06390838928722503,0.5346083077738683,0.0018421463959468068,0.6973523422701575,0.05202263338383912,0.8600253021971703,0.001458726747447708,0.8539694400387052,0.001357845497377271,0.9245999999999999,0.008978833133789967,0.17016950381559653,0.06826269055713557,0.2190957689971687,0.008953760225030395,0.02452828930370592,0.003963745820480771,4.1798773233443525,0.902500358817239
SELFIES,3,512,256,0.001,0.535304071166226,0.030310147664425097,0.5647839806482196,0.0032072346227442006,0.7323225732947776,0.020748394921160134,0.859899234006034,0.0015901790106220511,0.8537131314784773,0.0015228288655087779,0.9594666666666667,0.0028022808170805723,0.0913076920349096,0.012474848308294732,0.1307071427850233,0.0174104996583506,0.014398601889991581,0.0018756494743689424,3.542181115319319,0.7069481650154499
SELFIES,3,512,512,0.001,0.6196450749640633,0.030572131990474788,0.561373695843915,0.0017619162101718086,0.7226446912423659,0.0071897939359126745,0.8605346369806608,0.0009006783552903024,0.854334970078224,0.0009069832303798532,0.9549333333333333,0.0030947985035827004,0.09221510533378015,0.01801561064967022,0.14884122487375673,0.004177531419924198,0.014709783011809521,0.0033857684605781875,2.762514981137857,0.07792256073854212
SMILES,2,256,256,0.001,0.35214756418575066,0.014650779474124206,0.5681408142740528,0.0018282788945775887,0.7238021805279636,0.03630477622726614,0.8566391887327194,0.0011375627660146553,0.8504708920740711,0.0011200021667874642,0.9905333333333333,0.001587275793441224,0.07836731616115578,0.008772469034518553,0.039756117974248155,0.008823913918453585,0.0038079046598297798,0.0015602648325601018,3.7504348350833583,0.46163705781004716
SMILES,2,256,512,0.001,0.33947750987247505,0.05174608409366191,0.5635471399247647,0.002086391725490791,0.7156438678459011,0.031643159259942565,0.85613767961483,0.0009359535938225426,0.8500037491628731,0.0009632953594168883,0.9897,0.0013713334953815988,0.09575805595180438,0.0355102343994669,0.05409408299319594,0.01317266539771099,0.0056092327017928005,0.0011071564352159234,4.142853737104858,0.45412923494361496
SMILES,2,512,256,0.001,0.3377008462039612,0.023191020471755742,0.5832816249087452,0.001255665717730594,0.703558723358297,0.02574553113466378,0.8568863722133425,0.0010769702897131905,0.8507236240433336,0.000994560220585092,0.9932000000000001,0.0007397447007057481,0.07673565471755817,0.01804428178947345,0.043373377373011855,0.009142581840198024,0.0074870760325843385,0.0020299453856028747,3.37814825326738,0.5680303847695934
