,,,,,valid,valid,unique,unique,novel,novel,valid%,valid%,unique%,unique%,novel%,novel%
,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
notation,hl,hu,bs,lr,,,,,,,,,,,,
SELFIES,2,256,256,0.001,6000.0,0.0,5996.4,2.6076809620810595,5517.8,18.860010604450892,1.0,0.0,0.9994,0.0004346134936801841,0.9201856594184872,0.003198783643607622
SELFIES,2,256,512,0.001,6000.0,0.0,5996.4,2.6076809620810595,5606.0,27.613402542968153,1.0,0.0,0.9994,0.0004346134936801798,0.9348933763654952,0.004353446230080848
SELFIES,2,512,256,0.001,6000.0,0.0,5997.5,2.516611478423583,5257.5,37.429934544425805,1.0,0.0,0.9995833333333334,0.00041943524640393584,0.876616547107294,0.006468287271282045
SELFIES,2,512,512,0.001,6000.0,0.0,5995.6,2.1908902300206643,5272.6,19.982492337043446,1.0,0.0,0.9992666666666666,0.0003651483716701009,0.8794124795007299,0.003607575074465744
SELFIES,3,256,256,0.001,6000.0,0.0,5998.0,1.4142135623730951,5502.4,20.79182531669598,1.0,0.0,0.9996666666666666,0.00023570226039552913,0.9173723981746787,0.003440047047617829
SELFIES,3,256,512,0.001,6000.0,0.0,5999.2,1.0954451150103321,5553.2,48.97652498901897,1.0,0.0,0.9998666666666667,0.00018257418583503528,0.9256572746471047,0.008235451078433688
SELFIES,3,512,256,0.001,6000.0,0.0,5995.2,1.0954451150103321,5236.0,38.353617821530214,1.0,0.0,0.9991999999999999,0.00018257418583503528,0.8733644807805359,0.006244026019924309
SELFIES,3,512,512,0.001,6000.0,0.0,5997.2,3.0331501776206204,5264.0,22.759613353482084,1.0,0.0,0.9995333333333335,0.0005055250296034396,0.8777434599654672,0.003916689872236608
SMILES,2,256,256,0.001,5764.8,18.498648599289623,5760.4,15.993748778819805,5136.4,17.472836060582726,0.9608000000000001,0.0030831080998815963,0.9992379145149004,0.0005688998338568625,0.8916747912487633,0.0020994670604472195
SMILES,2,256,512,0.001,5718.6,16.318700928689147,5715.4,17.155174146594955,5163.6,28.24535360019414,0.9531000000000001,0.002719783488114845,0.9994402142669939,0.0005848901289974742,0.9034566980484302,0.004855530058040218
SMILES,2,512,256,0.001,5838.75,13.744695946679455,5830.75,10.688779163215974,4937.75,39.51687403291578,0.9731249999999999,0.0022907826577799324,0.9986307775710122,0.0005565636728917622,0.8468420793215725,0.005802269755617312
SMILES,2,512,512,0.001,5826.0,19.078784028338912,5820.0,17.60681686165901,4920.6,28.45698508275253,0.9710000000000001,0.003179797338056499,0.9989709289440618,0.0006410090735774679,0.8454763392525789,0.006588230957556438
SMILES,3,256,256,0.001,5823.4,20.119642143934865,5821.4,20.875823337056673,5240.4,28.953410852609405,0.9705666666666668,0.0033532736906558285,0.9996562132807124,0.0002432448492588786,0.9002185505347577,0.008084449832835981
SMILES,3,256,512,0.001,5792.6,17.06751299984857,5790.6,17.415510328439993,5271.6,38.984612348976874,0.9654333333333334,0.0028445854999747467,0.9996546099429343,0.00024471834394959883,0.9103831030395548,0.007941929566576357
SMILES,3,512,256,0.001,5887.8,10.009995004993758,5882.6,9.370165420097983,4978.0,43.56604182158393,0.9812999999999998,0.0016683325008322934,0.9991171106424248,0.0006162806338238694,0.846225763748787,0.007465596567594973
SMILES,3,512,512,0.001,5887.8,10.256705123966467,5884.2,10.639548862616309,4995.4,51.79092584613641,0.9813000000000001,0.001709450853994406,0.9993885045879114,0.0002840637325660541,0.8489493021230932,0.008396960808748131
fragSMILES,2,256,256,0.001,5838.4,12.856904759700134,5830.8,12.397580409095962,5104.8,43.37856613582335,0.9730666666666667,0.0021428174599500416,0.9986985094320442,0.0005079797962135999,0.8754963951093917,0.008277803813027977
fragSMILES,2,256,512,0.001,5816.0,11.180339887498949,5811.6,8.820430828479978,5146.2,61.5970778527683,0.9693333333333335,0.0018633899812498331,0.9992442440344258,0.0007433833056993337,0.8855046884042768,0.0105037128459807
fragSMILES,2,512,256,0.001,5882.6,5.639148871948674,5877.0,7.483314773547883,5005.0,40.614036982304526,0.9804333333333333,0.000939858145324773,0.9990478609812012,0.0005051660193818463,0.8516294215783274,0.007483187766794971
fragSMILES,2,512,512,0.001,5871.4,18.75633226406485,5866.2,17.94993036198191,5038.4,29.03101789465881,0.9785666666666666,0.0031260553773441234,0.9991147966360527,0.0005158717348140604,0.8588889128646775,0.004773783128001444
fragSMILES,3,256,256,0.001,5846.2,22.521101216414795,5842.2,22.895414388038493,5119.8,47.788073826008095,0.9743666666666668,0.003753516869402468,0.9993156345985337,0.0003419660958749509,0.8763691172723501,0.010061710338368163
fragSMILES,3,256,512,0.001,5808.8,13.754999091239519,5804.4,13.921206844235885,5158.0,24.38237068047322,0.9681333333333333,0.0022924998485399223,0.9992425028177957,0.0002882336315685056,0.888636413009842,0.003678597635760335
fragSMILES,3,512,256,0.001,5893.6,8.961026726887942,5886.4,10.737783756436892,4960.2,33.855575611706854,0.9822666666666666,0.0014935044544813212,0.9987780829738033,0.0006163006223368124,0.842649480583306,0.004540604292081625
fragSMILES,3,512,512,0.001,5856.8,6.870225614927067,5851.0,9.027735042633894,5014.0,16.170961628796228,0.9761333333333333,0.0011450376024878363,0.9990096024346649,0.0008733408956670939,0.8569473417051376,0.0023409931310730907
t-SMILES,2,256,256,0.001,6000.0,0.0,5956.6,6.50384501660364,5724.8,22.895414388038493,1.0,0.0,0.9927666666666667,0.001083974169433953,0.9610836676511679,0.003167611310093964
t-SMILES,2,256,512,0.001,6000.0,0.0,5956.6,12.280065146407,5743.0,35.4471437495322,1.0,0.0,0.9927666666666667,0.0020466775244011837,0.9641435193866496,0.0061987948935447405
t-SMILES,2,512,256,0.001,6000.0,0.0,5972.6,4.722287581247038,5643.6,20.887795479657495,1.0,0.0,0.9954333333333333,0.0007870479302078459,0.9449149667185675,0.0033641075840723043
t-SMILES,2,512,512,0.001,6000.0,0.0,5972.4,8.473488065725945,5630.0,30.008332176247315,1.0,0.0,0.9954000000000001,0.001412248010954335,0.9426697548415295,0.004881140251130056
t-SMILES,3,256,256,0.001,6000.0,0.0,5971.6,5.319774431308155,5740.8,8.526429498916883,1.0,0.0,0.9952666666666665,0.0008866290718847116,0.9613509155470521,0.0016015256512845156
t-SMILES,3,256,512,0.001,6000.0,0.0,5965.6,6.4265076052238514,5736.4,15.725775020646836,1.0,0.0,0.9942666666666666,0.0010710846008706683,0.9615786451303203,0.0018128052385456767
t-SMILES,3,512,256,0.001,6000.0,0.0,5977.0,6.2048368229954285,5649.4,25.50098037331114,1.0,0.0,0.9961666666666668,0.0010341394704992718,0.9451921296658525,0.00474659389235622
t-SMILES,3,512,512,0.001,6000.0,0.0,5977.4,3.9115214431215892,5663.6,42.152105522737536,1.0,0.0,0.9962333333333333,0.0006519202405202512,0.9474999705709031,0.0066246519245205015
